番号,項目,回答数（人）,回答数（％）
1,公務員,97,3.3
2,経営者・役員,98,3.3
3,会社員(事務系),736,24.7
4,会社員(技術系),328,11
5,会社員(その他),400,13.4
6,自営業,140,4.7
7,自由業,67,2.2
8,専業主婦(主夫),381,12.8
9,パート・アルバイト,277,9.3
10,学生,50,1.7
11,その他,156,5.2
12,無職,251,8.4
全体,,2981,100
