番号,項目,回答数（人）,普段より多く消費した（％）,普段と同じ程度の消費だった（％）,普段より少ない消費だった（％）
1,"デジタル形式（n=2,089）",2553,67.6,31.7,0.7
2,紙形式（n=867）,1140,57,41.5,1.5
全体,,2981,,,
