番号,項目,回答数（人）,回答数（％）
1,200万未満,10110,19.2
2,200～400万未満,10770,20.5
3,400～600万未満,8264,15.7
4,600～800万未満,5058,9.6
5,800～1000万未満,3276,6.2
6,1000～1200万未満,1825,3.5
7,1200～1500万未満,1253,2.4
8,1500～2000万未満,712,1.4
9,2000万円以上,485,0.9
10,わからない,4591,8.7
11,無回答,6191,11.8
全体,,52535,100
