番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),918,32.8
2,ほぼ変わらない（±5%未満）,1581,56.4
3,少し減少した（5-20%未満）,204,7.3
4,かなり減少した（20%以上）,99,3.5
全体,,2802,100
