番号,項目,回答数（人）,回答数（％）
1,割引やポイント等の特典の還元率が高いから,2025,72.3
2,使用できるお店が多いから,1443,51.5
3,手軽に利用できるから,1687,60.2
4,チャージが不要だから,403,14.4
5,使いすぎの心配がないから,129,4.6
6,使用明細がすぐに確認できるから,352,12.6
7,操作が分かりやすいから,203,7.2
8,携帯1つで決済できるから,449,16
9,その他,13,0.5
全体,,2802,
