開催,年度,部門,賞,作品名,氏名,フリガナ,属性,備考,備考2
第32回,令和3年度,クツ,最優秀賞,FLEXI-フレキシ-,前西　恭介,マエニシ　キョウスケ,プロダクトデザイナー,,
第32回,令和3年度,クツ,優秀賞,IN Boots,山田　泰之,ヤマダ　ヤスユキ,大学教員,,
第32回,令和3年度,クツ,優秀賞・審査員賞,Tanun,Nazanin of Saranjampour,Nazanin of Saranjampour,プロダクトデザイナー,勝井様,
第32回,令和3年度,クツ,優秀賞,SCALE-スケイル-,前西　恭介,マエニシ　キョウスケ,プロダクトデザイナー,,
第32回,令和3年度,カバン・バッグ,最優秀賞・審査員賞,The Loop,Laura Regina Wasilewski,Laura Regina Wasilewski,学生,鴨志田様,
第32回,令和3年度,カバン・バッグ,優秀賞・松屋銀座賞,Skeleton-infill,本田　耕,ホンダ　コウ,一級建築士事務所,松屋銀座賞,
第32回,令和3年度,カバン・バッグ,優秀賞,腕に通すBandage Bag,清水　真実子,シミズ　マミコ,学生,,
第32回,令和3年度,カバン・バッグ,優秀賞,ROMULUS,盧　意屏,ロ　イヘイ,学生,,
第32回,令和3年度,帽子,大賞,Vento,Donatella Granisso,Donatella Granisso,,,
第32回,令和3年度,帽子,優秀賞・審査員賞,charm,野津　陽子,ノツ　ヒロコ,学生,南馬越様,
第32回,令和3年度,帽子,優秀賞・審査員賞,Block Brim,樋口　愛純,ヒグチ　アスミ,学生,八木様,
第32回,令和3年度,帽子,優秀賞,Caudal Fin,岩城　咲奈,イワシロ　サナ,学生,,
第32回,令和3年度,ベルト・サスペンダー,最優秀賞,ロマンチックベルト,呉　澤青,ゴ　タクセイ,学生,,
第32回,令和3年度,ベルト・サスペンダー,優秀賞,繋のベルト,鄭　振甫,テイ　シンフ,学生,,
第32回,令和3年度,ベルト・サスペンダー,優秀賞,Down・Suspenders,杉本　夢,スギモト　ユウ,未記入,,
第32回,令和3年度,革小物,最優秀賞,NEPENTHES-ネペンテス-,前西　恭介,マエニシ　キョウスケ,プロダクトデザイナー,,
第32回,令和3年度,革小物,優秀賞,Dancer Vase,李　詩逸,リ　シイツ,学生,,
第32回,令和3年度,革小物,優秀賞,open book　まるで本が開いているかのようなメガネケース,加藤　文音,カトウ　アヤネ,学生,,
第32回,令和3年度,革小物,優秀賞,Ceremony brooch,吉田　佳祐,ヨシダ　ケイスケ,学生,,
第32回,令和3年度,レザーイノベーション,最優秀賞,CUBE,石崎　淑乃,イシザキ　ヨシノ,学生,,
第32回,令和3年度,レザーイノベーション,優秀賞,Twisted,辻　由梨佳,ツジ　ユリカ,学生,,
第32回,令和3年度,レザーイノベーション,優秀賞,Leather flower vase,松橋　孝之,マツハシ　タカユキ,デザイナー,,
第32回,令和3年度,レザーイノベーション,優秀賞,はっクツ,根本　新大,ネモト　アラタ,会社員,,
,,,,,,,,,"応募作品計2,522作品、各賞計20作品"
