 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,872","14,905,283","15,764","120,304,598",675,"12,773,365","5,632","102,753,931"
外航計,440,"11,290,169","3,488","89,625,117",411,"10,864,167","3,297","85,882,899"
外航定期計,416,"10,908,368","3,302","85,927,100",411,"10,864,167","3,297","85,882,899"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),36,"2,682,052",312,"21,396,508",36,"2,682,052",312,"21,396,508"
北米東岸(カリビア海含む),15,"770,110",80,"5,671,749",14,"763,108",79,"5,664,747"
北欧・地中海,7,"690,233",56,"5,505,082",7,"690,233",56,"5,505,082"
南米西岸,5,"630,007",33,"4,316,761",5,"630,007",33,"4,316,761"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"188,977",38,"1,646,587",4,"188,977",38,"1,646,587"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,145,"3,638,014","1,187","29,676,718",141,"3,600,815","1,183","29,639,519"
台湾,-,-,-,-,-,-,-,-
韓国,40,"347,805",354,"3,089,317",40,"347,805",354,"3,089,317"
中国(香港含む),164,"1,961,170","1,242","14,624,378",164,"1,961,170","1,242","14,624,378"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,24,"381,801",186,"3,698,017",-,-,-,-
内航計,"1,432","3,615,114","12,276","30,679,481",264,"1,909,198","2,335","16,871,032"
内航定期計,595,"2,622,779","4,580","22,338,205",254,"1,881,659","2,298","16,777,751"
北海道,99,"1,036,543",804,"8,646,712",99,"1,036,543",804,"8,646,712"
東北,49,"35,701",464,"363,193",49,"35,701",445,"348,962"
関東,90,"26,317",731,"233,380",-,-,2,998
伊豆諸島,223,"360,995","1,305","2,407,716",-,-,1,155
中部,28,"27,892",269,"341,560",28,"27,892",269,"341,560"
近畿,8,"5,992",98,"223,785",8,"5,992",98,"223,785"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,77,"907,717",718,"8,106,645",49,"553,909",488,"5,200,365"
沖縄,21,"221,622",191,"2,015,214",21,"221,622",191,"2,015,214"
内航不定期,837,"992,335","7,696","8,341,276",10,"27,539",37,"93,281"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
