 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,28,230,28,230,
,総トン数,,"353,808","2,906,280","353,808","2,906,280",
取扱貨物,計,計,"870,330","7,169,845","870,330","7,169,845",
,,出荷,"453,675","3,719,500","453,675","3,719,500",
,,入荷,"416,655","3,450,345","416,655","3,450,345",
取　扱　台　数,バ　ス,計,19,78,19,78,
,,出荷,6,31,6,31,
,,入荷,13,47,13,47,
,トラック,計,"7,825","64,944","7,825","64,944",
,,出荷,"4,135","34,084","4,135","34,084",
,,入荷,"3,690","30,860","3,690","30,860",
,乗用車,計,"5,492","41,746","5,492","41,746",
,,出荷,"3,271","24,890","3,271","24,890",
,,入荷,"2,221","16,856","2,221","16,856",
乗降人員,計,,"6,260","28,290","6,260","28,290",
,乗船,,"3,402","15,233","3,402","15,233",
,降船,,"2,858","13,057","2,858","13,057",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
