（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"905,881",84.9%,"7,888,238",93.6%,100.0%
1,アメリカ,"217,295",95.2%,"2,004,659",111.9%,25.4%
2,中国,"227,908",69.2%,"2,001,857",84.0%,25.4%
,(香港),"30,609",73.1%,"267,995",85.2%,3.4%
3,タイ,"57,398",97.2%,"538,107",86.0%,6.8%
4,ベトナム,"68,576",156.9%,"458,610",117.8%,5.8%
5,台湾,"46,245",102.8%,"365,663",87.7%,4.6%
6,オランダ,"36,578",74.6%,"321,651",89.5%,4.1%
7,韓国,"36,487",95.7%,"302,725",91.4%,3.8%
8,マレーシア,"26,096",62.2%,"274,692",78.5%,3.5%
9,インドネシア,"35,751",100.6%,"264,153",92.8%,3.3%
10,インド,"29,844",84.4%,"241,413",108.0%,3.1%
11,ドイツ,"15,934",65.5%,"156,341",99.3%,2.0%
12,フィリピン,"17,342",85.8%,"147,958",90.2%,1.9%
13,シンガポール,"15,166",58.7%,"142,555",88.6%,1.8%
14,イギリス,"11,764",77.6%,"96,504",81.3%,1.2%
15,カナダ,"8,839",74.8%,"87,400",85.5%,1.1%
16,ロシア,"7,117",103.2%,"65,187",103.9%,0.8%
17,ブラジル,"5,442",102.8%,"44,855",90.8%,0.6%
18,アラブ首長国,"4,590",106.6%,"44,815",93.5%,0.6%
19,フランス,"4,149",71.9%,"38,057",82.2%,0.5%
20,オーストラリア,"3,647",89.7%,"31,638",91.9%,0.4%
,その他,"29,713",78.5%,"259,398",79.1%,3.3%
,,,,,,
