< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,852,811",100.0%,"451,552","251,726","209,719","181,305","163,211"
,96.9%,,104.5%,95.8%,96.5%,95.1%,97.2%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製造食品,製材,その他化学工業品
,"341,772",12.0%,"80,623","58,411","35,834","32,467","16,422"
,95.9%,,114.2%,83.9%,104.5%,79.7%,92.3%
北米東岸(カリビア海含む),,,紙・パ　ル　プ,その他化学工業品,その他畜産品,たばこ,衣服・身廻品・はきもの
,"72,780",2.6%,"15,503","6,344","5,658","5,625","4,292"
,91.8%,,116.3%,110.7%,30.9%,914.6%,135.9%
北欧・地中海,,,製造食品,飲料,その他化学工業品,産業機械,衣服・身廻品・はきもの
,"154,092",5.4%,"19,625","19,326","14,004","10,892","10,511"
,87.7%,,81.7%,77.1%,82.2%,84.4%,251.9%
南米西岸,,,野菜・果物,飲料,水産品,その他畜産品,製造食品
,"38,918",1.4%,"15,422","5,917","5,144","4,108","2,565"
,101.6%,,139.7%,85.5%,113.0%,87.1%,163.7%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,製造食品,製材,野菜・果物,その他畜産品,木製品
,"13,164",0.5%,"3,014","2,475","2,102","1,208",856
,20.1%,,35.0%,22.6%,36.7%,9.2%,22.1%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,家具装備品,製造食品
,"1,199,497",42.0%,"203,006","131,925","96,090","81,170","78,744"
,91.8%,,95.2%,83.6%,92.9%,85.8%,107.1%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,木製品,飲料,産業機械
,"101,426",3.6%,"17,248","15,656","7,382","6,009","5,408"
,96.5%,,99.8%,121.2%,165.0%,102.8%,88.0%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,家具装備品,製造食品,金属製品
,"931,162",32.6%,"228,480","107,568","69,410","51,936","44,725"
,113.7%,,112.6%,123.3%,121.4%,90.9%,115.5%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
