 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,983,566","2,150,090","4,833,476","58,679,777","18,335,336","40,344,441","4,747,178","1,485,541","3,261,637","39,784,529","12,898,546","26,885,983"
外航計,"3,935,405","969,787","2,965,618","32,090,724","8,256,787","23,833,937","3,763,124","907,101","2,856,023","31,250,540","7,899,530","23,351,010"
外航定期計,"3,796,272","908,118","2,888,154","31,283,688","7,900,547","23,383,141","3,763,124","907,101","2,856,023","31,250,540","7,899,530","23,351,010"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"430,359","85,868","344,491","4,045,038","1,129,641","2,915,397","430,359","85,868","344,491","4,045,038","1,129,641","2,915,397"
北米東岸(カリビア海含む),"137,138","64,358","72,780","1,066,460","460,579","605,881","137,133","64,353","72,780","1,066,455","460,574","605,881"
北欧・地中海,"314,034","159,942","154,092","2,477,438","1,290,079","1,187,359","314,034","159,942","154,092","2,477,438","1,290,079","1,187,359"
南米西岸,"43,839","4,921","38,918","330,103","43,583","286,520","43,839","4,921","38,918","330,103","43,583","286,520"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"15,494","2,330","13,164","194,639","22,267","172,372","15,494","2,330","13,164","194,639","22,267","172,372"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,612,731","381,103","1,231,628","13,533,188","3,302,615","10,230,573","1,579,588","380,091","1,199,497","13,500,045","3,301,603","10,198,442"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"142,788","41,362","101,426","1,221,809","329,962","891,847","142,788","41,362","101,426","1,221,809","329,962","891,847"
中国(香港含む),"1,099,889","168,234","931,655","8,415,013","1,321,821","7,093,192","1,099,889","168,234","931,655","8,415,013","1,321,821","7,093,192"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"139,133","61,669","77,464","807,036","356,240","450,796",-,-,-,-,-,-
内航計,"3,048,161","1,180,303","1,867,858","26,589,053","10,078,549","16,510,504","984,054","578,440","405,614","8,533,989","4,999,016","3,534,973"
内航定期計,"1,872,295","1,034,888","837,407","16,034,858","8,838,231","7,196,627","944,873","552,114","392,759","8,406,194","4,892,482","3,513,712"
北海道,"318,642","173,254","145,388","3,029,003","1,705,712","1,323,291","318,642","173,254","145,388","3,029,003","1,705,712","1,323,291"
東北,"30,274","19,451","10,823","265,408","148,148","117,260","30,274","19,451","10,823","258,592","144,060","114,532"
関東,"48,436","23,144","25,292","396,979","184,992","211,987",-,-,-,442,-,442
伊豆諸島,"8,656","5,955","2,701","59,810","40,342","19,468",-,-,-,"4,344","3,173","1,171"
中部,"16,303","2,915","13,388","181,909","39,380","142,529","16,303","2,915","13,388","181,909","39,380","142,529"
近畿,"5,627",755,"4,872","75,420","9,109","66,311","5,627",755,"4,872","75,420","9,109","66,311"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,341,297","733,466","607,831","11,106,432","6,019,622","5,086,810","470,967","279,791","191,176","3,936,587","2,300,122","1,636,465"
沖縄,"103,060","75,948","27,112","919,897","690,926","228,971","103,060","75,948","27,112","919,897","690,926","228,971"
内航不定期,"1,175,866","145,415","1,030,451","10,554,195","1,240,318","9,313,877","39,181","26,326","12,855","127,795","106,534","21,261"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
