 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,983,566","58,679,777","969,787","8,256,787","905,881","7,888,238","2,965,618","23,833,937","2,852,811","22,997,615","1,180,303","10,078,549","1,867,858","16,510,504"
農水産品,,"444,099","3,777,039","16,266","180,065","16,266","179,962","390,004","3,337,126","322,408","2,777,995","26,136","129,271","11,693","130,577"
1,麦,"19,045","195,601",-,4,-,4,"13,184","137,744","1,826","17,757","2,902","10,165","2,959","47,688"
2,米,"5,171","48,395",176,"2,402",176,"2,402","1,575","16,378","1,575","16,378","2,210","20,765","1,210","8,850"
3,とうもろこし,360,"7,571",-,-,-,-,360,"7,232",360,"7,232",-,339,-,-
4,豆類,"12,710","121,638",7,293,7,293,"9,783","106,920","9,783","106,920","2,660","11,565",260,"2,860"
5,その他雑穀,230,"5,915",-,-,-,-,135,"4,425",135,"4,425",50,"1,245",45,245
6,野菜・果物,"156,864","1,312,267","1,259","14,890","1,259","14,787","139,401","1,213,595","83,163","774,451","12,764","53,833","3,440","29,949"
7,綿花,22,435,22,171,22,171,-,234,-,234,-,-,-,30
8,その他農産品,"20,918","171,600",798,"6,568",798,"6,568","19,023","160,290","19,023","160,290",942,"3,732",155,"1,010"
9,羊毛,60,394,-,-,-,-,60,373,60,373,-,21,-,-
10,その他畜産品,"147,323","1,161,671","2,477","23,380","2,477","23,380","141,237","1,109,480","141,237","1,109,480","1,612","10,981","1,997","17,830"
11,水産品,"81,396","751,552","11,527","132,357","11,527","132,357","65,246","580,455","65,246","580,455","2,996","16,625","1,627","22,115"
林産品,,"93,364","775,869","1,236","13,659","1,236","12,953","85,153","693,952","81,223","638,403","5,795","50,420","1,180","17,838"
12,原木,139,"4,096",34,"2,211",34,"2,211",105,"1,783",105,"1,783",-,22,-,80
13,製材,"80,503","664,576","1,090","11,031","1,090","10,325","73,788","600,350","69,858","544,801","5,090","41,493",535,"11,702"
14,樹脂類,"6,970","57,913",111,273,111,273,"5,999","49,420","5,999","49,420",475,"5,135",385,"3,085"
15,木材チップ,621,"5,052",1,107,1,107,494,"4,141",494,"4,141",-,30,126,774
16,その他林産品,364,"6,621",-,4,-,4,30,940,30,940,200,"3,575",134,"2,102"
17,薪炭,"4,767","37,611",-,33,-,33,"4,737","37,318","4,737","37,318",30,165,-,95
鉱産品,,"423,409","3,835,297","1,463","15,480","1,463","15,480","55,013","336,746","23,285","210,998","5,991","67,708","360,942","3,415,363"
18,石炭,"34,033","115,098",-,262,-,262,"34,033","114,816","2,305","33,707",-,-,-,20
19,鉄鉱石,255,315,-,-,-,-,255,315,255,315,-,-,-,-
20,金属鉱,845,"4,350",-,3,-,3,450,"3,252",450,"3,252",395,"1,095",-,-
21,砂利・砂,"294,486","2,645,341",34,412,34,412,"1,798","14,698","1,798","14,698",61,"23,695","292,593","2,606,536"
22,石材,"60,052","659,046",330,"3,792",330,"3,792","8,885","66,047","8,885","66,039",170,"1,703","50,667","587,504"
23,原油,90,"1,631",-,-,-,-,90,"1,631",90,"1,631",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"10,652","151,601",-,-,-,-,-,"1,056",-,"1,056",135,565,"10,517","149,980"
26,原塩,933,"9,604",3,35,3,35,870,"8,349",870,"8,349",-,20,60,"1,200"
27,非金属鉱物,"22,063","248,311","1,096","10,976","1,096","10,976","8,632","126,582","8,632","81,951","5,230","40,630","7,105","70,123"
金属機械工業品,,"2,289,096","19,762,396","381,957","3,442,299","377,010","3,417,171","657,740","5,725,614","653,829","5,667,444","657,206","5,606,515","592,193","4,987,968"
28,鉄鋼,"7,277","62,443","4,461","28,477","1,426","16,286","2,526","24,916","2,526","20,187",230,"1,970",60,"7,080"
29,鋼材,"109,655","1,007,704","16,398","161,710","16,392","161,657","11,127","103,300","8,704","79,420","1,559","13,897","80,571","728,797"
