 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"290,167","115,581","2,363,286","930,134","80,663","113,565","689,544","909,226","209,504","2,016","1,673,742","20,908"
,96.0%,101.7%,97.3%,102.9%,91.5%,102.5%,92.8%,103.2%,97.8%,70.2%,99.3%,90.2%
外航計,"268,296","102,773","2,179,754","791,395","69,927","102,114","603,302","785,845","198,369",659,"1,576,452","5,550"
,95.2%,109.0%,97.3%,108.1%,90.1%,109.4%,94.3%,108.6%,97.2%,70.6%,98.5%,67.0%
外航定期計,"268,296","102,773","2,179,754","791,395","69,927","102,114","603,302","785,845","198,369",659,"1,576,452","5,550"
,95.2%,109.0%,97.3%,108.1%,90.1%,109.4%,94.3%,108.6%,97.2%,70.6%,98.5%,67.0%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"30,195","16,931","282,345","111,153","7,147","16,765","87,249","109,525","23,048",166,"195,096","1,628"
,81.1%,120.4%,90.4%,97.5%,56.8%,122.0%,78.6%,97.7%,93.5%,53.0%,96.8%,84.5%
北米東岸(カリビア海含む),"10,164","2,077","76,574","18,987","5,154","2,051","35,457","18,851","5,010",26,"41,117",136
,104.9%,119.3%,86.6%,110.6%,119.0%,118.0%,95.1%,111.5%,93.5%,866.7%,80.5%,53.5%
北欧・地中海,"22,915","1,826","180,245","19,401","12,183","1,750","97,619","19,098","10,732",76,"82,626",303
,111.6%,119.1%,122.2%,121.4%,148.6%,118.2%,148.2%,121.9%,87.0%,143.4%,101.3%,93.8%
南米西岸,"3,186","2,354","23,504","17,136",367,"2,350","3,268","16,818","2,819",4,"20,236",318
,112.5%,862.3%,82.1%,239.0%,244.7%,883.5%,369.7%,281.6%,105.1%,57.1%,72.9%,26.6%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
