 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,983,566 ","58,679,777 ","3,935,405 ","969,787 ","2,965,618 ","32,090,724 ","8,256,787 ","23,833,937 ","3,048,161 ","1,180,303 ","1,867,858 ","26,589,053 ","10,078,549 ","16,510,504 "
公共計,"3,242,644 ","27,197,768 ","1,136,173 ","192,449 ","943,724 ","8,876,442 ","1,592,963 ","7,283,479 ","2,106,471 ","1,091,850 ","1,014,621 ","18,321,326 ","9,367,782 ","8,953,544 "
ドルフィン,"8,135 ","63,239 ",-,-,-,-,-,-,"8,135 ","8,135 ",-,"63,239 ","62,639 ",600 
芝浦ふ頭,"46,753 ","480,946 ",-,-,-,-,-,-,"46,753 ","1,644 ","45,109 ","480,946 ","12,758 ","468,188 "
芝浦物揚場,"5,421 ","54,147 ",-,-,-,-,-,-,"5,421 ","3,957 ","1,464 ","54,147 ","38,094 ","16,053 "
日の出ふ頭,"3,185 ","24,195 ",-,-,-,-,-,-,"3,185 ",-,"3,185 ","24,195 ",-,"24,195 "
竹芝ふ頭,"8,656 ","55,833 ",-,-,-,-,-,-,"8,656 ","5,955 ","2,701 ","55,833 ","37,536 ","18,297 "
品川岸壁,"568,864 ","4,941,652 ","348,204 ","71,617 ","276,587 ","2,741,660 ","532,588 ","2,209,072 ","220,660 ","125,272 ","95,388 ","2,199,992 ","1,308,926 ","891,066 "
品川コンテナ,"342,845 ","2,682,051 ","342,845 ","70,375 ","272,470 ","2,680,671 ","524,898 ","2,155,773 ",-,-,-,"1,380 ",690 ,690 
品川外貿,"5,359 ","60,989 ","5,359 ","1,242 ","4,117 ","60,989 ","7,690 ","53,299 ",-,-,-,-,-,-
品川内貿,"220,660 ","2,198,612 ",-,-,-,-,-,-,"220,660 ","125,272 ","95,388 ","2,198,612 ","1,308,236 ","890,376 "
月島ふ頭,"1,120 ","12,245 ",-,-,-,-,-,-,"1,120 ",455 ,665 ,"12,245 ","5,544 ","6,701 "
10号西岸壁,"526,957 ","4,399,674 ",-,-,-,-,-,-,"526,957 ","322,963 ","203,994 ","4,399,674 ","2,676,314 ","1,723,360 "
10号東岸壁,"29,619 ","242,769 ",-,-,-,-,-,-,"29,619 ",53 ,"29,566 ","242,769 ",954 ,"241,815 "
東京港フェリーふ頭,"870,330 ","7,169,845 ",-,-,-,-,-,-,"870,330 ","453,675 ","416,655 ","7,169,845 ","3,719,500 ","3,450,345 "
多目的ふ頭,50 ,100 ,-,-,-,-,-,-,50 ,50 ,-,100 ,50 ,50 
辰巳ふ頭,"27,512 ","257,272 ",-,-,-,-,-,-,"27,512 ","12,390 ","15,122 ","257,272 ","103,472 ","153,800 "
青海コンテナふ頭（公共）,"751,029 ","5,894,499 ","733,437 ","120,832 ","612,605 ","5,761,778 ","1,059,619 ","4,702,159 ","17,592 ","12,518 ","5,074 ","132,721 ","81,676 ","51,045 "
大井水産物ふ頭,-,50 ,-,-,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"14,172 ","166,185 ","11,358 ",-,"11,358 ","119,987 ",-,"119,987 ","2,814 ",-,"2,814 ","46,198 ",-,"46,198 "
大井食品ふ頭（OM）,"7,334 ","64,026 ","7,334 ",-,"7,334 ","64,026 ",-,"64,026 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"4,727 ","12,236 ","4,112 ",-,"4,112 ","11,621 ",-,"11,621 ",615 ,615 ,-,615 ,615 ,-
若洲内貿ふ頭,"47,070 ","413,026 ",-,-,-,-,-,-,"47,070 ","32,776 ","14,294 ","413,026 ","306,240 ","106,786 "
15号地木材ふ頭,-,"40,407 ",-,-,-,"34,305 ",706 ,"33,599 ",-,-,-,"6,102 ","2,376 ","3,726 "
若洲建材ふ頭,"58,276 ","518,313 ",-,-,-,-,-,-,"58,276 ","7,130 ","51,146 ","518,313 ","57,073 ","461,240 "
大井建材ふ頭,"85,780 ","935,237 ",-,-,-,-,-,-,"85,780 ",-,"85,780 ","935,237 ",-,"935,237 "
城南島建設発生土ふ頭,"51,260 ","512,180 ",-,-,-,-,-,-,"51,260 ","51,260 ",-,"512,180 ","512,180 ",-
中央防波堤内側ばら物ふ頭,"34,367 ","182,227 ","31,728 ",-,"31,728 ","143,015 ",-,"143,015 ","2,639 ",-,"2,639 ","39,212 ","15,701 ","23,511 "
中央防波堤内側建設発生土ふ頭,"11,481 ","79,355 ",-,-,-,-,-,-,"11,481 ","11,481 ",-,"79,355 ","79,355 ",-
中央防波堤内側内貿ふ頭,"80,546 ","678,110 ",-,-,-,-,-,-,"80,546 ","41,521 ","39,025 ","678,110 ","346,779 ","331,331 "
東京港埠頭㈱計,"2,704,495 ","22,317,442 ","2,584,485 ","741,440 ","1,843,045 ","21,381,833 ","6,350,049 ","15,031,784 ","120,010 ","60,850 ","59,160 ","935,609 ","388,640 ","546,969 "
青海コンテナふ頭(埠頭㈱),"556,179 ","4,485,901 ","544,012 ","120,366 ","423,646 ","4,370,266 ","951,501 ","3,418,765 ","12,167 ","10,275 ","1,892 ","115,635 ","93,618 ","22,017 "
お台場ライナーふ頭,"83,780 ","559,487 ","76,218 ","61,298 ","14,920 ","464,040 ","357,636 ","106,404 ","7,562 ","1,799 ","5,763 ","95,447 ","22,560 ","72,887 "
大井コンテナふ頭,"2,064,536 ","17,272,054 ","1,964,255 ","559,776 ","1,404,479 ","16,547,527 ","5,040,912 ","11,506,615 ","100,281 ","48,776 ","51,505 ","724,527 ","272,462 ","452,065 "
民間計,"1,036,427 ","9,164,567 ","214,747 ","35,898 ","178,849 ","1,832,449 ","313,775 ","1,518,674 ","821,680 ","27,603 ","794,077 ","7,332,118 ","322,127 ","7,009,991 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
