年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,1,0,6,4,3,3,1,6,5,4,4,2,10,9,5,4,4,9,2,0,0,4,2,3,7,5,18,11,33,28,1,5,3,6,7,5,1,7,5,6,7,6,3,2,5,10,5,3,4,9,2,3,3,6,2,1,7,6,3,2,2,5,1,0,0,0,13,8,12,11,1,0,0,1,4,3,10,9,13,17,18,20,3,4,7,1,0,0,5,4,18,8,16,14,3,5,6,1,3,5,0,0,8,3,3,4,2,1,1,1,0,1,12,18,7,6,0,0,1,3,1,0,1,3,13,11,8,11,8,11,3,4,2,3,2,2,9,10,7,4,22,26,0,0,3,4,5,3,6,4,1,3,0,0,1,0,1,0,2,0,0,1,8,6,431,428,859
1,1,2,12,10,4,2,1,10,5,11,4,4,9,10,5,3,8,12,2,0,1,1,1,1,7,3,11,11,34,29,3,4,6,6,8,6,3,5,5,5,11,3,1,5,10,5,7,2,0,4,5,0,7,1,2,1,4,5,5,1,6,4,1,2,1,0,8,7,10,12,2,2,1,3,2,3,10,8,19,10,19,14,2,4,6,4,0,0,4,4,16,14,18,15,6,9,5,9,4,4,0,0,7,2,5,5,1,2,1,3,1,0,17,8,2,7,1,6,0,0,0,2,5,4,15,11,10,11,11,2,1,2,1,1,3,4,10,13,7,9,22,20,0,3,3,8,6,5,8,7,3,1,0,0,0,0,0,0,1,1,1,1,4,8,468,436,904
2,1,4,8,9,3,3,7,7,9,9,3,3,11,8,8,8,7,7,3,0,3,0,2,4,5,8,11,10,40,34,4,3,6,8,12,10,11,9,1,4,5,8,6,4,16,8,6,5,7,4,5,4,4,1,1,1,5,8,2,1,3,3,1,7,0,0,9,17,11,18,0,1,7,8,7,7,6,8,11,14,26,19,7,2,6,5,0,0,4,4,23,9,17,15,2,7,5,5,3,9,0,0,5,3,5,7,0,1,0,1,1,0,19,10,8,5,1,0,3,1,3,0,2,3,15,16,11,5,9,7,6,5,5,7,6,1,17,16,6,3,34,25,1,1,6,8,7,4,3,2,3,4,0,0,3,2,1,2,2,1,2,0,6,9,550,499,"1,049"
3,4,2,15,11,6,5,5,8,6,5,3,4,7,6,7,6,8,6,3,1,4,1,2,5,11,6,12,5,36,42,0,4,2,8,11,9,5,12,7,5,2,5,2,2,8,11,8,9,5,6,8,4,1,3,5,1,13,8,6,3,8,7,0,0,0,0,14,17,8,10,0,1,4,3,9,7,5,13,9,12,30,19,4,1,8,8,0,0,2,6,12,12,11,18,6,10,5,6,1,3,0,0,4,11,8,4,4,4,2,2,1,1,17,8,5,4,2,3,1,1,2,3,4,0,24,22,14,19,13,10,3,3,6,3,8,5,24,19,6,6,24,31,1,1,12,4,4,2,4,4,0,3,0,1,3,0,1,0,3,1,2,1,7,2,557,534,"1,091"
4,2,4,12,10,3,3,4,5,4,10,3,2,10,13,9,7,7,7,2,1,2,1,2,4,4,2,11,11,41,36,5,5,6,5,11,10,6,7,3,5,6,3,4,3,6,5,7,9,5,3,6,1,5,6,2,1,8,5,2,6,8,8,4,4,1,2,11,15,10,16,1,0,5,3,7,7,8,5,14,15,35,38,4,5,5,6,0,1,3,4,19,14,13,14,4,3,6,6,1,4,0,0,6,3,3,8,1,1,3,3,1,2,13,17,4,4,1,2,3,4,2,0,1,3,22,15,13,17,10,4,2,3,4,5,3,5,18,20,8,7,21,29,2,4,9,4,10,3,2,4,2,2,0,0,1,1,1,0,3,1,1,0,6,5,533,536,"1,069"
5,3,2,11,6,6,5,13,6,5,5,4,6,15,12,11,4,5,7,1,1,3,3,2,1,7,9,13,9,41,40,5,2,9,6,16,12,3,13,7,5,4,6,2,8,13,12,6,7,6,1,8,3,3,4,0,0,6,8,1,9,8,9,8,4,1,1,12,8,10,12,1,0,4,8,6,9,4,11,12,13,30,41,3,3,4,5,0,0,3,3,16,17,12,16,7,3,6,8,2,4,0,0,7,6,6,11,2,8,2,0,3,1,16,14,7,6,0,3,1,1,3,2,2,3,15,24,24,14,9,9,3,7,8,7,5,6,16,18,5,2,31,34,1,3,7,7,3,7,5,3,3,4,0,1,0,0,3,1,1,1,2,0,11,4,579,594,"1,173"
6,6,1,8,7,3,4,7,7,4,10,5,4,31,12,11,11,10,6,2,1,2,2,1,3,6,4,6,15,58,57,5,4,7,4,8,11,5,5,9,4,1,3,4,2,4,12,4,4,6,4,3,3,3,1,1,1,7,8,6,4,8,7,2,5,1,1,16,10,14,16,0,0,5,5,8,9,6,16,8,15,29,31,0,5,5,5,1,0,2,7,15,16,12,16,4,5,5,9,7,7,0,0,11,4,9,6,1,4,2,4,2,1,12,11,6,5,2,3,2,1,3,2,2,3,16,17,31,26,11,12,6,2,1,4,8,7,12,20,3,9,23,25,2,3,8,7,8,8,5,7,6,3,0,0,3,2,0,2,3,2,2,1,5,5,586,605,"1,191"
7,4,0,12,8,2,5,3,8,4,6,2,1,28,18,11,8,8,6,3,3,0,3,2,2,3,3,15,5,49,51,2,3,8,7,9,11,7,5,5,8,3,1,11,7,6,8,7,14,3,4,4,3,3,10,0,1,9,3,1,6,7,8,7,5,0,1,10,5,24,13,3,0,4,3,15,5,10,7,16,14,40,32,2,6,3,6,1,0,5,4,10,13,12,11,7,5,3,7,6,5,0,0,9,4,3,10,0,3,5,1,1,0,12,8,10,7,6,5,3,2,2,3,4,6,11,17,23,20,7,10,4,6,8,6,8,7,10,11,6,13,25,24,1,4,7,10,7,10,6,2,5,3,1,0,2,3,0,0,1,3,0,1,10,10,606,577,"1,183"
8,2,6,4,14,6,4,6,7,8,7,5,2,19,17,11,11,6,7,1,2,1,1,7,2,3,3,10,10,74,50,7,5,7,2,11,4,5,8,3,5,1,3,2,1,8,0,6,10,8,1,7,4,7,8,2,3,6,3,6,1,6,11,5,9,0,3,9,5,22,7,0,0,5,2,12,18,9,7,13,13,45,31,2,4,9,8,0,1,3,8,16,14,9,9,4,4,6,6,4,5,0,0,6,8,9,8,1,2,3,0,2,1,9,8,10,8,5,4,3,0,4,2,1,2,7,19,22,14,11,5,2,4,13,7,10,8,10,10,2,3,23,34,3,3,9,7,5,6,2,2,2,4,1,1,2,1,1,3,0,0,0,0,4,9,610,549,"1,159"
9,2,1,13,10,5,6,3,3,5,8,4,5,28,26,8,11,6,4,0,1,0,3,7,5,10,2,9,7,53,56,3,4,3,6,8,6,5,8,7,8,6,5,5,5,8,7,10,7,3,5,4,7,3,2,0,0,6,8,5,3,9,3,3,7,0,2,5,8,11,19,1,0,4,5,14,13,4,6,18,20,31,39,4,3,2,1,0,1,6,4,14,9,16,11,10,1,8,5,6,1,0,0,9,8,15,14,2,3,0,6,0,4,9,9,14,7,4,6,2,2,3,4,1,2,12,11,28,16,5,14,2,8,7,7,9,10,10,7,12,13,29,22,2,2,2,10,4,13,9,3,8,4,3,0,1,2,2,1,2,2,2,1,7,5,610,603,"1,213"
10,1,2,8,6,6,5,7,5,4,5,4,5,35,19,20,13,6,13,1,3,2,4,3,2,4,2,13,7,46,48,7,5,9,7,9,6,8,8,6,5,4,6,2,2,6,9,8,12,3,6,4,6,10,4,1,3,11,7,3,5,4,8,3,2,3,0,6,7,7,14,0,1,5,7,17,11,8,4,19,19,23,35,5,0,3,4,1,2,5,5,13,10,13,8,5,4,4,7,4,5,0,0,8,9,12,6,3,2,4,3,0,2,7,11,8,16,2,2,3,1,6,5,4,4,10,14,17,15,10,10,8,4,10,7,6,15,9,11,6,9,33,39,3,3,9,9,6,7,1,3,6,4,2,0,3,3,2,0,4,4,1,0,10,9,612,610,"1,222"
11,4,2,7,9,9,5,8,5,15,10,2,4,35,48,8,17,5,6,1,2,2,0,2,2,5,5,14,15,69,40,7,1,8,7,5,9,4,3,3,8,6,1,2,1,8,14,12,8,4,8,3,4,9,7,1,3,5,7,2,5,6,4,5,6,2,0,6,4,17,17,0,0,6,1,18,13,6,2,19,15,16,20,0,6,5,3,2,0,6,8,14,23,15,18,3,4,9,12,1,10,0,0,10,11,10,16,4,3,6,3,3,2,17,8,17,16,0,6,3,4,6,3,6,3,9,13,18,12,10,14,8,7,10,8,18,6,12,12,12,7,39,32,1,3,5,6,9,4,3,5,6,7,0,1,6,3,3,0,2,1,1,1,5,6,680,645,"1,325"
12,3,5,7,7,9,7,6,4,11,6,2,5,27,22,12,13,10,5,3,0,1,2,4,3,6,3,18,14,56,59,5,2,5,12,5,7,2,6,5,7,7,5,3,5,5,6,4,7,6,1,7,5,2,7,2,2,6,3,5,3,6,6,3,4,1,0,6,3,10,9,0,1,6,5,19,16,6,7,15,18,13,16,4,4,6,5,1,1,3,6,11,12,17,17,4,5,8,7,6,5,0,0,9,8,16,10,7,3,5,6,0,1,10,17,13,6,1,7,1,1,5,3,5,5,11,17,11,11,15,8,5,3,7,16,14,8,10,11,9,8,33,37,3,2,9,5,9,9,1,2,8,9,5,0,4,2,1,2,0,3,0,4,7,9,623,613,"1,236"
13,5,1,9,9,4,7,5,11,6,8,4,4,32,19,10,11,6,4,3,5,2,2,4,0,5,4,8,7,65,48,6,9,6,8,7,10,3,5,9,3,4,9,3,2,8,8,9,10,5,3,9,13,7,4,5,2,4,12,5,2,5,8,2,0,0,1,6,5,7,7,4,2,1,5,11,18,7,10,20,15,8,14,5,6,4,8,0,2,6,5,12,13,12,24,6,5,7,14,8,7,0,0,11,9,10,25,1,5,3,4,1,1,9,12,10,8,1,3,3,0,6,6,2,1,13,11,17,13,13,7,7,7,9,4,13,8,16,13,14,5,44,29,1,1,5,12,7,6,4,3,6,7,0,4,7,1,1,3,3,1,3,2,5,10,634,630,"1,264"
14,3,4,10,9,11,5,5,4,2,2,4,6,34,35,14,17,4,8,4,2,2,2,5,4,7,5,12,10,54,51,5,2,5,3,8,6,3,4,8,9,6,4,5,0,8,1,9,6,12,3,3,7,5,3,3,4,8,5,4,3,8,5,2,3,1,1,5,7,4,4,0,1,5,1,11,15,3,6,23,12,3,8,2,5,3,5,0,2,8,4,11,11,20,11,3,6,4,4,6,7,0,0,7,5,18,9,5,8,4,5,2,1,9,11,13,15,4,8,2,2,5,1,1,3,12,17,15,17,11,7,9,4,9,6,13,8,13,14,9,9,30,30,1,2,3,6,11,7,5,3,6,6,0,1,5,1,2,2,0,2,1,1,9,12,619,565,"1,184"
15,1,5,6,11,11,3,7,8,9,7,5,2,30,23,11,14,9,10,5,0,0,1,3,4,7,5,7,7,55,52,3,3,12,4,6,9,4,5,2,6,0,5,4,0,6,3,7,12,5,3,6,3,9,8,3,0,12,4,5,3,5,6,4,3,1,1,8,9,9,10,0,0,7,3,12,5,8,7,15,18,11,5,3,8,6,4,3,1,5,8,14,11,18,12,4,3,5,5,5,5,0,0,13,4,6,8,6,8,5,2,3,2,10,10,7,12,7,7,2,2,7,6,3,5,6,5,7,12,8,10,11,7,10,8,8,11,13,10,10,10,36,36,3,3,6,5,9,7,4,5,7,7,0,1,3,3,0,4,1,2,2,1,6,10,612,567,"1,179"
16,3,2,5,10,6,5,5,8,7,11,2,6,31,30,22,12,12,10,4,2,1,0,3,3,5,5,12,12,60,56,5,2,9,4,8,6,2,5,9,8,8,7,5,1,8,5,9,4,4,9,5,6,4,6,3,3,11,11,7,5,6,5,1,2,0,0,3,5,6,6,1,1,2,5,5,9,6,7,27,24,5,4,3,3,6,8,3,1,9,7,19,9,14,19,6,6,8,7,6,6,0,0,7,10,13,18,4,5,5,5,1,0,15,7,11,15,5,4,4,2,6,3,2,4,8,8,12,14,10,13,9,7,11,9,7,11,12,14,9,12,31,36,7,3,12,10,11,6,2,3,3,9,2,3,3,2,2,1,1,0,2,2,7,10,645,634,"1,279"
17,5,3,11,13,13,8,7,6,7,4,5,4,16,20,11,13,6,15,2,4,0,0,2,4,1,3,11,7,63,63,1,4,7,9,11,2,4,6,2,3,5,4,4,0,3,7,11,11,4,7,2,2,7,6,3,0,9,6,4,4,10,8,5,3,1,1,9,2,9,9,1,1,6,1,4,8,8,7,27,23,4,8,5,5,7,7,3,2,7,6,9,16,18,12,8,6,5,8,9,4,0,0,5,5,21,14,5,6,4,3,0,4,14,16,12,9,5,7,3,1,3,3,3,2,7,12,14,11,7,7,10,10,7,8,5,6,13,13,7,10,30,27,4,1,11,7,8,10,4,4,3,7,0,2,3,3,8,2,1,1,4,4,7,6,620,596,"1,216"
18,5,5,12,9,7,10,6,5,6,4,6,4,18,19,16,25,9,11,5,1,1,1,4,3,6,6,14,11,56,53,2,3,3,6,7,3,3,8,5,6,4,9,2,5,7,8,9,9,4,6,9,1,10,5,4,3,16,10,10,7,14,4,2,4,1,1,9,9,15,14,2,7,4,6,14,10,3,8,24,18,14,9,10,5,6,4,2,4,6,10,8,12,18,13,10,6,6,7,15,5,0,0,10,7,14,11,4,6,4,7,3,1,15,20,14,9,7,9,0,2,3,4,3,1,7,11,12,12,9,16,6,8,11,6,11,13,19,24,10,11,26,18,2,2,12,6,5,7,8,5,9,10,1,3,3,3,4,3,3,3,4,2,8,9,696,661,"1,357"
19,3,5,9,18,5,11,9,5,9,10,8,2,24,13,21,17,11,9,4,1,0,0,8,7,7,2,13,9,81,58,6,4,11,9,9,9,7,4,3,7,3,5,4,7,10,5,9,6,4,4,4,7,8,7,2,0,9,10,8,3,11,13,7,1,0,0,9,13,9,9,5,12,4,6,9,9,11,12,24,21,11,8,11,3,8,7,2,5,12,6,15,14,12,9,7,7,10,10,11,7,0,0,7,7,13,23,1,7,2,4,2,1,13,23,13,14,5,10,3,1,2,7,4,4,12,12,13,10,8,12,11,9,11,12,15,14,9,15,14,7,14,23,2,4,11,8,8,10,9,5,6,2,3,2,4,1,3,1,3,3,2,2,11,16,731,695,"1,426"
20,8,1,9,15,9,10,7,4,3,8,6,5,26,20,20,13,11,14,2,2,4,1,6,4,6,7,14,23,87,58,8,7,5,3,9,9,10,7,11,11,12,8,7,2,8,18,13,15,2,6,5,1,6,11,2,1,8,5,4,5,10,9,1,2,0,0,9,11,23,14,6,8,5,6,4,7,7,12,28,20,7,4,8,7,8,8,3,4,13,11,11,14,16,12,7,3,8,9,8,14,0,0,10,7,3,10,8,6,3,3,4,1,10,18,14,17,7,4,2,2,6,3,1,3,11,14,8,9,8,9,8,9,8,7,17,9,10,16,15,11,13,19,2,3,9,6,8,16,7,9,5,4,1,7,6,1,2,5,2,0,5,4,17,12,740,713,"1,453"
21,3,6,16,24,7,3,11,13,8,7,3,5,20,17,19,19,9,6,2,3,2,0,4,2,5,2,19,22,59,51,2,5,9,3,4,8,6,4,28,20,10,5,4,7,16,13,14,5,4,6,10,8,9,17,1,1,9,20,1,3,12,13,0,1,1,0,8,9,19,15,8,10,5,10,4,8,8,17,31,30,11,11,17,7,5,9,0,3,17,21,13,17,10,14,7,10,8,5,10,8,0,0,11,11,20,23,3,6,4,3,3,1,23,17,5,10,9,7,2,1,3,5,1,5,13,12,16,9,7,14,6,8,8,6,17,8,21,6,11,15,7,18,3,6,4,2,7,10,20,5,4,4,0,0,1,3,1,4,1,0,3,1,10,9,752,752,"1,504"
22,2,3,13,30,7,9,8,16,10,8,8,10,16,12,22,11,15,4,4,5,4,1,4,1,12,6,18,26,70,56,7,3,9,4,4,5,13,4,31,22,12,14,3,7,24,19,14,11,5,3,3,10,12,7,2,2,11,6,5,3,8,4,1,1,0,0,13,21,19,20,9,6,10,10,6,13,11,14,28,38,9,8,8,1,6,7,4,0,13,19,15,12,10,12,10,5,11,6,13,8,0,0,14,13,9,15,6,1,2,2,1,2,21,28,13,11,12,7,2,2,5,10,2,3,15,18,9,9,9,6,5,9,10,7,13,8,12,20,14,18,20,17,3,2,4,8,6,9,11,2,3,0,2,2,4,3,3,0,3,1,3,1,17,18,825,775,"1,600"
23,2,3,24,31,5,8,16,12,7,6,7,3,15,18,18,15,16,8,2,0,0,1,4,2,5,2,21,27,82,57,7,5,6,8,14,5,13,11,31,10,13,14,3,10,15,20,17,7,3,2,3,6,15,14,3,4,11,12,4,3,6,7,4,3,0,0,14,18,22,23,7,4,18,11,7,14,10,12,18,35,5,7,8,4,4,8,0,2,4,22,14,18,15,8,4,7,3,8,9,16,0,0,12,14,11,10,3,4,2,2,2,1,20,27,20,16,2,12,2,3,4,3,3,2,18,14,11,8,12,10,5,13,11,7,10,5,14,11,12,17,9,12,3,3,8,2,13,17,6,11,4,3,1,1,2,3,1,2,2,1,0,0,15,19,792,804,"1,596"
