年齢別人口　令和２年５月１日現在,,,,
年齢,男,女,合計,
0,429,426,855,
1,484,438,922,
2,551,503,"1,054",
3,539,545,"1,084",
4,555,537,"1,092",
5,573,596,"1,169",
6,608,602,"1,210",
7,594,548,"1,142",
8,603,557,"1,160",
9,602,619,"1,221",
小計,"5,538","5,371","10,909",
10,642,632,"1,274",
11,666,613,"1,279",
12,628,622,"1,250",
13,646,626,"1,272",
14,620,549,"1,169",
15,606,581,"1,187",
16,632,654,"1,286",
17,625,573,"1,198",
18,701,666,"1,367",
19,724,682,"1,406",
小計,"6,490","6,198","12,688",
20,757,722,"1,479",
21,790,771,"1,561",
22,796,781,"1,577",
23,807,825,"1,632",
24,807,747,"1,554",
25,772,786,"1,558",
26,712,687,"1,399",
27,711,686,"1,397",
28,682,610,"1,292",
29,668,629,"1,297",
小計,"7,502","7,244","14,746",
30,686,637,"1,323",
31,690,699,"1,389",
32,783,721,"1,504",
33,835,780,"1,615",
34,819,795,"1,614",
35,885,847,"1,732",
36,956,890,"1,846",
37,929,952,"1,881",
38,923,931,"1,854",
39,"1,070",928,"1,998",
小計,"8,576","8,180","16,756",
40,"1,050",912,"1,962",
41,"1,098","1,011","2,109",
42,"1,128","1,116","2,244",
43,"1,188","1,062","2,250",
44,"1,128","1,113","2,241",
45,"1,262","1,245","2,507",
46,"1,255","1,213","2,468",
47,"1,262","1,250","2,512",
48,"1,373","1,252","2,625",
49,"1,197","1,170","2,367",
小計,"11,941","11,344","23,285",
50,"1,170","1,178","2,348",
51,"1,234","1,158","2,392",
52,"1,170","1,077","2,247",
53,"1,045",949,"1,994",
54,"1,002",952,"1,954",
55,"1,032","1,037","2,069",
56,958,899,"1,857",
57,922,904,"1,826",
58,873,849,"1,722",
59,799,806,"1,605",
小計,"10,205","9,809","20,014",
60,781,796,"1,577",
61,762,845,"1,607",
62,777,829,"1,606",
63,729,821,"1,550",
64,754,890,"1,644",
65,770,926,"1,696",
66,811,951,"1,762",
67,842,"1,054","1,896",
68,962,"1,062","2,024",
69,985,"1,192","2,177",
小計,"8,173","9,366","17,539",
70,"1,113","1,345","2,458",
71,"1,228","1,407","2,635",
72,"1,302","1,508","2,810",
73,992,"1,132","2,124",
74,683,836,"1,519",
75,839,968,"1,807",
76,910,"1,245","2,155",
77,903,"1,056","1,959",
78,885,"1,009","1,894",
79,781,983,"1,764",
小計,"9,636","11,489","21,125",
80,669,801,"1,470",
81,543,715,"1,258",
82,601,691,"1,292",
83,507,654,"1,161",
84,465,670,"1,135",
85,404,495,899,
86,355,466,821,
87,303,465,768,
88,231,407,638,
89,184,331,515,
小計,"4,262","5,695","9,957",
90,138,268,406,
91,117,257,374,
92,65,215,280,
93,65,157,222,
94,38,136,174,
95,32,114,146,
96,20,82,102,
97,14,47,61,
98,2,44,46,
99,8,28,36,
小計,499,"1,348","1,847",
100以上,8,55,63,
合計,"72,830","76,099","148,929",
,,,,
