年齢別人口　令和２年１２月１日現在,,,,
年齢,男,女,合計,
0,405,398,803,
1,490,432,922,
2,487,470,957,
3,583,509,"1,092",
4,534,536,"1,070",
5,563,578,"1,141",
6,574,590,"1,164",
7,613,592,"1,205",
8,595,537,"1,132",
9,603,569,"1,172",
小計,"5,447","5,211","10,658",
10,619,653,"1,272",
11,637,605,"1,242",
12,648,641,"1,289",
13,641,623,"1,264",
14,626,598,"1,224",
15,631,562,"1,193",
16,609,607,"1,216",
17,618,612,"1,230",
18,676,612,"1,288",
19,700,685,"1,385",
小計,"6,405","6,198","12,603",
20,740,731,"1,471",
21,780,735,"1,515",
22,780,772,"1,552",
23,785,740,"1,525",
24,814,805,"1,619",
25,749,754,"1,503",
26,692,728,"1,420",
27,717,670,"1,387",
28,674,662,"1,336",
29,665,601,"1,266",
小計,"7,396","7,198","14,594",
30,692,610,"1,302",
31,670,676,"1,346",
32,732,683,"1,415",
33,841,745,"1,586",
34,790,774,"1,564",
35,864,816,"1,680",
36,921,883,"1,804",
37,919,907,"1,826",
38,969,938,"1,907",
39,955,910,"1,865",
小計,"8,353","7,942","16,295",
40,"1,056",913,"1,969",
41,"1,058",970,"2,028",
42,"1,112","1,036","2,148",
43,"1,134","1,119","2,253",
44,"1,189","1,091","2,280",
45,"1,149","1,143","2,292",
46,"1,283","1,236","2,519",
47,"1,291","1,233","2,524",
48,"1,317","1,287","2,604",
49,"1,269","1,200","2,469",
小計,"11,858","11,228","23,086",
50,"1,220","1,196","2,416",
51,"1,177","1,146","2,323",
52,"1,236","1,169","2,405",
53,"1,185","1,068","2,253",
54,899,832,"1,731",
55,"1,085","1,048","2,133",
56,"1,015",968,"1,983",
57,944,912,"1,856",
58,900,848,"1,748",
59,824,842,"1,666",
小計,"10,485","10,029","20,514",
60,800,781,"1,581",
61,772,827,"1,599",
62,776,867,"1,643",
63,714,806,"1,520",
64,770,819,"1,589",
65,769,935,"1,704",
66,748,940,"1,688",
67,810,989,"1,799",
68,932,"1,055","1,987",
69,953,"1,124","2,077",
小計,"8,044","9,143","17,187",
70,"1,010","1,229","2,239",
71,"1,176","1,412","2,588",
72,"1,272","1,448","2,720",
73,"1,173","1,359","2,532",
74,754,925,"1,679",
75,785,888,"1,673",
76,869,"1,134","2,003",
77,899,"1,135","2,034",
78,933,"1,037","1,970",
79,786,979,"1,765",
小計,"9,657","11,546","21,203",
80,736,893,"1,629",
81,609,765,"1,374",
82,529,685,"1,214",
83,562,640,"1,202",
84,467,668,"1,135",
85,419,592,"1,011",
86,367,438,805,
87,293,481,774,
88,265,419,684,
89,193,323,516,
小計,"4,440","5,904","10,344",
90,152,302,454,
91,123,245,368,
92,73,233,306,
93,63,168,231,
94,43,141,184,
95,34,116,150,
96,18,82,100,
97,14,64,78,
98,7,35,42,
99,5,30,35,
小計,532,"1,416","1,948",
100以上,9,62,71,
合計,"72,626","75,877","148,503",
,,,,
