年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,3,9,12,4,5,0,9,7,7,6,5,10,6,5,3,6,9,3,0,0,4,0,2,10,5,17,13,30,35,2,6,3,7,3,3,3,7,3,8,6,3,4,4,6,6,8,2,2,4,4,0,3,3,2,1,4,5,5,0,3,3,0,1,0,0,11,8,13,14,2,0,0,2,3,5,12,4,18,12,22,15,4,5,11,5,0,0,5,5,14,11,13,13,6,8,9,4,5,3,0,0,11,2,3,3,3,0,1,2,1,1,14,15,3,4,1,2,1,1,1,0,3,3,17,8,4,9,14,8,3,3,1,1,4,1,8,10,6,7,27,20,0,0,4,6,7,4,8,4,2,2,0,0,1,0,0,0,2,0,1,0,5,9,474,420,894
1,0,2,9,7,4,2,5,7,3,12,1,2,7,7,5,4,6,6,1,0,2,0,1,4,4,5,10,8,45,34,5,4,4,6,10,7,4,5,3,3,8,7,3,2,15,6,6,3,3,2,6,1,6,1,2,0,5,7,3,2,4,4,2,2,1,0,9,10,10,16,0,1,6,6,2,6,5,9,14,11,20,18,3,3,5,4,0,0,4,4,16,14,18,16,3,8,2,7,1,6,0,0,3,3,5,4,0,2,1,3,1,0,21,11,5,7,1,3,2,1,3,1,4,4,15,10,13,7,8,3,1,4,2,2,4,3,10,11,8,7,29,23,0,1,4,4,8,4,5,7,4,4,0,0,1,1,1,0,0,1,2,1,4,4,476,437,913
2,4,4,11,8,1,5,4,9,6,7,4,4,11,9,9,7,9,7,3,0,2,1,4,4,8,8,16,10,36,37,1,5,7,8,10,7,10,13,5,6,6,7,4,3,11,8,6,7,3,3,2,4,2,0,1,1,12,9,2,2,7,4,0,5,0,0,13,20,13,12,0,1,3,6,12,4,5,13,9,10,25,18,7,0,8,6,0,0,4,6,23,10,14,19,6,10,8,4,3,6,0,0,6,7,7,6,1,2,0,2,2,1,15,10,8,7,2,2,1,0,1,1,3,2,21,23,13,11,8,8,8,5,4,5,5,3,24,20,9,3,24,22,1,2,8,8,5,4,2,2,2,0,0,1,3,1,0,2,3,1,1,1,6,7,563,526,"1,089"
3,1,3,17,9,6,3,5,5,5,4,2,3,6,12,9,4,10,7,1,2,3,1,2,3,7,3,6,7,32,42,1,3,9,5,12,9,6,10,4,6,2,4,5,2,5,10,9,8,6,4,9,2,3,4,2,1,6,1,6,3,7,11,2,1,0,2,15,16,7,16,0,1,7,3,6,6,8,8,14,19,29,24,3,1,9,6,0,1,2,3,18,13,13,18,5,5,1,7,1,4,0,0,7,10,4,4,2,2,5,1,1,0,13,17,5,3,2,2,2,2,3,2,4,3,29,19,10,18,10,8,3,4,6,5,5,4,19,22,8,9,25,27,3,1,12,2,8,3,4,5,2,2,0,0,1,0,1,0,2,3,1,0,6,6,547,529,"1,076"
4,0,3,7,11,3,3,11,6,5,6,6,5,11,8,11,8,7,7,2,1,0,0,2,3,7,9,12,11,47,38,7,5,4,5,16,11,2,13,6,2,6,3,3,4,11,7,3,8,5,3,7,4,2,6,3,1,10,9,1,8,7,4,7,5,2,0,9,11,10,15,1,1,3,5,6,9,9,11,9,10,40,44,5,7,2,6,0,0,2,6,12,15,11,13,6,2,10,8,1,3,0,0,2,6,3,6,2,5,1,2,4,3,15,12,7,7,0,2,3,3,1,1,0,2,17,22,18,10,13,6,3,3,6,3,7,7,19,15,6,5,26,31,1,5,7,8,5,5,4,3,0,3,0,1,1,1,2,0,4,0,1,0,14,3,561,563,"1,124"
5,3,2,13,4,6,5,8,9,4,8,5,2,23,14,11,6,8,5,2,1,3,2,2,2,6,2,12,11,53,49,5,3,7,7,5,7,6,5,6,4,5,7,4,8,7,12,5,7,8,1,6,3,4,2,1,1,7,8,2,7,10,10,3,6,0,1,14,11,11,14,1,0,5,5,7,8,4,13,11,14,25,35,1,3,5,5,1,0,3,5,17,19,9,17,6,6,3,5,7,6,0,0,13,4,8,11,1,5,2,0,2,0,16,15,4,3,1,4,0,1,4,3,3,4,16,18,32,28,6,11,2,7,3,4,7,4,14,19,4,5,26,30,0,0,7,6,4,7,5,6,7,6,0,0,1,1,2,2,0,1,3,0,7,4,580,596,"1,176"
6,5,0,6,8,2,6,3,10,5,10,2,5,31,17,9,11,7,6,2,1,0,3,1,4,6,5,13,11,57,51,4,2,8,4,9,12,4,4,7,6,3,2,9,4,7,11,3,6,0,6,3,3,4,5,0,1,8,6,5,7,9,8,4,4,1,1,16,7,20,12,1,0,4,7,10,7,8,10,12,14,42,35,2,5,4,7,0,0,4,4,13,13,13,13,7,5,3,12,6,8,0,0,9,4,7,12,1,0,3,4,0,2,12,8,9,5,3,3,4,2,3,1,3,4,18,17,24,18,11,12,5,4,4,5,7,7,10,17,5,9,23,29,2,4,7,10,9,8,5,5,4,1,1,0,3,2,0,1,3,3,0,1,4,8,601,605,"1,206"
7,3,3,11,6,2,3,8,5,6,6,5,2,26,21,16,9,6,4,3,3,0,0,5,0,1,1,11,3,45,44,7,6,9,7,11,9,7,9,4,6,3,0,4,4,3,5,8,16,5,2,6,2,2,11,1,2,5,2,2,2,6,10,9,6,0,2,10,7,24,11,2,1,3,1,16,10,11,7,13,15,43,30,2,6,6,5,1,0,3,6,14,11,11,10,6,6,4,6,4,2,0,0,6,6,4,3,0,5,4,1,2,1,11,8,14,10,5,7,4,1,1,2,3,1,4,18,22,18,8,6,4,6,9,7,9,7,9,11,2,11,24,25,2,3,8,6,5,9,4,2,4,5,1,0,2,2,0,2,1,1,0,1,9,3,594,533,"1,127"
8,2,4,8,15,7,6,3,5,7,9,4,3,17,15,6,12,7,7,0,2,1,1,7,4,7,4,13,13,67,55,3,2,6,3,7,3,3,6,4,6,3,4,3,5,9,4,8,6,5,1,4,5,6,4,1,2,8,9,8,2,7,7,2,10,0,2,3,6,15,11,1,0,6,3,10,20,8,6,17,17,39,37,3,1,7,6,1,1,5,5,15,12,9,10,8,1,10,4,6,5,0,0,9,9,10,10,2,1,2,4,1,2,6,7,12,7,5,4,0,1,6,2,0,3,13,13,25,14,8,9,1,7,9,9,7,9,11,7,9,7,24,27,3,4,5,9,4,6,5,1,3,4,2,1,2,3,3,2,1,2,0,0,5,10,599,575,"1,174"
9,3,0,12,10,7,7,5,2,4,7,4,2,36,26,14,13,7,7,1,2,0,4,4,3,7,1,12,7,51,53,6,6,7,7,10,6,8,8,9,6,4,6,3,1,8,8,6,12,5,7,4,8,8,2,1,1,9,7,3,4,6,6,1,4,0,2,6,8,11,20,0,1,4,5,18,9,8,8,18,18,24,37,5,2,2,3,0,1,4,7,12,13,19,10,8,3,6,9,4,2,0,0,7,6,18,11,1,5,2,3,0,2,10,13,8,11,4,5,4,1,1,8,3,3,7,15,30,22,6,12,4,6,9,6,13,13,10,8,8,13,30,31,3,4,6,12,7,12,5,3,7,3,1,0,0,3,2,0,3,1,3,1,6,6,632,640,"1,272"
10,2,4,4,4,4,5,7,5,7,6,4,7,31,35,15,9,5,9,1,2,3,2,2,4,4,6,10,11,61,44,7,4,9,7,6,10,6,7,3,4,3,4,2,2,6,10,12,9,4,5,4,4,9,5,0,2,7,4,2,3,7,5,6,5,5,0,7,2,12,16,0,0,8,5,14,10,6,3,19,18,20,25,1,1,7,3,3,2,5,5,12,15,17,17,4,4,6,9,3,8,0,0,10,11,7,8,3,3,5,4,2,3,9,7,14,15,1,3,4,4,10,2,4,2,10,14,13,12,10,10,9,4,10,7,9,13,8,15,8,8,35,37,2,0,6,4,6,6,2,3,7,4,2,0,7,1,0,0,2,3,1,1,8,9,626,599,"1,225"
