年齢別人口　令和２年４月１日現在,,,,
年齢,男,女,合計,
0,448,425,873,
1,482,433,915,
2,558,503,"1,061",
3,540,540,"1,080",
4,539,542,"1,081",
5,590,591,"1,181",
6,604,607,"1,211",
7,579,543,"1,122",
8,616,564,"1,180",
9,589,617,"1,206",
小計,"5,545","5,365","10,910",
10,662,633,"1,295",
11,648,620,"1,268",
12,630,623,"1,253",
13,651,627,"1,278",
14,614,547,"1,161",
15,613,575,"1,188",
16,627,646,"1,273",
17,632,573,"1,205",
18,685,652,"1,337",
19,711,689,"1,400",
小計,"6,473","6,185","12,658",
20,776,717,"1,493",
21,785,790,"1,575",
22,797,758,"1,555",
23,824,803,"1,627",
24,797,747,"1,544",
25,771,795,"1,566",
26,721,668,"1,389",
27,706,671,"1,377",
28,669,625,"1,294",
29,677,619,"1,296",
小計,"7,523","7,193","14,716",
30,661,643,"1,304",
31,707,682,"1,389",
32,800,725,"1,525",
33,832,775,"1,607",
34,805,807,"1,612",
35,905,841,"1,746",
36,957,900,"1,857",
37,934,952,"1,886",
38,921,938,"1,859",
39,"1,069",919,"1,988",
小計,"8,591","8,182","16,773",
40,"1,071",922,"1,993",
41,"1,074","1,035","2,109",
42,"1,158","1,107","2,265",
43,"1,186","1,049","2,235",
44,"1,120","1,139","2,259",
45,"1,266","1,221","2,487",
46,"1,280","1,205","2,485",
47,"1,269","1,284","2,553",
48,"1,358","1,232","2,590",
49,"1,185","1,167","2,352",
小計,"11,967","11,361","23,328",
50,"1,176","1,175","2,351",
51,"1,241","1,166","2,407",
52,"1,172","1,059","2,231",
53,"1,014",934,"1,948",
54,"1,041",959,"2,000",
55,"1,033","1,038","2,071",
56,951,902,"1,853",
57,914,896,"1,810",
58,869,845,"1,714",
59,800,796,"1,596",
小計,"10,211","9,770","19,981",
60,778,800,"1,578",
61,741,832,"1,573",
62,790,825,"1,615",
63,726,826,"1,552",
64,760,910,"1,670",
65,769,934,"1,703",
66,805,952,"1,757",
67,858,"1,053","1,911",
68,963,"1,060","2,023",
69,"1,003","1,199","2,202",
小計,"8,193","9,391","17,584",
70,"1,120","1,352","2,472",
71,"1,235","1,447","2,682",
72,"1,278","1,475","2,753",
73,949,"1,086","2,035",
74,696,847,"1,543",
75,870,"1,006","1,876",
76,905,"1,221","2,126",
77,918,"1,068","1,986",
78,864,996,"1,860",
79,775,978,"1,753",
小計,"9,610","11,476","21,086",
80,659,794,"1,453",
81,561,709,"1,270",
82,583,684,"1,267",
83,515,662,"1,177",
84,465,660,"1,125",
85,407,484,891,
86,345,479,824,
87,312,457,769,
88,222,392,614,
89,176,331,507,
小計,"4,245","5,652","9,897",
90,141,262,403,
91,116,269,385,
92,68,204,272,
93,64,158,222,
94,34,132,166,
95,31,114,145,
96,21,79,100,
97,13,48,61,
98,3,46,49,
99,7,28,35,
小計,498,"1,340","1,838",
100以上,8,56,64,
合計,"72,864","75,971","148,835",
,,,,
