年齢別人口　令和２年９月１日現在,,,,
年齢,男,女,合計,
0,424,396,820,
1,476,461,937,
2,526,478,"1,004",
3,566,531,"1,097",
4,536,542,"1,078",
5,578,582,"1,160",
6,570,589,"1,159",
7,605,591,"1,196",
8,604,534,"1,138",
9,632,588,"1,220",
小計,"5,517","5,292","10,809",
10,596,621,"1,217",
11,670,633,"1,303",
12,633,631,"1,264",
13,640,615,"1,255",
14,604,585,"1,189",
15,622,584,"1,206",
16,624,617,"1,241",
17,624,594,"1,218",
18,685,643,"1,328",
19,738,697,"1,435",
小計,"6,436","6,220","12,656",
20,723,711,"1,434",
21,752,720,"1,472",
22,811,793,"1,604",
23,779,784,"1,563",
24,802,795,"1,597",
25,769,759,"1,528",
26,699,698,"1,397",
27,727,679,"1,406",
28,690,660,"1,350",
29,648,612,"1,260",
小計,"7,400","7,211","14,611",
30,706,620,"1,326",
31,649,698,"1,347",
32,746,674,"1,420",
33,846,757,"1,603",
34,795,796,"1,591",
35,900,827,"1,727",
36,919,870,"1,789",
37,931,935,"1,866",
38,964,914,"1,878",
39,985,920,"1,905",
小計,"8,441","8,011","16,452",
40,"1,047",945,"1,992",
41,"1,094",956,"2,050",
42,"1,076","1,076","2,152",
43,"1,138","1,101","2,239",
44,"1,190","1,093","2,283",
45,"1,234","1,182","2,416",
46,"1,249","1,228","2,477",
47,"1,281","1,260","2,541",
48,"1,370","1,267","2,637",
49,"1,235","1,200","2,435",
小計,"11,914","11,308","23,222",
50,"1,188","1,147","2,335",
51,"1,204","1,181","2,385",
52,"1,203","1,144","2,347",
53,"1,131",987,"2,118",
54,959,897,"1,856",
55,"1,035","1,037","2,072",
56,994,956,"1,950",
57,940,872,"1,812",
58,879,862,"1,741",
59,823,838,"1,661",
小計,"10,356","9,921","20,277",
60,774,787,"1,561",
61,789,842,"1,631",
62,773,837,"1,610",
63,723,816,"1,539",
64,751,861,"1,612",
65,791,912,"1,703",
66,739,940,"1,679",
67,862,"1,043","1,905",
68,930,"1,036","1,966",
69,954,"1,148","2,102",
小計,"8,086","9,222","17,308",
70,"1,055","1,308","2,363",
71,"1,220","1,391","2,611",
72,"1,269","1,486","2,755",
73,"1,134","1,286","2,420",
74,668,860,"1,528",
75,839,929,"1,768",
76,888,"1,206","2,094",
77,891,"1,085","1,976",
78,930,"1,012","1,942",
79,789,973,"1,762",
小計,"9,683","11,536","21,219",
80,682,884,"1,566",
81,590,714,"1,304",
82,560,705,"1,265",
83,530,635,"1,165",
84,481,685,"1,166",
85,407,550,957,
86,359,454,813,
87,299,447,746,
88,250,431,681,
89,195,317,512,
小計,"4,353","5,822","10,175",
90,143,289,432,
91,118,242,360,
92,71,229,300,
93,59,161,220,
94,44,138,182,
95,30,120,150,
96,21,78,99,
97,13,61,74,
98,5,39,44,
99,8,31,39,
小計,512,"1,388","1,900",
100以上,6,53,59,
合計,"72,704","75,984","148,688",
,,,,
