年齢別人口　令和２年３月１日現在,,,,
年齢,男,女,合計,
0,463,407,870,
1,479,443,922,
2,559,501,"1,060",
3,545,539,"1,084",
4,551,550,"1,101",
5,577,595,"1,172",
6,613,608,"1,221",
7,560,534,"1,094",
8,623,576,"1,199",
9,607,615,"1,222",
小計,"5,577","5,368","10,945",
10,642,619,"1,261",
11,649,635,"1,284",
12,636,604,"1,240",
13,649,639,"1,288",
14,630,538,"1,168",
15,603,586,"1,189",
16,624,641,"1,265",
17,628,569,"1,197",
18,661,612,"1,273",
19,675,694,"1,369",
小計,"6,397","6,137","12,534",
20,778,697,"1,475",
21,782,788,"1,570",
22,799,728,"1,527",
23,812,782,"1,594",
24,805,747,"1,552",
25,762,790,"1,552",
26,715,682,"1,397",
27,699,663,"1,362",
28,681,624,"1,305",
29,682,614,"1,296",
小計,"7,515","7,115","14,630",
30,643,657,"1,300",
31,717,669,"1,386",
32,803,755,"1,558",
33,822,766,"1,588",
34,827,807,"1,634",
35,905,861,"1,766",
36,952,894,"1,846",
37,925,944,"1,869",
38,937,928,"1,865",
39,"1,076",912,"1,988",
小計,"8,607","8,193","16,800",
40,"1,058",923,"1,981",
41,"1,064","1,049","2,113",
42,"1,170","1,091","2,261",
43,"1,188","1,056","2,244",
44,"1,123","1,139","2,262",
45,"1,264","1,226","2,490",
46,"1,301","1,227","2,528",
47,"1,252","1,278","2,530",
48,"1,353","1,203","2,556",
49,"1,199","1,180","2,379",
小計,"11,972","11,372","23,344",
50,"1,169","1,172","2,341",
51,"1,246","1,182","2,428",
52,"1,194","1,060","2,254",
53,959,908,"1,867",
54,"1,064",974,"2,038",
55,"1,030","1,025","2,055",
56,954,894,"1,848",
57,910,890,"1,800",
58,872,847,"1,719",
59,788,805,"1,593",
小計,"10,186","9,757","19,943",
60,772,783,"1,555",
61,746,862,"1,608",
62,773,834,"1,607",
63,736,816,"1,552",
64,765,900,"1,665",
65,772,915,"1,687",
66,818,"1,004","1,822",
67,868,"1,028","1,896",
68,978,"1,097","2,075",
69,988,"1,189","2,177",
小計,"8,216","9,428","17,644",
70,"1,129","1,388","2,517",
71,"1,266","1,428","2,694",
72,"1,259","1,462","2,721",
73,898,"1,055","1,953",
74,727,860,"1,587",
75,877,"1,040","1,917",
76,926,"1,217","2,143",
77,909,"1,051","1,960",
78,856,991,"1,847",
79,757,958,"1,715",
小計,"9,604","11,450","21,054",
80,666,783,"1,449",
81,558,720,"1,278",
82,577,670,"1,247",
83,516,658,"1,174",
84,474,662,"1,136",
85,403,475,878,
86,338,485,823,
87,309,463,772,
88,218,375,593,
89,174,324,498,
小計,"4,233","5,615","9,848",
90,138,271,409,
91,106,270,376,
92,74,194,268,
93,60,157,217,
94,38,137,175,
95,29,102,131,
96,19,81,100,
97,12,49,61,
98,5,43,48,
99,5,29,34,
小計,486,"1,333","1,819",
100以上,9,52,61,
合計,"72,802","75,820","148,622",
,,,,
