年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,1,6,2,3,2,4,7,5,6,5,1,10,11,5,5,3,9,2,2,1,2,4,1,4,3,11,11,29,25,0,3,4,5,7,5,1,10,6,5,6,5,3,4,7,8,3,2,3,10,2,4,3,4,2,1,4,4,2,2,4,5,1,0,1,1,10,4,6,10,2,0,1,2,2,3,10,7,13,12,16,16,1,3,6,0,0,0,5,2,16,7,16,14,2,2,5,2,3,3,0,0,5,4,3,3,2,1,2,1,0,0,16,13,8,5,0,0,1,4,0,1,1,5,12,13,10,8,11,7,2,5,1,3,3,2,14,8,5,4,20,26,1,1,3,3,6,3,5,3,1,2,0,0,0,1,0,0,1,0,0,1,10,3,410,383,793
1,1,1,9,13,4,4,1,10,7,10,6,4,8,7,6,2,10,10,2,0,1,5,0,2,10,5,16,9,32,31,2,4,3,6,6,6,3,8,4,7,9,3,3,5,10,8,9,3,2,4,5,0,4,2,2,1,7,6,4,0,5,5,1,2,1,0,9,8,14,10,2,1,0,3,4,3,11,8,17,12,21,18,4,4,8,5,0,0,2,6,14,11,14,14,7,10,7,5,5,3,0,0,11,0,4,5,1,1,0,2,1,1,18,14,0,5,0,5,0,2,1,0,5,3,16,13,4,12,13,5,1,3,2,1,3,1,8,11,7,10,26,20,0,1,3,7,6,6,8,7,2,2,0,0,1,0,1,0,2,1,1,1,5,12,482,455,937
2,0,4,11,8,4,2,5,7,8,11,2,2,11,9,4,7,5,7,1,0,2,0,1,5,5,6,10,10,44,30,6,4,4,7,11,9,8,7,3,4,5,9,4,2,12,5,6,4,4,4,5,2,6,1,2,0,5,9,3,1,4,4,1,4,0,0,10,16,4,18,0,2,7,6,4,6,3,7,10,16,25,16,6,3,4,4,0,0,5,3,20,13,17,19,3,8,4,9,4,9,0,0,4,5,7,6,0,2,1,2,1,1,21,7,6,7,1,1,3,1,3,2,3,3,13,14,15,6,9,5,0,5,3,7,5,4,16,12,9,1,31,25,1,3,5,7,7,2,4,4,4,4,0,0,2,1,1,0,1,0,2,0,3,6,509,482,991
3,5,3,14,8,5,6,4,7,6,8,4,5,10,7,9,6,8,6,4,0,4,2,3,3,8,8,14,6,38,42,0,5,5,10,12,11,8,13,4,3,4,3,3,3,10,10,7,9,7,4,9,4,2,2,2,2,12,8,6,4,7,5,0,4,0,0,15,13,14,10,0,0,4,4,11,6,8,13,9,11,24,22,4,0,8,8,0,0,3,6,17,11,12,16,4,8,6,3,2,5,0,0,4,8,6,4,3,3,1,2,0,1,17,10,9,4,3,3,1,1,2,1,3,1,20,19,13,15,10,8,8,3,4,2,7,3,24,21,7,4,26,25,0,1,14,6,4,3,2,2,1,2,0,1,3,1,0,2,3,1,1,1,7,3,578,514,"1,092"
4,1,4,12,12,4,3,5,7,4,6,2,4,9,12,10,5,8,7,2,2,4,1,2,3,7,2,8,10,38,37,4,4,6,6,13,7,5,6,5,6,6,5,4,3,6,9,8,8,5,4,6,3,4,6,4,1,8,2,2,2,5,9,4,2,0,2,11,16,7,14,0,1,6,3,6,5,5,8,12,15,33,33,2,3,7,7,0,1,2,2,19,14,14,15,5,5,4,8,1,4,0,0,8,7,2,4,2,1,3,2,0,1,14,18,4,4,1,2,2,2,3,2,2,4,26,17,10,21,14,9,1,2,8,6,5,4,18,22,5,10,21,28,3,2,8,4,9,3,4,6,2,3,0,0,2,0,1,0,3,1,1,0,10,7,537,546,"1,083"
5,2,1,10,8,2,1,12,5,6,6,5,5,14,11,8,5,6,8,1,1,1,1,2,3,7,8,13,10,45,37,5,2,5,5,15,14,3,15,7,5,3,4,2,4,12,7,7,7,4,2,8,3,2,3,1,0,9,9,1,9,6,7,7,4,2,1,12,9,10,13,2,0,4,6,8,10,7,12,14,10,36,39,5,5,2,4,0,0,3,6,10,15,12,14,5,4,8,7,2,4,0,0,4,5,6,10,1,8,1,1,4,1,15,14,7,7,0,3,2,3,3,2,1,2,14,20,25,12,10,7,2,6,6,7,3,6,21,19,6,2,28,35,1,5,6,7,5,6,4,3,2,4,0,1,0,1,3,1,2,0,1,0,12,3,568,570,"1,138"
6,5,2,11,6,7,6,9,9,3,9,4,2,20,11,12,10,8,4,2,1,4,3,2,3,6,3,7,13,55,60,7,5,9,5,7,8,6,4,5,4,3,4,5,6,5,15,3,7,10,3,4,2,5,2,1,1,6,4,2,8,11,9,3,6,0,0,17,12,14,15,0,0,3,3,6,9,5,14,9,16,27,31,1,4,7,5,1,0,2,5,19,17,6,18,3,5,5,8,6,5,0,0,13,5,10,10,1,4,3,3,2,0,16,12,4,5,1,3,3,0,2,2,3,3,17,15,30,29,7,12,2,4,1,3,8,4,12,16,3,5,26,27,1,2,8,7,5,9,3,5,7,3,0,0,1,2,1,1,2,2,2,0,5,4,577,599,"1,176"
7,6,0,9,8,2,7,3,8,4,8,2,4,35,17,9,7,10,7,2,1,1,4,2,3,5,5,14,7,48,48,1,2,8,4,11,12,6,6,8,6,2,1,8,4,8,8,6,9,1,4,3,4,3,9,0,1,8,8,5,5,8,8,5,3,1,1,12,7,25,13,1,0,6,7,14,6,9,9,13,17,44,35,2,6,3,6,1,0,4,5,8,12,17,9,10,6,3,8,4,7,0,0,9,1,4,11,1,1,3,2,1,1,9,6,9,6,5,4,2,2,3,1,2,6,14,21,22,14,11,10,6,5,5,6,7,9,9,15,7,11,25,29,1,4,8,9,9,8,7,4,3,2,1,0,4,3,0,1,2,4,0,1,9,10,618,589,"1,207"
8,3,4,8,13,2,3,7,5,7,7,6,2,20,21,16,14,5,6,3,3,1,0,6,0,0,2,10,4,58,51,8,7,6,5,13,8,5,10,4,6,2,2,5,3,6,2,7,13,7,1,7,3,5,8,1,1,7,2,5,2,7,11,8,11,0,2,9,6,20,6,2,0,3,1,14,15,8,6,15,10,38,29,1,5,7,7,0,1,4,6,16,13,9,11,2,4,4,7,6,1,0,0,7,10,8,6,1,5,3,0,1,1,11,7,11,7,4,5,3,1,2,3,3,2,6,17,21,19,9,6,3,3,13,7,9,9,9,11,1,9,23,25,2,3,10,8,5,8,1,2,4,5,1,0,1,0,0,2,0,0,0,1,5,3,590,545,"1,135"
9,2,3,11,7,7,4,3,5,5,8,3,5,22,18,5,9,6,4,0,2,0,2,8,5,8,2,10,12,65,50,4,2,6,5,7,5,4,4,5,8,4,7,5,4,9,6,7,8,5,5,3,5,3,3,1,1,7,8,5,3,8,5,2,6,0,4,2,7,13,19,1,0,4,4,13,16,6,7,15,19,38,39,5,2,4,2,0,0,5,4,14,11,14,10,9,1,8,3,5,5,0,0,8,8,13,10,2,2,2,5,1,2,8,8,11,8,5,6,2,2,5,1,1,1,13,13,26,12,8,14,2,7,10,8,10,7,12,7,11,8,26,28,3,2,2,9,3,10,7,1,7,4,2,1,2,2,3,2,2,2,0,1,5,10,608,575,"1,183"
10,1,1,12,10,6,9,6,4,4,5,4,1,34,23,16,15,7,11,1,2,0,4,3,4,8,3,11,7,46,53,6,6,8,9,10,4,9,9,9,5,5,3,0,1,7,9,6,11,5,6,6,7,10,3,1,0,12,8,4,3,3,6,2,4,2,0,6,7,8,14,0,1,4,7,17,9,8,5,16,18,22,33,5,1,3,4,0,2,4,8,14,9,16,10,8,3,6,10,6,3,0,0,6,10,14,9,1,3,1,4,0,3,11,14,6,12,3,2,4,1,4,9,3,4,7,13,25,17,10,8,6,6,8,6,8,13,9,10,8,13,31,32,3,4,7,11,6,10,2,3,4,4,3,0,1,4,2,0,2,3,3,0,6,7,611,625,"1,236"
11,2,3,3,5,9,5,9,6,11,11,3,8,34,45,14,12,6,7,1,2,4,2,2,2,4,5,12,13,70,45,7,3,9,5,5,10,4,6,2,7,3,4,4,2,7,10,14,10,4,5,3,6,7,5,0,3,5,4,1,5,6,6,7,5,3,0,5,3,16,19,0,0,8,3,12,12,7,2,23,18,20,28,0,3,5,2,2,1,4,7,10,21,15,15,2,5,7,9,1,8,0,0,10,4,8,13,6,3,5,2,3,2,13,8,16,18,1,5,3,4,8,1,4,3,12,14,14,15,10,11,8,5,8,6,16,10,12,12,8,6,36,33,2,2,6,4,10,4,3,4,7,5,0,0,7,2,3,0,2,2,1,1,8,9,662,631,"1,293"
12,4,3,8,10,8,5,6,4,11,5,1,4,32,24,10,15,8,6,2,1,1,1,2,3,4,0,17,14,55,51,6,1,5,13,2,8,2,6,4,8,9,5,3,5,5,9,6,6,4,4,5,3,5,6,3,2,6,5,4,5,6,4,2,5,1,0,9,5,12,10,0,1,7,4,24,20,4,6,17,18,11,16,2,6,5,6,2,1,6,6,16,14,16,18,5,4,8,8,4,7,0,0,11,12,14,11,3,1,5,6,0,1,13,17,15,7,1,5,0,2,3,5,5,3,9,15,12,11,14,11,7,6,10,15,11,6,9,10,12,9,36,42,2,2,5,7,8,7,2,3,7,7,5,1,4,2,0,1,2,2,0,2,4,7,624,627,"1,251"
13,5,3,11,7,5,7,2,11,8,9,4,4,33,22,10,11,6,4,4,5,2,2,5,0,8,5,10,7,62,49,5,8,5,8,9,5,4,4,10,4,6,8,4,2,6,7,8,9,5,3,9,11,6,5,5,3,3,9,6,0,7,9,2,1,0,1,5,4,5,7,2,2,1,5,13,9,5,8,18,15,11,11,6,6,6,8,0,1,4,5,13,12,13,21,6,5,6,10,7,8,0,0,9,11,12,20,5,3,5,5,0,2,10,9,10,10,1,3,3,0,5,4,4,3,14,13,17,13,14,9,5,5,10,8,14,11,15,14,11,4,41,27,2,2,10,11,8,7,2,4,6,11,0,4,5,1,2,3,3,2,3,4,8,8,650,611,"1,261"
14,3,3,7,9,10,5,6,3,3,3,5,5,33,27,14,18,5,5,3,1,1,3,5,3,7,5,9,8,59,51,6,2,4,3,8,12,2,5,9,8,5,5,5,1,6,3,8,5,12,3,5,9,4,4,3,3,5,9,3,5,6,6,3,2,1,1,5,6,6,2,2,1,3,3,8,22,6,9,22,14,3,11,3,5,1,6,0,2,7,4,9,10,16,14,2,7,6,11,6,5,0,0,8,5,17,17,3,10,3,6,3,1,7,13,12,13,3,11,3,1,8,3,2,4,11,19,17,16,12,8,13,4,5,2,17,5,17,13,11,8,35,33,0,2,2,9,10,8,3,2,5,4,0,0,8,1,2,3,0,1,1,1,8,14,616,604,"1,220"
15,2,6,9,11,13,3,7,9,7,6,4,3,27,29,11,15,8,12,5,1,1,0,4,5,5,6,10,11,54,55,3,5,11,4,7,6,4,2,3,7,1,3,4,0,8,4,10,14,7,2,2,5,7,7,0,2,14,4,6,2,4,6,2,3,1,1,7,9,8,8,0,0,8,2,11,6,6,7,19,17,10,7,2,5,6,3,3,2,8,9,12,14,19,13,4,3,5,3,6,6,0,0,9,3,10,7,7,7,4,1,3,1,13,10,10,10,6,5,1,3,5,4,3,4,7,5,8,15,7,9,6,5,12,9,5,11,11,12,8,9,34,35,4,2,7,3,10,6,5,3,11,9,0,2,2,4,0,1,1,2,1,0,8,9,613,569,"1,182"
16,3,2,4,11,4,6,5,4,10,10,3,5,30,27,18,12,9,12,3,2,1,1,0,0,6,4,9,7,59,55,4,0,8,4,8,9,2,8,5,8,7,7,5,1,10,4,8,5,4,11,8,4,6,6,4,2,10,8,6,6,9,5,2,2,0,0,6,5,6,10,1,0,3,4,7,5,7,4,19,22,5,5,3,7,5,7,1,1,5,4,18,8,15,18,5,6,3,4,7,4,0,0,11,8,10,17,3,8,5,3,1,1,13,9,9,17,6,4,4,2,7,4,3,5,10,5,11,12,10,10,8,10,9,10,9,12,10,12,11,10,37,33,4,4,10,10,9,7,3,5,2,4,2,2,3,1,2,4,0,1,1,3,6,11,615,606,"1,221"
17,4,2,12,11,10,7,7,8,5,6,3,4,21,23,17,11,9,12,4,3,0,0,5,6,1,5,12,8,61,64,4,6,9,7,8,2,5,6,5,5,5,6,3,0,2,6,9,6,4,4,2,5,8,4,3,1,11,5,4,3,7,8,4,4,0,0,5,4,8,9,1,2,5,4,6,13,8,7,29,18,5,7,6,3,8,7,4,1,11,6,15,16,16,13,9,4,9,12,5,5,0,0,5,7,19,16,5,4,4,6,0,3,12,14,11,10,4,7,4,1,5,3,1,2,7,13,10,8,8,7,10,9,10,9,6,8,13,14,7,14,27,28,4,1,14,7,8,11,2,4,2,9,0,3,3,4,7,2,2,1,4,2,4,8,632,614,"1,246"
18,3,5,11,10,10,10,6,7,7,2,7,5,18,21,13,20,8,14,4,1,1,1,4,4,6,5,12,12,56,51,1,3,4,7,11,4,2,4,5,4,4,7,3,6,8,5,11,13,4,9,7,1,8,5,3,2,10,10,7,8,12,3,4,3,2,2,9,7,12,8,2,6,4,5,11,7,3,10,30,21,9,6,8,8,8,4,3,5,4,12,7,15,21,10,6,5,7,6,17,4,0,0,10,6,15,5,4,4,6,5,3,1,13,20,15,9,6,8,0,2,2,2,3,2,6,14,16,14,8,15,9,7,8,7,10,10,17,17,11,10,24,21,5,1,9,6,8,6,5,6,3,9,1,3,3,2,2,2,3,3,6,2,6,6,670,628,"1,298"
19,5,4,8,15,5,8,9,8,7,9,7,2,26,13,17,21,9,8,4,1,0,0,5,7,6,3,13,14,80,61,7,2,8,8,8,7,4,5,3,7,5,4,4,3,10,8,9,7,4,5,8,5,8,6,3,1,15,11,9,3,11,13,5,1,0,0,11,8,11,15,5,11,5,5,10,8,8,8,20,23,14,8,8,3,6,4,1,3,12,6,14,13,7,13,9,7,9,10,13,8,0,0,8,8,16,21,2,10,0,4,2,2,12,15,13,13,6,12,3,0,2,7,5,3,8,9,10,12,7,15,11,10,10,6,12,12,14,24,13,7,19,23,1,3,14,9,4,8,10,5,10,6,2,1,2,2,6,2,4,2,2,1,14,15,727,690,"1,417"
20,4,3,13,17,8,12,8,3,5,8,7,5,22,20,24,14,15,12,2,2,3,1,8,2,7,7,14,14,78,56,9,6,9,6,10,11,11,10,10,10,8,11,7,5,7,12,14,12,2,6,4,3,8,11,2,1,9,7,7,2,13,9,3,3,0,0,8,12,19,13,7,13,3,4,5,10,9,14,26,18,8,7,9,5,8,13,4,3,10,8,11,13,17,11,6,1,5,9,8,12,0,0,10,7,5,18,7,6,4,4,2,1,16,24,11,16,4,6,2,3,3,4,1,4,12,11,10,9,8,8,4,9,9,11,17,14,10,10,11,8,12,21,2,4,7,6,9,18,9,9,5,1,2,6,7,1,1,3,1,0,2,3,13,12,730,724,"1,454"
21,7,8,17,17,6,3,11,12,7,7,4,4,24,13,19,15,8,9,2,3,2,0,4,3,6,2,17,26,73,49,3,5,8,2,5,9,4,1,23,17,12,4,4,5,10,10,13,7,5,6,11,6,7,14,2,1,8,17,1,6,10,9,0,1,1,0,10,13,19,18,8,8,8,13,5,6,10,17,31,27,8,9,8,6,7,6,0,7,18,19,7,19,14,13,6,5,13,5,9,8,0,0,7,6,16,19,3,5,4,2,3,1,20,15,8,9,11,6,1,0,5,6,1,4,12,16,10,10,9,12,9,10,11,6,20,7,16,12,12,16,9,20,3,6,7,3,7,13,14,2,3,7,0,2,2,2,2,6,0,0,5,5,13,9,758,727,"1,485"
22,3,3,13,34,7,7,6,13,10,8,7,10,16,18,21,12,15,6,4,4,5,1,6,2,13,4,20,23,68,54,5,5,9,4,3,5,11,6,29,18,11,12,1,7,22,19,9,10,4,2,3,10,9,9,1,2,12,8,4,2,11,9,0,1,0,0,5,10,22,19,8,7,5,10,5,11,9,13,31,38,11,9,13,3,4,10,3,0,16,20,22,14,11,13,9,7,9,4,15,6,0,0,15,17,11,20,4,2,2,3,2,0,22,24,10,15,8,8,0,3,4,5,1,3,18,16,13,9,9,12,5,8,8,8,12,8,18,18,15,20,19,13,1,2,4,7,8,9,15,2,2,0,1,2,5,3,3,0,4,0,1,1,18,13,814,773,"1,587"
23,2,2,24,31,5,10,12,12,7,10,4,6,16,11,21,14,16,7,3,2,0,0,2,2,7,4,19,25,82,54,7,4,5,9,10,4,13,10,37,18,15,18,5,7,18,20,15,9,3,2,2,7,13,11,2,2,10,12,3,2,3,5,5,1,0,0,13,22,26,21,7,7,22,9,3,14,13,15,17,40,6,7,3,4,6,5,1,2,10,18,14,16,12,9,3,5,6,8,12,10,0,0,7,8,9,6,4,2,2,2,3,0,18,36,19,11,7,6,4,3,5,7,3,2,15,17,13,7,14,9,3,12,7,3,10,7,14,9,13,18,7,11,6,4,7,2,11,11,6,7,5,2,1,1,2,3,1,2,0,2,1,0,11,22,788,775,"1,563"
24,1,5,23,33,11,10,22,17,9,6,8,1,11,14,10,15,12,10,1,0,1,3,6,3,10,8,28,22,64,60,6,5,9,5,12,11,4,6,36,18,16,13,7,19,16,13,15,3,5,2,3,4,9,13,4,4,8,7,4,6,11,7,0,2,1,1,20,12,23,14,9,8,17,9,12,14,7,15,30,31,1,8,11,2,4,9,0,2,9,20,11,25,14,13,7,8,8,8,7,8,0,0,21,24,12,5,0,7,5,1,4,4,28,19,9,22,2,8,0,0,2,3,3,5,16,17,5,6,12,8,3,9,8,7,7,4,18,19,12,11,9,12,1,2,3,4,12,12,4,7,2,5,2,3,5,2,1,1,2,0,1,1,13,15,795,795,"1,590"
25,5,4,19,26,7,7,13,19,6,9,5,6,14,18,14,11,12,7,1,0,0,2,4,4,10,4,31,22,67,58,5,4,6,3,9,7,5,13,23,17,21,12,8,7,16,13,12,3,3,8,4,2,11,11,7,4,10,14,2,5,6,6,0,0,0,0,17,13,25,23,14,13,15,14,12,11,12,16,24,28,6,12,8,7,8,4,1,1,9,22,19,16,11,11,5,7,4,4,8,6,0,0,6,10,6,11,2,3,2,4,2,2,18,23,11,7,3,4,2,1,2,3,4,1,17,17,6,8,12,21,7,2,5,10,6,5,20,9,19,21,8,10,3,1,8,5,7,13,5,6,5,4,2,0,7,4,2,0,1,4,1,0,15,10,768,753,"1,521"
26,3,3,18,19,6,5,14,6,12,9,6,6,11,22,11,8,10,7,0,0,7,2,6,0,11,9,25,31,46,51,5,6,8,5,9,5,12,6,23,24,11,21,2,5,10,16,11,12,4,3,4,2,6,8,5,5,5,4,2,4,6,9,2,0,0,1,19,10,25,17,6,5,10,10,6,13,12,7,20,21,2,11,4,7,5,5,2,0,16,23,14,19,9,13,8,7,4,3,9,8,0,0,17,8,9,7,3,1,4,3,1,4,19,23,11,15,4,7,0,1,2,3,2,3,16,20,6,7,14,11,5,9,7,6,7,8,16,9,17,13,8,8,2,2,8,6,4,9,3,4,2,6,0,1,3,1,0,1,2,1,0,0,10,16,684,706,"1,390"
27,2,3,18,17,4,8,16,13,14,8,8,4,12,16,16,7,9,11,2,2,2,4,4,1,8,7,21,19,56,36,6,5,4,7,14,8,10,11,31,14,18,9,5,7,20,12,10,4,7,6,3,5,12,8,1,2,7,10,2,7,7,2,0,0,0,0,13,17,21,27,11,8,11,11,4,6,19,12,27,28,4,9,5,1,4,5,1,0,13,21,11,15,15,19,6,4,6,2,10,8,0,0,8,8,11,13,3,4,5,0,0,1,24,28,13,9,8,8,1,1,1,2,4,5,15,19,4,4,4,5,4,5,10,6,5,7,11,12,18,12,9,13,1,1,5,2,6,8,5,4,5,5,0,3,0,2,0,3,2,1,0,2,15,21,727,680,"1,407"
28,4,4,19,24,14,5,13,9,5,7,4,5,9,15,14,9,7,6,0,1,2,2,4,4,13,10,29,24,55,49,5,3,7,7,14,10,9,7,24,12,13,18,8,11,9,8,4,7,5,6,3,2,9,9,2,2,6,7,6,2,8,5,2,0,1,0,13,18,18,14,4,8,11,13,7,7,13,18,31,21,9,6,9,6,4,7,2,0,13,21,12,16,12,14,11,12,5,2,6,8,0,0,9,9,11,10,5,5,1,3,1,1,21,22,8,8,1,7,2,3,3,3,3,6,9,18,6,7,10,5,5,5,6,4,6,3,15,10,8,11,6,6,1,2,4,4,7,12,9,4,1,1,1,0,0,0,1,2,1,0,0,0,17,14,685,666,"1,351"
29,4,5,14,20,4,4,6,12,9,8,4,3,15,14,11,8,9,4,0,2,1,4,7,7,10,9,27,13,35,38,2,7,11,8,6,4,3,12,14,13,14,16,4,6,13,8,5,6,6,6,3,2,8,11,4,2,3,11,6,5,6,4,0,4,0,0,18,5,16,20,6,4,8,5,5,6,14,17,19,30,8,5,9,4,3,0,1,0,7,7,17,10,13,7,14,7,4,9,4,7,0,0,13,3,16,11,3,5,5,0,1,2,24,18,10,11,9,8,1,1,3,2,1,3,20,18,4,9,10,9,9,1,6,6,5,4,11,9,13,8,14,13,3,2,3,3,10,11,5,6,3,7,0,0,1,1,2,0,1,0,2,1,17,10,655,601,"1,256"
30,2,6,20,19,6,4,15,9,7,10,2,4,13,8,3,7,6,10,5,3,2,6,3,2,13,5,13,15,46,46,4,2,8,6,15,9,3,8,24,22,16,15,9,7,9,9,7,14,6,11,4,2,8,6,2,2,9,3,6,6,9,10,0,1,0,0,17,13,18,16,5,2,7,6,4,9,16,8,25,20,10,8,3,6,3,7,2,0,8,14,15,19,25,19,12,10,6,5,4,4,0,0,13,9,11,7,2,1,4,2,1,0,30,17,14,8,5,5,2,2,5,1,5,5,17,13,6,2,14,8,5,2,8,5,8,5,11,15,13,13,20,19,3,3,4,3,8,7,5,4,3,2,0,1,1,0,1,0,3,2,1,1,19,9,717,624,"1,341"
31,1,2,12,10,8,9,4,13,10,9,7,4,13,12,4,10,11,7,1,2,5,6,8,0,11,10,8,16,39,37,5,2,5,6,13,15,8,11,19,12,17,10,9,3,4,10,7,6,7,10,1,4,11,3,3,4,6,11,6,6,6,10,0,0,1,0,16,18,21,15,5,5,12,11,4,9,17,16,21,14,8,15,3,5,4,10,1,1,8,11,28,17,11,15,14,5,1,5,9,7,0,0,6,11,17,19,2,3,2,2,1,3,20,22,9,7,4,3,3,0,4,2,4,1,11,26,8,7,12,16,8,6,4,6,8,4,10,24,14,7,12,19,0,2,4,2,9,12,4,4,1,0,0,1,1,4,2,0,4,2,1,0,9,16,647,680,"1,327"
32,7,4,16,16,4,7,13,10,12,7,1,9,13,13,8,5,13,5,2,0,5,3,3,3,6,12,15,18,36,34,4,9,6,3,8,11,11,13,26,18,6,11,4,6,15,9,8,9,5,8,9,3,3,11,3,1,12,9,4,3,11,2,2,1,1,0,18,14,30,15,8,3,5,5,12,5,11,19,22,19,11,25,5,7,7,6,1,0,6,10,16,14,12,26,19,2,8,11,5,4,0,0,8,5,8,9,4,5,2,2,0,1,30,25,10,11,12,3,0,2,4,3,5,4,14,12,7,11,12,22,4,6,7,7,7,2,19,17,18,9,20,28,3,0,7,5,7,15,4,7,8,2,1,3,2,3,3,0,4,3,1,1,17,9,736,690,"1,426"
