年齢別人口　令和２年１０月１日現在,,,,
年齢,男,女,合計,
0,410,383,793,
1,482,455,937,
2,509,482,991,
3,578,514,"1,092",
4,537,546,"1,083",
5,568,570,"1,138",
6,577,599,"1,176",
7,618,589,"1,207",
8,590,545,"1,135",
9,608,575,"1,183",
小計,"5,477","5,258","10,735",
10,611,625,"1,236",
11,662,631,"1,293",
12,624,627,"1,251",
13,650,611,"1,261",
14,616,604,"1,220",
15,613,569,"1,182",
16,615,606,"1,221",
17,632,614,"1,246",
18,670,628,"1,298",
19,727,690,"1,417",
小計,"6,420","6,205","12,625",
20,730,724,"1,454",
21,758,727,"1,485",
22,814,773,"1,587",
23,788,775,"1,563",
24,795,795,"1,590",
25,768,753,"1,521",
26,684,706,"1,390",
27,727,680,"1,407",
28,685,666,"1,351",
29,655,601,"1,256",
小計,"7,404","7,200","14,604",
30,717,624,"1,341",
31,647,680,"1,327",
32,736,690,"1,426",
33,861,745,"1,606",
34,776,807,"1,583",
35,879,802,"1,681",
36,939,876,"1,815",
37,925,922,"1,847",
38,952,923,"1,875",
39,968,909,"1,877",
小計,"8,400","7,978","16,378",
40,"1,064",934,"1,998",
41,"1,093",970,"2,063",
42,"1,069","1,072","2,141",
43,"1,129","1,106","2,235",
44,"1,207","1,098","2,305",
45,"1,203","1,158","2,361",
46,"1,243","1,230","2,473",
47,"1,298","1,246","2,544",
48,"1,350","1,266","2,616",
49,"1,237","1,222","2,459",
小計,"11,893","11,302","23,195",
50,"1,217","1,170","2,387",
51,"1,197","1,134","2,331",
52,"1,206","1,159","2,365",
53,"1,150","1,018","2,168",
54,930,885,"1,815",
55,"1,050","1,034","2,084",
56,"1,017",945,"1,962",
57,931,906,"1,837",
58,897,846,"1,743",
59,809,838,"1,647",
小計,"10,404","9,935","20,339",
60,801,787,"1,588",
61,764,850,"1,614",
62,783,838,"1,621",
63,727,821,"1,548",
64,747,838,"1,585",
65,786,918,"1,704",
66,740,945,"1,685",
67,852,"1,023","1,875",
68,926,"1,043","1,969",
69,952,"1,134","2,086",
小計,"8,078","9,197","17,275",
70,"1,048","1,285","2,333",
71,"1,203","1,408","2,611",
72,"1,269","1,476","2,745",
73,"1,149","1,309","2,458",
74,688,871,"1,559",
75,820,921,"1,741",
76,905,"1,196","2,101",
77,876,"1,084","1,960",
78,920,"1,024","1,944",
79,808,992,"1,800",
小計,"9,686","11,566","21,252",
80,696,879,"1,575",
81,599,725,"1,324",
82,558,707,"1,265",
83,531,641,"1,172",
84,475,671,"1,146",
85,411,568,979,
86,362,453,815,
87,310,463,773,
88,244,420,664,
89,187,313,500,
小計,"4,373","5,840","10,213",
90,152,306,458,
91,119,239,358,
92,74,222,296,
93,57,174,231,
94,43,133,176,
95,33,119,152,
96,23,76,99,
97,11,66,77,
98,5,40,45,
99,7,24,31,
小計,524,"1,399","1,923",
100以上,8,59,67,
合計,"72,667","75,939","148,606",
,,,,
