年齢別人口　令和２年２月１日現在,,,,
年齢,男,女,合計,
0,475,408,883,
1,477,441,918,
2,570,517,"1,087",
3,536,533,"1,069",
4,559,558,"1,117",
5,569,592,"1,161",
6,616,605,"1,221",
7,585,547,"1,132",
8,611,573,"1,184",
9,619,621,"1,240",
小計,"5,617","5,395","11,012",
10,640,603,"1,243",
11,645,644,"1,289",
12,637,609,"1,246",
13,636,623,"1,259",
14,629,559,"1,188",
15,607,583,"1,190",
16,614,619,"1,233",
17,654,576,"1,230",
18,640,637,"1,277",
19,700,683,"1,383",
小計,"6,402","6,136","12,538",
20,757,693,"1,450",
21,783,765,"1,548",
22,813,749,"1,562",
23,814,798,"1,612",
24,807,753,"1,560",
25,756,769,"1,525",
26,709,700,"1,409",
27,720,658,"1,378",
28,679,628,"1,307",
29,668,623,"1,291",
小計,"7,506","7,136","14,642",
30,664,651,"1,315",
31,725,665,"1,390",
32,818,753,"1,571",
33,799,767,"1,566",
34,849,805,"1,654",
35,912,870,"1,782",
36,957,908,"1,865",
37,942,950,"1,892",
38,948,909,"1,857",
39,"1,073",926,"1,999",
小計,"8,687","8,204","16,891",
40,"1,053",934,"1,987",
41,"1,061","1,053","2,114",
42,"1,186","1,089","2,275",
43,"1,172","1,056","2,228",
44,"1,159","1,140","2,299",
45,"1,268","1,218","2,486",
46,"1,291","1,237","2,528",
47,"1,270","1,292","2,562",
48,"1,329","1,194","2,523",
49,"1,197","1,180","2,377",
小計,"11,986","11,393","23,379",
50,"1,175","1,162","2,337",
51,"1,238","1,183","2,421",
52,"1,222","1,067","2,289",
53,926,874,"1,800",
54,"1,081","1,003","2,084",
55,"1,018",997,"2,015",
56,951,907,"1,858",
57,912,885,"1,797",
58,852,840,"1,692",
59,808,808,"1,616",
小計,"10,183","9,726","19,909",
60,760,795,"1,555",
61,746,862,"1,608",
62,767,838,"1,605",
63,750,806,"1,556",
64,757,925,"1,682",
65,772,935,"1,707",
66,838,986,"1,824",
67,868,"1,040","1,908",
68,972,"1,105","2,077",
69,"1,009","1,209","2,218",
小計,"8,239","9,501","17,740",
70,"1,148","1,388","2,536",
71,"1,264","1,436","2,700",
72,"1,233","1,446","2,679",
73,875,"1,004","1,879",
74,758,891,"1,649",
75,884,"1,064","1,948",
76,916,"1,185","2,101",
77,924,"1,053","1,977",
78,848,995,"1,843",
79,751,949,"1,700",
小計,"9,601","11,411","21,012",
80,649,773,"1,422",
81,561,720,"1,281",
82,572,667,"1,239",
83,526,665,"1,191",
84,457,645,"1,102",
85,405,471,876,
86,335,477,812,
87,302,471,773,
88,211,359,570,
89,168,334,502,
小計,"4,186","5,582","9,768",
90,146,257,403,
91,107,267,374,
92,71,194,265,
93,59,162,221,
94,39,128,167,
95,30,113,143,
96,20,74,94,
97,12,46,58,
98,7,44,51,
99,4,32,36,
小計,495,"1,317","1,812",
100以上,9,50,59,
合計,"72,911","75,851","148,762",
,,,,
