年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,1,5,7,2,5,1,10,3,6,4,3,7,8,7,4,7,10,1,0,0,4,2,2,10,4,17,12,34,32,2,7,4,6,5,4,3,7,2,7,6,4,2,3,6,7,4,2,3,5,4,1,2,3,2,1,3,4,2,2,2,7,0,1,0,0,12,9,13,13,1,0,0,2,2,5,12,5,14,17,19,14,3,4,10,2,0,0,5,4,19,10,15,15,5,6,7,3,7,4,0,0,10,1,4,3,2,1,1,2,0,1,14,16,5,6,1,0,1,2,0,0,3,2,15,7,6,11,12,10,3,4,3,1,3,1,8,9,5,8,24,24,0,0,3,6,6,4,7,4,2,1,0,0,1,0,1,0,3,0,1,1,6,8,448,425,873
1,0,3,13,10,5,1,4,6,7,10,3,3,11,7,4,3,5,8,2,0,2,1,1,2,4,4,13,9,34,33,3,3,6,5,11,8,2,7,6,2,10,6,2,3,12,7,8,3,1,3,3,2,9,1,3,0,5,8,5,1,6,3,1,1,1,0,7,6,8,10,1,1,5,5,2,1,10,6,18,12,21,18,3,4,5,5,0,0,4,5,17,15,18,12,2,10,3,9,0,7,0,0,5,3,3,6,1,1,1,3,1,0,22,11,4,6,1,5,0,1,3,2,3,3,15,12,13,10,9,3,1,3,1,4,4,4,11,9,8,7,26,22,0,3,4,3,6,4,6,7,4,2,0,0,0,1,0,0,0,1,1,1,3,7,482,433,915
2,3,3,8,7,2,4,6,11,6,9,4,5,11,8,9,7,8,8,4,0,3,1,2,4,7,8,12,11,41,34,3,5,6,10,13,8,12,9,3,4,5,6,4,5,12,7,6,5,6,4,4,3,3,1,1,1,8,7,3,1,4,4,1,6,0,0,12,20,10,19,0,1,3,7,10,7,5,12,9,12,26,16,7,0,7,7,0,0,4,3,24,8,18,18,3,5,8,3,3,6,0,0,5,6,7,6,0,3,0,2,2,1,17,8,8,6,2,1,3,0,1,0,3,2,16,20,11,8,8,8,6,5,5,4,5,3,23,18,3,2,29,22,1,1,7,7,8,4,3,2,1,3,0,0,3,1,1,2,3,1,1,0,7,7,558,503,"1,061"
3,3,2,19,10,5,5,4,5,5,5,2,2,6,8,7,6,10,8,2,1,4,1,2,4,10,5,9,6,35,41,1,3,5,6,9,11,8,12,7,6,2,4,4,2,7,12,5,9,5,5,7,3,1,3,2,1,9,4,5,4,6,8,1,1,0,1,13,16,9,14,0,1,6,1,8,8,7,11,12,18,29,21,3,1,5,6,0,0,3,6,11,15,12,17,8,8,3,6,1,4,0,0,4,8,7,5,3,2,4,0,1,0,15,14,6,4,1,3,1,2,2,3,3,0,28,19,12,18,11,8,5,2,6,3,7,3,20,25,6,8,23,32,2,2,12,5,4,3,5,4,1,3,0,1,3,0,1,0,2,1,2,1,6,4,540,540,"1,080"
4,0,4,5,10,2,2,5,6,5,8,4,4,10,11,10,6,6,4,2,2,0,0,2,4,4,7,12,10,43,39,5,5,7,6,14,10,3,12,3,5,6,3,2,4,5,4,7,9,6,3,9,3,4,8,2,1,8,8,1,6,9,7,4,3,2,1,12,14,12,15,1,0,5,4,5,8,6,6,13,10,37,43,4,6,5,3,0,1,1,5,19,12,11,13,4,3,7,7,1,3,0,0,6,5,2,5,2,5,1,3,2,3,16,12,5,6,1,2,4,3,1,0,0,3,20,19,15,12,12,5,3,4,5,6,6,6,22,15,9,6,21,29,2,6,8,5,9,3,1,2,1,3,0,0,1,1,2,0,3,1,1,0,8,4,539,542,"1,081"
5,4,2,13,6,8,6,14,7,5,6,6,4,18,12,12,6,7,9,2,1,4,2,3,2,8,4,11,10,40,43,5,4,9,6,11,11,5,9,8,5,4,5,4,6,13,15,6,6,7,0,8,1,4,1,0,0,7,6,2,8,9,9,7,6,0,1,15,9,11,12,1,0,5,8,6,9,4,14,11,13,28,37,2,3,4,7,1,0,4,3,17,16,12,17,6,2,4,7,5,7,0,0,7,5,7,12,1,6,2,0,2,0,13,17,6,4,1,2,0,1,3,3,3,4,12,19,29,23,8,9,1,7,5,6,6,6,8,20,5,5,34,30,0,0,8,6,2,8,6,2,3,5,0,1,1,1,2,1,1,1,3,0,11,4,590,591,"1,181"
6,6,0,6,8,2,4,4,10,3,11,2,5,33,14,9,10,11,6,1,0,1,3,1,2,5,5,10,13,65,51,6,2,6,5,10,13,5,4,9,6,1,3,4,5,7,10,4,5,2,5,2,5,3,3,1,1,10,8,6,7,7,6,4,4,1,1,15,9,14,15,1,0,2,7,10,6,7,13,10,16,41,30,0,6,4,5,0,0,2,6,13,15,10,12,6,7,4,10,6,6,0,0,14,4,8,11,1,2,3,4,2,1,13,5,7,5,3,4,4,1,3,1,2,3,19,18,25,22,9,12,6,5,3,5,8,8,14,20,4,8,21,28,2,4,7,8,10,7,6,8,7,2,1,0,3,2,0,2,3,3,1,1,3,5,604,607,"1,211"
7,3,0,11,7,1,5,5,4,6,5,3,1,28,18,15,9,6,5,4,4,0,2,2,2,2,2,12,4,46,48,6,6,9,6,9,9,8,6,4,6,2,0,9,4,3,6,9,18,5,3,5,2,3,10,1,2,6,3,0,4,7,12,6,6,0,2,8,6,23,12,2,0,5,0,18,4,10,8,15,16,35,32,2,3,3,6,1,0,3,4,12,13,12,12,6,5,5,7,4,3,0,0,6,6,3,5,0,4,4,1,2,0,10,7,10,5,5,5,3,2,3,3,3,4,8,18,24,17,10,8,3,5,6,5,8,5,9,8,3,11,24,26,2,3,5,9,5,13,4,2,4,4,0,0,2,2,0,2,1,2,0,1,12,8,579,543,"1,122"
8,2,7,6,15,7,5,5,7,8,10,6,3,17,18,9,12,7,7,0,1,1,1,9,2,5,3,11,11,65,54,3,2,5,3,11,2,3,6,4,7,2,2,4,3,9,0,6,6,7,2,4,3,7,7,1,2,6,6,10,0,8,8,6,9,0,2,8,7,19,9,1,0,5,2,8,21,7,5,14,15,47,37,4,4,9,6,0,1,3,8,15,13,10,10,5,1,8,6,5,6,0,0,6,6,11,8,1,1,3,2,1,3,7,10,15,10,6,4,1,1,4,2,1,2,8,16,22,13,10,6,2,7,12,9,8,10,11,9,7,4,26,28,3,4,9,7,5,4,3,1,3,4,2,1,2,2,2,2,0,1,0,0,3,10,616,564,"1,180"
