町丁目別人口・世帯数　令和２年７月１日現在,,,,,,
地区名称,男,女,合計,世帯,,
関戸１丁目,426,535,961,494,,
関戸２丁目,"1,283","1,366","2,649","1,450",,
関戸３丁目,660,711,"1,371",675,,
関戸４丁目,"1,012","1,136","2,148","1,224",,
関戸５丁目,714,740,"1,454",738,,
関戸６丁目,456,443,899,414,,
,"4,551","4,931","9,482","4,995",,
,,,,,,
連光寺１丁目,"1,879","1,878","3,757","1,616",,
連光寺２丁目,"1,201","1,207","2,408","1,024",,
連光寺３丁目,903,884,"1,787",820,,
連光寺４丁目,277,261,538,259,,
連光寺５丁目,188,177,365,193,,
連光寺６丁目,424,341,765,380,,
,"4,872","4,748","9,620","4,292",,
,,,,,,
貝取,614,560,"1,174",619,,
,614,560,"1,174",619,,
,,,,,,
乞田,"1,364","1,260","2,624","1,341",,
,"1,364","1,260","2,624","1,341",,
,,,,,,
和田,"4,752","4,514","9,266","4,192",,
,"4,752","4,514","9,266","4,192",,
,,,,,,
百草,460,452,912,444,,
,460,452,912,444,,
,,,,,,
落川,656,634,"1,290",586,,
,656,634,"1,290",586,,
,,,,,,
東寺方,907,843,"1,750",847,,
東寺方１丁目,547,626,"1,173",587,,
,"1,454","1,469","2,923","1,434",,
,,,,,,
一ノ宮１丁目,"1,165",954,"2,119","1,386",,
一ノ宮２丁目,770,742,"1,512",925,,
一ノ宮３丁目,430,447,877,499,,
一ノ宮４丁目,963,995,"1,958","1,034",,
,"3,328","3,138","6,466","3,844",,
,,,,,,
桜ヶ丘１丁目,958,"1,039","1,997",940,,
桜ヶ丘２丁目,623,735,"1,358",613,,
桜ヶ丘３丁目,574,609,"1,183",525,,
桜ヶ丘４丁目,757,819,"1,576",829,,
,"2,912","3,202","6,114","2,907",,
,,,,,,
和田（百草団地）,613,672,"1,285",861,,
,613,672,"1,285",861,,
,,,,,,
聖ヶ丘１丁目,883,"1,031","1,914",877,,
聖ヶ丘２丁目,830,977,"1,807",845,,
聖ヶ丘３丁目,"1,051","1,073","2,124",944,,
聖ヶ丘４丁目,353,381,734,296,,
聖ヶ丘５丁目,56,47,103,34,,
,"3,173","3,509","6,682","2,996",,
,,,,,,
馬引沢１丁目,934,904,"1,838",973,,
馬引沢２丁目,"1,256","1,138","2,394","1,280",,
,"2,190","2,042","4,232","2,253",,
,,,,,,
山王下１丁目,291,342,633,499,,
,291,342,633,499,,
,,,,,,
中沢１丁目,626,550,"1,176",682,,
中沢２丁目,915,991,"1,906",850,,
,"1,541","1,541","3,082","1,532",,
,,,,,,
唐木田１丁目,"1,118","1,191","2,309","1,133",,
唐木田２丁目,0,0,0,0,,
,"1,118","1,191","2,309","1,133",,
,,,,,,
諏訪１丁目,"2,058","2,090","4,148","1,999",,
諏訪２丁目,"1,799","1,997","3,796","1,684",,
諏訪３丁目,543,551,"1,094",522,,
諏訪４丁目,724,954,"1,678",913,,
諏訪５丁目,241,323,564,348,,
,"5,365","5,915","11,280","5,466",,
,,,,,,
永山１丁目,938,"1,014","1,952","1,117",,
永山２丁目,"1,607","1,611","3,218","1,585",,
永山３丁目,"1,875","2,108","3,983","2,027",,
永山４丁目,"1,389","1,541","2,930","1,844",,
永山５丁目,955,"1,087","2,042",885,,
永山６丁目,622,638,"1,260",619,,
,"7,386","7,999","15,385","8,077",,
,,,,,,
貝取１丁目,"1,035",948,"1,983",960,,
貝取２丁目,"1,603","1,778","3,381","1,510",,
貝取３丁目,411,553,964,449,,
貝取４丁目,527,567,"1,094",539,,
貝取５丁目,263,316,579,329,,
,"3,839","4,162","8,001","3,787",,
,,,,,,
豊ヶ丘１丁目,"1,561","1,531","3,092","1,565",,
豊ヶ丘２丁目,"1,445","1,492","2,937","1,342",,
豊ヶ丘３丁目,742,877,"1,619",703,,
豊ヶ丘４丁目,324,360,684,391,,
豊ヶ丘５丁目,607,702,"1,309",658,,
豊ヶ丘６丁目,422,515,937,496,,
,"5,101","5,477","10,578","5,155",,
,,,,,,
落合１丁目,"1,453","1,559","3,012","1,514",,
落合２丁目,"1,152","1,108","2,260",893,,
落合３丁目,"1,445","1,563","3,008","1,484",,
落合４丁目,"1,007","1,145","2,152","1,123",,
落合５丁目,"1,069","1,105","2,174",929,,
落合６丁目,874,822,"1,696",784,,
,"7,000","7,302","14,302","6,727",,
,,,,,,
鶴牧１丁目,"1,266","1,310","2,576","1,219",,
鶴牧２丁目,885,804,"1,689",841,,
鶴牧３丁目,"2,106","2,256","4,362","1,582",,
鶴牧４丁目,360,404,764,334,,
鶴牧５丁目,928,"1,051","1,979",854,,
鶴牧６丁目,847,908,"1,755",782,,
,"6,392","6,733","13,125","5,612",,
,,,,,,
南野１丁目,1,0,1,1,,
南野２丁目,489,436,925,464,,
南野３丁目,460,468,928,397,,
,950,904,"1,854",862,,
,,,,,,
東寺方３丁目,133,208,341,192,,
,133,208,341,192,,
,,,,,,
和田３丁目,424,512,936,543,,
,424,512,936,543,,
,,,,,,
愛宕１丁目,297,329,626,355,,
愛宕２丁目,439,454,893,485,,
愛宕３丁目,318,460,778,484,,
愛宕４丁目,"1,265","1,421","2,686","1,376",,
,"2,319","2,664","4,983","2,700",,
,,,,,,
,"72,798","76,081","148,879","73,049",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
