"ID","設置場所所在地","設置場所名称","設置年","備考","経度","緯度","分類"
"1","弥生町４－２０","栄町公園","平成27年度","","139.671809617781","35.6867636892161","初期消火機器設置箇所（スタンドパイプ）"
"2","（弥生町３－３４）","ぱんだ公園","平成25年度","","139.67462045512","35.6891811795085","初期消火機器設置箇所（スタンドパイプ）"
"3","弥生町５－４","弥生公園","平成27年度","","139.66689835688","35.6864730616478","初期消火機器設置箇所（スタンドパイプ）"
"4","南台１－６－１１","方南通り資材置場","平成27年度","","139.674586839244","35.6864295547139","初期消火機器設置箇所（スタンドパイプ）"
"5","（南台２－４８）","前原公園","平成25年度","","139.670598734341","35.6848658234639","初期消火機器設置箇所（スタンドパイプ）"
"6","南台３－１９","多田防災広場","平成27年度","","139.667712508454","35.6846506457637","初期消火機器設置箇所（スタンドパイプ）"
"7","（南台２－８）","新山通防災広場","平成26年度","","139.670308304022","35.6815502538358","初期消火機器設置箇所（スタンドパイプ）"
"8","（南台４－１４）","ささの葉公園","平成26年度","","139.666563317642","35.6829219668412","初期消火機器設置箇所（スタンドパイプ）"
"9","（南台４－３７）","南台児童遊園","平成25年度","","139.666118412815","35.6799080745966","初期消火機器設置箇所（スタンドパイプ）"
"10","南台５－７","南台公園","平成27年度","","139.663826862056","35.6811447039188","初期消火機器設置箇所（スタンドパイプ）"
"11","南台５－２８－３","雑色児童遊園","平成27年度","","139.66089747233","35.6810415428938","初期消火機器設置箇所（スタンドパイプ）"
"12","弥生町６－２","丸太公園","平成27年度","","139.662429385337","35.6869704502939","初期消火機器設置箇所（スタンドパイプ）"
"13","南台３－１０","SUN南台","平成27年度","","139.66838804499","35.6841870618261","初期消火機器設置箇所（スタンドパイプ）"
"14","（弥生町４－２０）","栄町公園","平成26年度","","139.671809617781","35.6867636892161","初期消火機器設置箇所（スタンドパイプ）"
"15","（南台２－５１－７）","住宅敷地内","平成26年度","","139.669460240231","35.6850336275572","初期消火機器設置箇所（スタンドパイプ）"
"16","南台１－６－１７","住宅内敷地","平成27年度","","139.67518406352","35.6864754449261","初期消火機器設置箇所（スタンドパイプ）"
"17","弥生町１－１４","弥生児童館","平成27年度","","139.680922197838","35.6904036518614","初期消火機器設置箇所（スタンドパイプ）"
"18","弥生町２－７","花見公園","平成27年度","","139.676476991933","35.6923751334298","初期消火機器設置箇所（スタンドパイプ）"
"19","弥生町１－３３","くすの木公園","平成27年度","","139.677974708487","35.6889005730322","初期消火機器設置箇所（スタンドパイプ）"
"20","（本町１－２３）","本一公園","平成26年度","","139.682755081955","35.6941396410308","初期消火機器設置箇所（スタンドパイプ）"
"21","（本町２－１４）","東郷公園","平成26年度","","139.678376562417","35.6943760348937","初期消火機器設置箇所（スタンドパイプ）"
