"管理番号","設置形式","設置本数","調査結果","緯度","経度","経度","緯度","分類"
"鷺9-475","建柱式","1","点検済","35.7300150423","139.624674171","139.624670692902","35.7300150295812","点検済"
"鷺9-474","建柱式","1","点検済","35.7287336571","139.62481901","139.624815542125","35.7287336405221","点検済"
"鷺9-479","建柱式","1","点検済","35.7305304546","139.625154322","139.625150838387","35.7305304435124","点検済"
"鷺9-487","建柱式","1","点検済","35.7314128935","139.625211954","139.625208463265","35.7314128851462","点検済"
"鷺9-485","建柱式","1","点検済","35.7318973456","139.625473469","139.625469973947","35.7318973388462","点検済"
"鷺9-480","建柱式","1","点検済","35.7293291717","139.625513703","139.625510227467","35.7293291572624","点検済"
"鷺9-481","建柱式","1","点検済","35.7314055544","139.62559934","139.625595847982","35.7314055462343","点検済"
"鷺9-489","建柱式","1","点検済","35.7289974265","139.625758239","139.625754765696","35.7289974112158","点検済"
"鷺57-004","建柱式","1","点検済","35.7276538482","139.625778055","139.625774592352","35.7276538288986","点検済"
"鷺96-005","建柱式","1","点検済","35.730595306","139.625818133","139.625814647109","35.7305952955014","点検済"
"鷺9-478","建柱式","1","点検済","35.7299023287","139.625877235","139.625873754094","35.7299023162099","点検済"
"鷺53-005","建柱式","1","点検済","35.7263842159","139.625966996","139.625963542815","35.7263841928832","点検済"
"鷺53-013","建柱式","1","点検済","35.7291032686","139.626084343","139.626080867398","35.7291032538567","点検済"
"鷺9-484","建柱式","1","点検済","35.7307992","139.626085801","139.626082312277","35.7307991903396","点検済"
"鷺9-486","建柱式","1","点検済","35.7320506485","139.6261441","139.626140601118","35.7320506426328","点検済"
"鷺7-121","建柱式","1","点検済","35.7271327131","139.626315683","139.626312222876","35.7271326926106","点検済"
"鷺9-285","建柱式","1","点検済","35.7267408839","139.626343654","139.626340196779","35.7267408622367","点検済"
"鷺9-277","建柱式","1","点検済","35.7259857403","139.626475275","139.626471822919","35.7259857164403","点検済"
"鷺9-482","建柱式","1","点検済","35.730159872","139.62659391","139.62659042475","35.7301598607603","点検済"
"鷺7-116","建柱式","1","点検済","35.7255418322","139.626608072","139.626604623451","35.7255418071159","点検済"
"鷺9-483","建柱式","1","点検済","35.7306534625","139.62665085","139.62664736064","35.730653452779","点検済"
"鷺53-004","建柱式","1","点検済","35.7264659449","139.626746698","139.626743241641","35.7264659226806","点検済"
"鷺7-115","建柱式","1","点検済","35.7322465171","139.626780053","139.62677655056","35.7322465122444","点検済"
"鷺9-472","建柱式","1","点検済","35.728990589","139.626896381","139.626892904456","35.7289905744388","点検済"
"鷺9-275","建柱式","1","点検済","35.724653935","139.626996132","139.626992689237","35.7246539074924","点検済"
"鷺11-001","建柱式","1","点検済","35.7282068747","139.627019032","139.62701556091","35.728206857885","点検済"
"鷺9-278","建柱式","1","点検済","35.7253020125","139.627054632","139.627051183584","35.7253019869939","点検済"
"鷺7-120","建柱式","1","点検済","35.7272377743","139.627110958","139.627107494409","35.7272377546887","点検済"
"鷺7-114","建柱式","1","点検済","35.7324111882","139.62718606","139.627182554929","35.7324111841025","点検済"
"鷺9-265","建柱式","1","点検済","35.7241326937","139.627226293","139.627222853726","35.7241326647941","点検済"
"鷺57-005","建柱式","1","点検済","35.7305016802","139.627230316","139.627226826402","35.7305016704157","点検済"
"鷺9-287","建柱式","1","点検済","35.7260434222","139.627280301","139.627276846237","35.7260433990688","点検済"
"鷺9-235","建柱式","1","点検済","35.7278224131","139.627290666","139.627287197182","35.7278223952961","点検済"
"鷺9-473","建柱式","1","点検済","35.7288664927","139.627394842","139.627391364455","35.7288664781141","点検済"
"鷺9-488","建柱式","1","点検済","35.729430964","139.627419412","139.627415930032","35.7294309511138","点検済"
"鷺9-466","壁掛式","1","点検済","35.7349106802","139.627469033","139.627465507683","35.7349106836938","点検済"
"鷺7-119","建柱式","1","点検済","35.7272519277","139.62758705","139.627583584838","35.7272519083648","点検済"
"鷺7-119","建柱式","1","点検済","35.7272519277","139.62758705","139.627583584838","35.7272519083648","点検済"
