 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,418,059","80,545,209","1,075,481","11,500,667","1,024,900","10,982,421","3,086,809","32,890,592","2,969,099","31,718,819","1,259,624","13,826,431","1,996,145","22,327,519"
農水産品,,"485,751","5,179,823","16,456","229,359","16,456","229,256","432,386","4,562,679","341,822","3,787,576","15,044","189,365","21,865","198,420"
1,麦,"52,691","292,482",-,4,-,4,"41,520","207,216","1,501","22,835",980,"12,824","10,191","72,438"
2,米,"6,340","70,772",560,"3,812",560,"3,812","1,350","17,890","1,350","17,890","2,795","35,340","1,635","13,730"
3,とうもろこし,"1,046","9,690",30,30,30,30,943,"9,233",943,"9,233",73,427,-,-
4,豆類,"6,569","147,344",9,355,9,355,"4,995","127,667","4,995","127,667","1,305","15,620",260,"3,702"
5,その他雑穀,"1,315","7,929",-,-,-,-,825,"5,792",825,"5,792",430,"1,717",60,420
6,野菜・果物,"149,309","1,764,543","5,541","29,803","5,541","29,700","131,840","1,606,096","81,295","1,015,374","5,676","77,977","6,252","50,667"
7,綿花,-,465,-,201,-,201,-,234,-,234,-,-,-,30
8,その他農産品,"22,577","240,128",921,"8,918",921,"8,918","21,121","222,977","21,121","222,977",171,"6,131",364,"2,102"
9,羊毛,-,461,-,-,-,-,-,440,-,440,-,21,-,-
10,その他畜産品,"138,968","1,602,849","3,138","31,640","3,138","31,640","134,286","1,530,177","134,286","1,530,177",889,"14,432",655,"26,600"
11,水産品,"106,936","1,043,160","6,257","154,596","6,257","154,596","95,506","834,957","95,506","834,957","2,725","24,876","2,448","28,731"
林産品,,"97,326","1,054,944","1,429","17,325","1,429","16,619","84,636","935,632","81,801","871,508","7,833","71,154","3,428","30,833"
12,原木,130,"6,178",-,"2,419",-,"2,419",130,"2,677",130,"2,677",-,22,-,"1,060"
13,製材,"84,181","901,213","1,373","14,384","1,373","13,678","75,112","811,795","72,277","747,671","6,338","58,687","1,358","16,347"
14,樹脂類,"6,511","79,446",1,276,1,276,"5,385","67,900","5,385","67,900",785,"7,220",340,"4,050"
15,木材チップ,"2,051","11,884",17,138,17,138,575,"5,188",575,"5,188",-,30,"1,459","6,528"
16,その他林産品,"1,109","9,016",33,53,33,53,120,"1,240",120,"1,240",695,"5,000",261,"2,723"
17,薪炭,"3,344","47,207",5,55,5,55,"3,314","46,832","3,314","46,832",15,195,10,125
鉱産品,,"421,026","5,092,358","2,284","21,314","2,284","21,314","23,900","458,456","23,900","282,704","12,395","92,691","382,447","4,519,897"
18,石炭,"4,713","149,814",-,262,-,262,"4,713","146,992","4,713","44,283",-,-,-,"2,560"
19,鉄鉱石,195,700,-,-,-,-,195,700,195,700,-,-,-,-
20,金属鉱,490,"6,146",-,4,-,4,285,"4,332",285,"4,332",205,"1,810",-,-
21,砂利・砂,"296,060","3,493,065",-,412,-,412,"1,611","19,313","1,611","19,313","1,540","29,096","292,909","3,444,244"
22,石材,"78,770","872,324",612,"5,237",612,"5,237","7,463","89,717","7,463","89,709","8,875","11,183","61,820","766,187"
23,原油,250,"2,236",-,-,-,-,250,"2,236",250,"2,236",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"16,844","207,988",-,1,-,1,-,"1,056",-,"1,056",70,740,"16,774","206,191"
26,原塩,"1,006","15,390",2,46,2,46,964,"11,544",964,"11,544",-,20,40,"3,780"
27,非金属鉱物,"22,698","344,695","1,670","15,352","1,670","15,352","8,419","182,566","8,419","109,531","1,705","49,842","10,904","96,935"
金属機械工業品,,"2,439,762","27,007,270","427,619","4,773,221","427,360","4,744,164","716,195","7,761,918","708,811","7,683,854","672,914","7,658,322","623,034","6,813,809"
28,鉄鋼,"7,258","81,642","1,756","36,105","1,756","20,978","5,092","34,872","2,992","28,043",180,"2,430",230,"8,235"
