 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,418,059 ","80,545,209 ","4,162,290 ","1,075,481 ","3,086,809 ","44,391,259 ","11,500,667 ","32,890,592 ","3,255,769 ","1,259,624 ","1,996,145 ","36,153,950 ","13,826,431 ","22,327,519 "
公共計,"3,374,135 ","37,130,021 ","1,111,362 ","201,714 ","909,648 ","12,148,391 ","2,167,504 ","9,980,887 ","2,262,773 ","1,157,712 ","1,105,061 ","24,981,630 ","12,813,300 ","12,168,330 "
ドルフィン,"6,367 ","82,421 ",-,-,-,-,-,-,"6,367 ","6,367 ",-,"82,421 ","81,821 ",600 
芝浦ふ頭,"70,989 ","672,544 ",-,-,-,-,-,-,"70,989 ","1,354 ","69,635 ","672,544 ","17,478 ","655,066 "
芝浦物揚場,"8,419 ","75,990 ",-,-,-,-,-,-,"8,419 ","6,516 ","1,903 ","75,990 ","54,867 ","21,123 "
日の出ふ頭,"3,730 ","34,825 ",-,-,-,-,-,-,"3,730 ",-,"3,730 ","34,825 ",-,"34,825 "
竹芝ふ頭,"6,690 ","76,237 ",-,-,-,-,-,-,"6,690 ","4,743 ","1,947 ","76,237 ","52,078 ","24,159 "
品川岸壁,"527,136 ","6,549,369 ","336,637 ","59,603 ","277,034 ","3,729,356 ","708,973 ","3,020,383 ","190,499 ","110,328 ","80,171 ","2,820,013 ","1,672,490 ","1,147,523 "
 品川コンテナ,"338,662 ","3,665,267 ","336,637 ","59,603 ","277,034 ","3,658,254 ","700,398 ","2,957,856 ","2,025 ",-,"2,025 ","7,013 ",690 ,"6,323 "
 品川外貿,-,"71,102 ",-,-,-,"71,102 ","8,575 ","62,527 ",-,-,-,-,-,-
 品川内貿,"188,474 ","2,813,000 ",-,-,-,-,-,-,"188,474 ","110,328 ","78,146 ","2,813,000 ","1,671,800 ","1,141,200 "
月島ふ頭,"1,124 ","15,966 ",-,-,-,-,-,-,"1,124 ",423 ,701 ,"15,966 ","7,065 ","8,901 "
10号西岸壁,"531,782 ","5,966,834 ",-,-,-,-,-,-,"531,782 ","325,224 ","206,558 ","5,966,834 ","3,649,558 ","2,317,276 "
10号東岸壁,"32,164 ","334,534 ",-,-,-,-,-,-,"32,164 ",92 ,"32,072 ","334,534 ","1,290 ","333,244 "
東京港フェリーふ頭,"901,690 ","9,848,565 ",-,-,-,-,-,-,"901,690 ","471,965 ","429,725 ","9,848,565 ","5,122,815 ","4,725,750 "
多目的ふ頭,-,100 ,-,-,-,-,-,-,-,-,-,100 ,50 ,50 
辰巳ふ頭,"39,080 ","355,728 ",-,-,-,-,-,-,"39,080 ","15,145 ","23,935 ","355,728 ","143,307 ","212,421 "
青海コンテナふ頭（公共）,"746,743 ","8,088,367 ","723,096 ","142,111 ","580,985 ","7,899,790 ","1,457,775 ","6,442,015 ","23,647 ","13,607 ","10,040 ","188,577 ","115,735 ","72,842 "
大井水産物ふ頭,-,100 ,-,-,-,50 ,50 ,-,-,-,-,50 ,50 ,-
大井食品ふ頭（OL）,"49,832 ","254,646 ","40,019 ",-,"40,019 ","184,381 ",-,"184,381 ","9,813 ",-,"9,813 ","70,265 ",-,"70,265 "
大井食品ふ頭（OM）,"7,617 ","89,876 ","7,617 ",-,"7,617 ","89,876 ",-,"89,876 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"12,236 ",-,-,-,"11,621 ",-,"11,621 ",-,-,-,615 ,615 ,-
若洲内貿ふ頭,"49,612 ","569,580 ",-,-,-,-,-,-,"49,612 ","37,164 ","12,448 ","569,580 ","417,306 ","152,274 "
15号地木材ふ頭,-,"40,407 ",-,-,-,"34,305 ",706 ,"33,599 ",-,-,-,"6,102 ","2,376 ","3,726 "
若洲建材ふ頭,"66,226 ","706,031 ",-,-,-,-,-,-,"66,226 ","1,600 ","64,626 ","706,031 ","63,435 ","642,596 "
大井建材ふ頭,"113,089 ","1,258,454 ",-,-,-,-,-,-,"113,089 ",-,"113,089 ","1,258,454 ",600 ,"1,257,854 "
城南島建設発生土ふ頭,"95,460 ","751,430 ",-,-,-,-,-,-,"95,460 ","95,460 ",-,"751,430 ","751,430 ",-
中央防波堤内側ばら物ふ頭,"8,547 ","250,120 ","3,993 ",-,"3,993 ","199,012 ",-,"199,012 ","4,554 ","1,400 ","3,154 ","51,108 ","20,343 ","30,765 "
中央防波堤内側建設発生土ふ頭,"21,316 ","158,112 ",-,-,-,-,-,-,"21,316 ","21,316 ",-,"158,112 ","158,112 ",-
中央防波堤内側内貿ふ頭,"86,522 ","937,549 ",-,-,-,-,-,-,"86,522 ","45,008 ","41,514 ","937,549 ","480,479 ","457,070 "
東京港埠頭㈱計,"2,915,405 ","30,999,728 ","2,814,615 ","822,815 ","1,991,800 ","29,730,787 ","8,886,544 ","20,844,243 ","100,790 ","45,492 ","55,298 ","1,268,941 ","542,335 ","726,606 "
青海コンテナふ頭(埠頭㈱),"610,292 ","6,271,687 ","596,902 ","136,960 ","459,942 ","6,112,544 ","1,371,937 ","4,740,607 ","13,390 ","13,390 ",-,"159,143 ","137,126 ","22,017 "
お台場ライナーふ頭,"80,684 ","793,157 ","73,871 ","50,025 ","23,846 ","677,174 ","505,472 ","171,702 ","6,813 ","1,313 ","5,500 ","115,983 ","27,196 ","88,787 "
大井コンテナふ頭,"2,224,429 ","23,934,884 ","2,143,842 ","635,830 ","1,508,012 ","22,941,069 ","7,009,135 ","15,931,934 ","80,587 ","30,789 ","49,798 ","993,815 ","378,013 ","615,802 "
民間計,"1,128,519 ","12,415,460 ","236,313 ","50,952 ","185,361 ","2,512,081 ","446,619 ","2,065,462 ","892,206 ","56,420 ","835,786 ","9,903,379 ","470,796 ","9,432,583 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
