 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,319,30,319,
,総トン数,,"379,080","4,030,884","379,080","4,030,884",
取扱貨物,計,計,"901,690","9,848,565","901,690","9,848,565",
,,出荷,"471,965","5,122,815","471,965","5,122,815",
,,入荷,"429,725","4,725,750","429,725","4,725,750",
取　扱　台　数,バ　ス,計,9,116,9,116,
,,出荷,2,49,2,49,
,,入荷,7,67,7,67,
,トラック,計,"8,322","89,483","8,322","89,483",
,,出荷,"4,371","46,970","4,371","46,970",
,,入荷,"3,951","42,513","3,951","42,513",
,乗用車,計,"4,387","56,201","4,387","56,201",
,,出荷,"2,465","33,408","2,465","33,408",
,,入荷,"1,922","22,793","1,922","22,793",
乗降人員,計,,"3,797","39,121","3,797","39,121",
,乗船,,"1,915","20,767","1,915","20,767",
,降船,,"1,882","18,354","1,882","18,354",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
