 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"307,780","126,696","3,281,636","1,290,816","88,614","124,437","964,450","1,263,609","219,166","2,259","2,317,186","27,207"
,94.1%,92.7%,96.9%,100.7%,95.4%,93.9%,94.2%,101.1%,93.6%,54.6%,98.1%,84.4%
外航計,"285,211","107,592","3,029,564","1,093,684","77,556","107,058","845,033","1,086,289","207,655",534,"2,184,531","7,395"
,93.7%,92.5%,96.8%,104.9%,95.1%,93.5%,95.2%,105.4%,93.2%,30.6%,97.5%,62.8%
外航定期計,"285,211","107,592","3,029,564","1,093,684","77,556","107,058","845,033","1,086,289","207,655",534,"2,184,531","7,395"
,93.7%,92.5%,96.8%,104.9%,95.1%,93.5%,95.2%,105.4%,93.2%,30.6%,97.5%,62.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"22,880","14,711","361,502","151,443","5,336","14,583","108,638","149,192","17,544",128,"252,864","2,251"
,52.6%,71.8%,81.2%,92.6%,32.2%,75.1%,66.5%,93.2%,65.0%,11.8%,89.7%,62.4%
北米東岸(カリビア海含む),"9,204","2,320","104,961","26,545","4,529","2,317","49,172","26,380","4,675",3,"55,789",165
,89.1%,210.5%,89.8%,125.8%,106.0%,215.7%,97.2%,126.8%,77.2%,10.7%,84.1%,55.4%
北欧・地中海,"33,286","3,204","276,082","27,495","16,291","3,158","148,659","27,056","16,995",46,"127,423",439
,178.3%,196.4%,135.0%,131.3%,240.8%,198.6%,165.3%,131.9%,142.8%,112.2%,111.2%,105.5%
南米西岸,"3,161","1,048","30,593","19,778",519,"1,034","4,195","19,440","2,642",14,"26,398",338
,65.4%,24.4%,80.9%,133.6%,80.3%,24.0%,199.7%,143.0%,63.1%,-,73.9%,28.0%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
