 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,418,059","2,335,105","5,082,954","80,545,209","25,327,098","55,218,111","4,950,243","1,586,857","3,363,386","54,499,520","17,708,647","36,790,873"
外航計,"4,162,290","1,075,481","3,086,809","44,391,259","11,500,667","32,890,592","3,997,418","1,024,726","2,972,692","43,072,311","10,992,443","32,079,868"
外航定期計,"4,035,602","1,025,456","3,010,146","43,212,178","10,996,591","32,215,587","3,997,418","1,024,726","2,972,692","43,072,311","10,992,443","32,079,868"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"340,261","70,688","269,573","5,160,064","1,396,525","3,763,539","340,261","70,688","269,573","5,160,064","1,396,525","3,763,539"
北米東岸(カリビア海含む),"129,394","55,416","73,978","1,449,467","628,375","821,092","129,394","55,416","73,978","1,449,462","628,370","821,092"
北欧・地中海,"472,334","224,193","248,141","3,811,986","1,976,287","1,835,699","472,334","224,193","248,141","3,811,986","1,976,287","1,835,699"
南米西岸,"45,044","6,245","38,799","431,263","54,475","376,788","45,044","6,245","38,799","431,263","54,475","376,788"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"14,261","2,978","11,283","250,988","32,664","218,324","14,261","2,978","11,283","250,988","32,664","218,324"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,753,517","457,524","1,295,993","18,788,121","4,666,278","14,121,843","1,715,333","456,794","1,258,539","18,652,734","4,663,110","13,989,624"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"144,751","36,699","108,052","1,627,580","426,735","1,200,845","144,751","36,699","108,052","1,623,105","425,760","1,197,345"
中国(香港含む),"1,136,040","171,713","964,327","11,692,709","1,815,252","9,877,457","1,136,040","171,713","964,327","11,692,709","1,815,252","9,877,457"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"126,688","50,025","76,663","1,179,081","504,076","675,005",-,-,-,-,-,-
内航計,"3,255,769","1,259,624","1,996,145","36,153,950","13,826,431","22,327,519","952,825","562,131","390,694","11,427,209","6,716,204","4,711,005"
内航定期計,"1,905,838","1,052,218","853,620","21,748,220","12,011,754","9,736,466","942,553","551,919","390,634","11,262,665","6,573,161","4,689,504"
北海道,"293,786","163,635","130,151","3,959,564","2,232,175","1,727,389","293,786","163,635","130,151","3,959,564","2,232,175","1,727,389"
東北,"35,633","19,649","15,984","366,277","196,367","169,910","35,633","19,649","15,984","359,461","192,279","167,182"
関東,"55,559","23,591","31,968","555,400","259,979","295,421",654,-,654,"1,096",-,"1,096"
伊豆諸島,"6,690","4,743","1,947","80,214","54,884","25,330",-,-,-,"4,344","3,173","1,171"
中部,"17,800","3,691","14,109","243,476","52,755","190,721","17,800","3,691","14,109","243,476","52,755","190,721"
近畿,"6,335",664,"5,671","94,202","11,731","82,471","6,335",664,"5,671","94,202","11,731","82,471"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,375,852","749,860","625,992","15,180,574","8,255,915","6,924,659","474,162","277,895","196,267","5,332,009","3,133,100","2,198,909"
沖縄,"114,183","86,385","27,798","1,268,513","947,948","320,565","114,183","86,385","27,798","1,268,513","947,948","320,565"
内航不定期,"1,349,931","207,406","1,142,525","14,405,730","1,814,677","12,591,053","10,272","10,212",60,"164,544","143,043","21,501"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
