 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,961","15,001,374","21,416","164,830,088",708,"12,806,612","7,692","140,680,932"
外航計,452,"11,165,399","4,798","122,828,583",417,"10,703,882","4,515","117,701,827"
外航定期計,421,"10,741,088","4,533","117,865,178",417,"10,703,882","4,515","117,701,827"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),34,"2,253,908",413,"28,326,755",34,"2,253,908",413,"28,326,755"
北米東岸(カリビア海含む),14,"809,534",119,"7,995,130",14,"809,534",118,"7,988,128"
北欧・地中海,11,"1,086,121",88,"8,658,570",11,"1,086,121",88,"8,658,570"
南米西岸,4,"461,318",43,"5,557,845",4,"461,318",43,"5,557,845"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,3,"140,536",50,"2,189,346",3,"140,536",50,"2,189,346"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,146,"3,654,856","1,628","40,822,992",142,"3,617,650","1,612","40,674,175"
台湾,-,-,-,-,-,-,-,-
韓国,45,"384,415",482,"4,246,646",45,"384,415",481,"4,239,114"
中国(香港含む),164,"1,950,400","1,710","20,067,894",164,"1,950,400","1,710","20,067,894"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,31,"424,311",265,"4,963,405",-,-,-,-
内航計,"1,509","3,835,975","16,618","42,001,505",291,"2,102,730","3,177","22,979,105"
内航定期計,549,"2,817,202","6,219","30,575,285",289,"2,101,232","3,136","22,882,828"
北海道,111,"1,156,534","1,123","11,987,398",111,"1,156,534","1,123","11,987,398"
東北,52,"40,054",621,"506,594",52,"40,054",602,"492,363"
関東,98,"30,151","1,007","311,499",1,498,3,"1,496"
伊豆諸島,133,"307,237","1,742","3,337,494",-,-,1,155
中部,34,"24,211",363,"430,718",34,"24,211",363,"430,718"
近畿,11,"8,239",132,"249,251",11,"8,239",132,"249,251"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,86,"995,746",971,"11,005,656",56,"616,666",652,"6,974,772"
沖縄,24,"255,030",260,"2,746,675",24,"255,030",260,"2,746,675"
内航不定期,960,"1,018,773","10,399","11,426,220",2,"1,498",41,"96,277"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
