No.,名称,位置,延長（ｍ）,面積（㎡）,設置年度,備考,緯度,経度
1,目黒川緑道,大橋2-23先～同2-24先,115.17,"1,281.66",平成20年度,,35.651667,139.685005
2,蛇崩川緑道1,上目黒1-23先～同1-24先,43.4,277.64,昭和47年度,,35.64438,139.69969
3,蛇崩川緑道2,上目黒2-1先～同3-4先,109,700.86,平成13年度,,35.643565,139.698846
4,蛇崩川緑道3,上目黒2-46先～同3-32先,19.2,124.89,平成15年度,,35.641975,139.695809
5,蛇崩川緑道4,上目黒2-46先～同5-28先,997.6,"6,433.10",昭和47年度,,35.641975,139.695809
6,蛇崩川支流緑道,上目黒4-23先～同4-31先,220.1,482.3,昭和57年度,,35.642315,139.69056
7,谷戸前川緑道,目黒3-17先～同4-1先,370,"1,101.20",昭和55年度,,35.633396,139.703669
8,羅漢寺川緑道,目黒本町1-7先～同1-8先,270.8,691,昭和57年度,,35.625642,139.698319
9,立会川緑道,原町1-2先～碑文谷1-28先,793,"2,526.00",昭和45年度,,35.617251,139.696958
10,呑川本流緑道,緑が丘3-3先～八雲3-31先,"2,451.30","17,576.00",昭和47年度,,35.605657,139.679943
11,呑川柿の木坂支流緑道,中根1-3先～東が丘1-35先,"2,124.90","7,496.90",昭和48年度,,35.617676,139.675548
12,呑川駒沢支流緑道,八雲2-25先～同5-14先,540.2,"2,210.00",昭和48年度,,35.616861,139.66951
13,九品仏川緑道,緑が丘3-3先～自由が丘1-5先,921.4,"3,727.50",昭和49年度,,35.605657,139.679943
