"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","特別区税","81997281","56.4","82263227","45.0"
"2020","地方譲与税","445985","0.3","456767","0.2"
"2020","利子割交付金","250000","0.2","250000","0.1"
"2020","配当割交付金","900000","0.6","1020000","0.6"
"2020","株式等譲渡所得割交付金","744000","0.5","744000","0.4"
"2020","地方消費税交付金","12724000","8.7","12724000","7.0"
"2020","交通安全対策特別交付金","36000","0.0","36000","0.0"
"2020","環境性能割交付金","80000","0.1","80000","0.0"
"2020","地方特例交付金","50000","0.0","97444","0.1"
"2020","特別区交付金","1500001","1.0","1500001","0.8"
"2020","分担金及び負担金","1462259","1.0","1160281","0.6"
"2020","使用料及び手数料","9050356","6.2","9050356","4.9"
"2020","国庫支出金","15971852","11.0","43099080","23.6"
"2020","都支出金","9760385","6.7","11226352","6.1"
"2020","財産収入","576148","0.4","1961731","1.1"
"2020","寄附金","110236","0.1","880329","0.5"
"2020","繰入金","4380898","3.0","8679526","4.7"
"2020","繰越金","2000000","1.4","4442895","2.4"
"2020","諸収入","3400599","2.3","3252944","1.8"
"2020","特別区債","0","0.0","0","0.0"
"2020","歳入合計","145440000","100.0","182924933","100.0"
"2021","特別区税","73517078","45.3",,
"2021","地方譲与税","434367","0.3",,
"2021","利子割交付金","233000","0.1",,
"2021","配当割交付金","1080000","0.7",,
"2021","株式等譲渡所得割交付金","1000000","0.6",,
"2021","地方消費税交付金","12482000","7.7",,
"2021","交通安全対策特別交付金","36000","0.0",,
"2021","環境性能割交付金","76000","0.0",,
"2021","地方特例交付金","100000","0.1",,
"2021","特別区交付金","1500001","0.9",,
"2021","分担金及び負担金","1406575","0.9",,
"2021","使用料及び手数料","9032531","5.6",,
"2021","国庫支出金","20823468","12.8",,
"2021","都支出金","10128472","6.2",,
"2021","財産収入","2469260","1.5",,
"2021","寄附金","335640","0.2",,
"2021","繰入金","23084841","14.2",,
"2021","繰越金","2000000","1.2",,
"2021","諸収入","2670767","1.6",,
"2021","特別区債","0","0.0",,
"2021","歳入合計","162410000","100.0",,

"令和3年度港区行政資料集　 一般会計歳入予算（款別）","Ver202103",,,,
