"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（利用したことがある）[人]","知っているが利用したことはない[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","全体",,"558","40","139","378","1"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性（計）","231","15","56","160","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","13","0","3","10","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","38","1","6","31","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","50","1","7","42","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","47","4","14","29","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","42","4","10","28","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","40","5","15","20","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性（計）","313","24","82","207","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","26","1","1","24","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","49","2","9","38","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","78","2","22","54","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","62","9","10","43","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","56","6","19","31","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","42","4","21","17","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0"
"202203","区政全般","Q7. 区のサービス内容や施設案内、イベント情報などの問い合わせに「みなとコール（コールセンター）」が夜間や休日でも対応しています。あなたは「みなとコール（コールセンター）」を知っていますか。（１つ選択）","性・年代別","無回答","14","1","1","11","1"
