"市区町村コード","地域コード","都道府県名","市区町村名","調査年月日入力","地域名","総人口","合計の男性","合計の女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯合計"
"132217","0","東京都","清瀬市","2022-05-01","上清戸１丁目",1577.00,783.00,794.00,26.00,23.00,37.00,30.00,43.00,23.00,29.00,31.00,42.00,44.00,51.00,59.00,41.00,45.00,56.00,58.00,53.00,58.00,70.00,70.00,74.00,47.00,48.00,47.00,42.00,40.00,31.00,38.00,59.00,64.00,31.00,39.00,29.00,42.00,21.00,36.00,804.00
"132217","0","東京都","清瀬市","2022-05-01","上清戸２丁目",1764.00,873.00,891.00,31.00,32.00,33.00,28.00,38.00,26.00,43.00,39.00,48.00,43.00,55.00,45.00,48.00,53.00,44.00,49.00,54.00,59.00,64.00,57.00,75.00,90.00,68.00,69.00,56.00,40.00,55.00,39.00,61.00,57.00,25.00,50.00,36.00,51.00,39.00,64.00,857.00
"132217","0","東京都","清瀬市","2022-05-01","元町１丁目",3578.00,1615.00,1963.00,49.00,50.00,41.00,45.00,35.00,45.00,60.00,55.00,90.00,106.00,91.00,157.00,118.00,135.00,120.00,119.00,114.00,114.00,122.00,160.00,138.00,149.00,122.00,171.00,124.00,153.00,119.00,109.00,114.00,120.00,54.00,90.00,53.00,87.00,51.00,98.00,2020.00
"132217","0","東京都","清瀬市","2022-05-01","元町２丁目",3033.00,1420.00,1613.00,55.00,57.00,71.00,59.00,50.00,68.00,45.00,50.00,64.00,96.00,98.00,97.00,82.00,89.00,98.00,108.00,119.00,91.00,115.00,127.00,118.00,109.00,92.00,109.00,92.00,97.00,75.00,78.00,89.00,105.00,58.00,84.00,52.00,94.00,47.00,95.00,1599.00
"132217","0","東京都","清瀬市","2022-05-01","中清戸１丁目",1789.00,886.00,903.00,54.00,37.00,41.00,35.00,45.00,41.00,51.00,47.00,40.00,59.00,52.00,47.00,52.00,60.00,72.00,44.00,43.00,60.00,88.00,83.00,78.00,80.00,54.00,45.00,53.00,55.00,33.00,40.00,49.00,49.00,28.00,41.00,32.00,43.00,21.00,37.00,785.00
"132217","0","東京都","清瀬市","2022-05-01","中清戸２丁目",1310.00,630.00,680.00,36.00,41.00,34.00,36.00,40.00,41.00,24.00,28.00,26.00,29.00,31.00,32.00,37.00,29.00,47.00,43.00,62.00,53.00,46.00,43.00,50.00,41.00,40.00,44.00,37.00,35.00,23.00,32.00,34.00,37.00,18.00,26.00,22.00,32.00,23.00,58.00,548.00
"132217","0","東京都","清瀬市","2022-05-01","中清戸３丁目",1728.00,853.00,875.00,52.00,45.00,59.00,36.00,60.00,62.00,52.00,62.00,38.00,41.00,30.00,33.00,42.00,46.00,66.00,68.00,62.00,72.00,88.00,69.00,69.00,89.00,63.00,56.00,42.00,37.00,39.00,31.00,32.00,38.00,27.00,39.00,21.00,24.00,11.00,27.00,685.00
"132217","0","東京都","清瀬市","2022-05-01","中清戸４丁目",1834.00,857.00,977.00,45.00,48.00,48.00,40.00,54.00,30.00,52.00,48.00,53.00,52.00,39.00,27.00,48.00,55.00,46.00,41.00,46.00,59.00,57.00,57.00,60.00,88.00,59.00,52.00,42.00,30.00,30.00,49.00,37.00,57.00,51.00,61.00,42.00,86.00,48.00,97.00,834.00
"132217","0","東京都","清瀬市","2022-05-01","中清戸５丁目",2361.00,1137.00,1224.00,48.00,46.00,48.00,56.00,65.00,65.00,55.00,55.00,48.00,68.00,38.00,44.00,56.00,64.00,57.00,60.00,89.00,89.00,97.00,91.00,113.00,92.00,79.00,79.00,56.00,57.00,60.00,70.00,74.00,78.00,54.00,82.00,51.00,70.00,49.00,58.00,1036.00
"132217","0","東京都","清瀬市","2022-05-01","下清戸１丁目",2230.00,1078.00,1152.00,40.00,37.00,43.00,54.00,51.00,59.00,80.00,59.00,52.00,47.00,36.00,40.00,43.00,46.00,58.00,59.00,71.00,86.00,103.00,96.00,96.00,78.00,68.00,69.00,53.00,50.00,54.00,64.00,77.00,100.00,55.00,79.00,60.00,65.00,38.00,64.00,950.00
"132217","0","東京都","清瀬市","2022-05-01","下清戸２丁目",844.00,410.00,434.00,17.00,21.00,21.00,23.00,24.00,31.00,21.00,24.00,21.00,25.00,23.00,27.00,33.00,31.00,23.00,32.00,44.00,35.00,38.00,36.00,37.00,36.00,26.00,22.00,21.00,17.00,19.00,14.00,14.00,23.00,8.00,10.00,10.00,11.00,10.00,16.00,360.00
"132217","0","東京都","清瀬市","2022-05-01","下清戸３丁目",254.00,138.00,116.00,2.00,2.00,0.00,0.00,2.00,4.00,7.00,3.00,6.00,5.00,10.00,8.00,6.00,5.00,7.00,7.00,4.00,5.00,10.00,6.00,13.00,9.00,11.00,7.00,12.00,12.00,10.00,4.00,18.00,15.00,9.00,5.00,6.00,8.00,5.00,11.00,137.00
"132217","0","東京都","清瀬市","2022-05-01","下清戸４丁目",566.00,282.00,284.00,9.00,7.00,17.00,17.00,15.00,17.00,17.00,17.00,16.00,16.00,15.00,9.00,5.00,13.00,12.00,13.00,18.00,15.00,22.00,31.00,27.00,13.00,13.00,19.00,15.00,17.00,14.00,16.00,28.00,23.00,16.00,15.00,13.00,11.00,10.00,15.00,234.00
"132217","0","東京都","清瀬市","2022-05-01","下清戸５丁目",611.00,303.00,308.00,11.00,9.00,19.00,26.00,24.00,10.00,17.00,23.00,14.00,7.00,8.00,6.00,11.00,16.00,22.00,20.00,22.00,36.00,33.00,18.00,22.00,25.00,23.00,19.00,14.00,13.00,16.00,14.00,13.00,25.00,16.00,11.00,6.00,14.00,12.00,16.00,245.00
"132217","0","東京都","清瀬市","2022-05-01","下宿１丁目",1570.00,821.00,749.00,7.00,9.00,13.00,20.00,23.00,21.00,23.00,22.00,24.00,19.00,21.00,21.00,24.00,16.00,34.00,33.00,44.00,37.00,85.00,53.00,81.00,51.00,61.00,35.00,47.00,34.00,56.00,49.00,98.00,107.00,78.00,93.00,69.00,79.00,33.00,50.00,954.00
"132217","0","東京都","清瀬市","2022-05-01","下宿２丁目",1401.00,702.00,699.00,34.00,28.00,50.00,40.00,51.00,43.00,41.00,34.00,38.00,31.00,33.00,43.00,33.00,38.00,45.00,44.00,54.00,54.00,64.00,52.00,60.00,63.00,49.00,46.00,29.00,37.00,29.00,29.00,39.00,45.00,20.00,26.00,19.00,24.00,14.00,22.00,559.00
"132217","0","東京都","清瀬市","2022-05-01","下宿３丁目",515.00,256.00,259.00,16.00,15.00,16.00,31.00,12.00,13.00,12.00,14.00,6.00,6.00,8.00,6.00,14.00,23.00,33.00,23.00,23.00,18.00,27.00,24.00,23.00,14.00,14.00,14.00,11.00,11.00,12.00,5.00,11.00,17.00,8.00,15.00,5.00,5.00,5.00,5.00,200.00
"132217","0","東京都","清瀬市","2022-05-01","旭が丘１丁目",1032.00,515.00,517.00,9.00,7.00,22.00,19.00,24.00,23.00,32.00,29.00,26.00,28.00,20.00,11.00,15.00,22.00,24.00,20.00,33.00,36.00,40.00,29.00,34.00,47.00,53.00,33.00,34.00,39.00,29.00,39.00,51.00,55.00,28.00,30.00,21.00,28.00,20.00,22.00,453.00
"132217","0","東京都","清瀬市","2022-05-01","旭が丘２丁目",2192.00,1022.00,1170.00,11.00,18.00,14.00,17.00,23.00,20.00,15.00,15.00,27.00,22.00,27.00,33.00,37.00,30.00,45.00,34.00,50.00,45.00,68.00,69.00,101.00,79.00,91.00,71.00,58.00,58.00,75.00,72.00,107.00,130.00,91.00,127.00,91.00,182.00,91.00,148.00,1382.00
"132217","0","東京都","清瀬市","2022-05-01","旭が丘３丁目",689.00,341.00,348.00,12.00,8.00,24.00,32.00,31.00,29.00,33.00,39.00,22.00,14.00,7.00,10.00,11.00,9.00,21.00,22.00,32.00,27.00,48.00,42.00,21.00,28.00,15.00,19.00,16.00,17.00,17.00,12.00,13.00,19.00,10.00,5.00,6.00,7.00,2.00,9.00,230.00
