,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,上海,ロサンゼルス,レムチャバン,香港,タコマ,ロングビーチ,ロッテルダム,寧波－舟山,サバンナ,釜山,ハイフォン,基隆,シンガポール,ジャカルタ,ポートケラン,ハンブルグ,高雄,青島,乍浦,蛇口,品種,
合計,,"1,217,393","668,438","666,722","588,101","557,271","554,210","499,859","387,441","328,944","305,709","278,384","257,804","242,875","223,576","220,795","193,708","192,568","186,331","166,877","163,928",合計,
農水産品,,399,"4,474","68,474","19,796","2,304","1,604",915,"1,096",-,"7,107","5,602","18,543","6,566","2,706","1,972",229,"9,434",218,-,-,農水産品,
1,麦,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦
2,米,-,746,-,548,-,75,100,-,-,-,-,169,366,-,39,7,-,-,-,-,2,米
3,とうもろこし,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし
4,豆類,-,4,-,70,-,40,30,-,-,-,-,-,-,-,-,-,26,-,-,-,4,豆類
5,その他雑穀,-,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀
6,野菜・果物,182,57,686,"5,432",-,59,30,42,-,8,300,"16,165",486,35,313,15,"1,280",212,-,-,6,野菜・果物
7,綿花,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花
8,その他農産品,126,547,8,773,7,186,91,730,-,56,61,561,"1,126",90,542,195,191,4,-,-,8,その他農産品
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛
10,その他畜産品,-,481,"18,644","7,337",494,9,15,24,-,"1,204","1,606",94,870,32,-,-,"3,583",-,-,-,10,その他畜産品
11,水産品,91,"2,632","49,136","5,625","1,669","1,235",649,300,-,"5,839","3,635","1,554","3,718","2,549","1,078",12,"4,354",2,-,-,11,水産品
林産品,,"5,012",294,204,-,-,1,35,347,-,20,-,553,330,158,-,4,173,231,-,-,林産品,
12,原木,-,-,-,-,-,1,-,-,-,-,-,401,-,-,-,-,89,-,-,-,12,原木
13,製材,"4,884",43,-,-,-,-,19,-,-,-,-,135,-,-,-,-,84,231,-,-,13,製材
14,樹脂類,128,146,-,-,-,-,-,347,-,14,-,12,330,158,-,-,-,-,-,-,14,樹脂類
15,木材チップ,-,-,204,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,15,木材チップ
16,その他林産品,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,16,その他林産品
17,薪炭,-,105,-,-,-,-,16,-,-,-,-,5,-,-,-,-,-,-,-,-,17,薪炭
鉱産品,,"4,054",313,560,608,-,353,43,280,-,"1,027",60,619,174,698,126,52,"1,524",101,-,30,鉱産品,
18,石炭,-,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭
19,鉄鉱石,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石
20,金属鉱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,20,金属鉱
21,砂利・砂,60,-,1,25,-,-,-,-,-,28,-,-,-,600,64,-,-,-,-,-,21,砂利・砂
22,石材,36,-,-,-,-,33,2,-,-,3,-,-,-,-,-,-,-,-,-,-,22,石材
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石
