,,,(単位：トン）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
航路別,合計,,,1月,,,2月,,,3月,,,4月,,,5月,,,6月,,,7月,,,8月,,,9月,,,10月,,,11月,,,12月,,,航路別
,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,
合計,"3,134,024","1,820,774","1,313,250","196,579","109,257","87,322","202,175","111,106","91,069","251,077","146,305","104,772","259,143","145,522","113,621","261,775","156,782","104,993","263,594","157,078","106,516","277,560","159,545","118,015","286,937","171,960","114,977","274,578","157,830","116,748","278,228","168,843","109,385","289,449","168,357","121,092","292,929","168,189","124,740",合計
定期航路計,"1,979,575","1,099,077","880,498","136,987","74,542","62,445","137,815","75,467","62,348","175,258","97,145","78,113","173,187","96,857","76,330","162,329","89,413","72,916","172,479","100,469","72,010","179,657","98,878","80,779","173,554","101,366","72,188","166,777","94,867","71,910","171,368","94,775","76,593","161,483","84,900","76,583","168,681","90,398","78,283",定期航路計
北海道,"700,617","367,344","333,273","52,803","27,195","25,608","54,550","28,425","26,125","61,647","31,593","30,054","61,161","32,089","29,072","55,262","29,011","26,251","57,743","31,365","26,378","63,152","32,764","30,388","54,411","30,101","24,310","55,586","28,293","27,293","63,134","34,296","28,838","60,226","30,725","29,501","60,942","31,487","29,455",北海道
東北,"335,320","147,315","188,005","25,702","11,613","14,089","20,541","8,196","12,345","29,578","13,070","16,508","26,677","12,400","14,277","28,890","14,725","14,165","29,805","13,086","16,719","29,818","10,417","19,401","32,399","16,795","15,604","29,896","14,969","14,927","21,900","8,237","13,663","29,030","11,956","17,074","31,084","11,851","19,233",東北
関東,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,関東
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,伊豆諸島
中部,"122,299","13,530","108,769","7,834",553,"7,281","10,514",749,"9,765","11,040",169,"10,871","12,646","2,778","9,868","12,852","4,429","8,423","12,107","3,289","8,818","10,598",240,"10,358","10,340",-,"10,340","10,602",755,"9,847","10,804",265,"10,539","4,278",197,"4,081","8,684",106,"8,578",中部
近畿,"87,881","15,514","72,367","2,533",697,"1,836",-,-,-,-,-,-,"6,298",667,"5,631","11,363",693,"10,670","7,313",929,"6,384","8,500","1,652","6,848","11,244","3,665","7,579","8,380","2,826","5,554","9,036","1,129","7,907","14,652","1,877","12,775","8,562","1,379","7,183",近畿
中国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中国
四国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,四国
九州,"244,195","119,470","124,725","18,625","9,115","9,510","18,905","9,385","9,520","23,300","11,450","11,850","21,835","10,715","11,120","18,865","9,125","9,740","20,310","10,170","10,140","20,870","10,890","9,980","19,100","8,385","10,715","21,215","10,240","10,975","19,500","9,395","10,105","21,105","10,485","10,620","20,565","10,115","10,450",九州
沖縄,"489,263","435,904","53,359","29,490","25,369","4,121","33,305","28,712","4,593","49,693","40,863","8,830","44,570","38,208","6,362","35,097","31,430","3,667","45,201","41,630","3,571","46,719","42,915","3,804","46,060","42,420","3,640","41,098","37,784","3,314","46,994","41,453","5,541","32,192","29,660","2,532","38,844","35,460","3,384",沖縄
不定期航路,"1,154,449","721,697","432,752","59,592","34,715","24,877","64,360","35,639","28,721","75,819","49,160","26,659","85,956","48,665","37,291","99,446","67,369","32,077","91,115","56,609","34,506","97,903","60,667","37,236","113,383","70,594","42,789","107,801","62,963","44,838","106,860","74,068","32,792","127,966","83,457","44,509","124,248","77,791","46,457",不定期航路
