,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
品種,,ロサンゼルス,オークランド,新港、天津,大連,厦門,ポートケラン,ホーチミン及びカトライ,ハイフォン,寧波－舟山,ハンブルグ,ロッテルダム,マニラ,ジャカルタ,高雄,ロングビーチ,煙台,カイメップ,バンコク,ノーフォーク,ルアーブル,品種,,,,
合計,,"1,030,133","971,146","809,201","749,167","704,383","646,182","613,066","599,949","596,709","563,755","530,834","507,279","490,069","462,112","459,205","412,289","345,894","303,362","282,620","272,617",合計,,,,
農水産品,,"195,106","667,451","11,495","87,393","68,246","30,585","63,300","6,993","32,139","25,381","70,187","9,579","8,237","61,554","50,216","162,598","55,987","37,679","20,853","16,456",農水産品,,,,
1,麦,810,-,-,-,-,-,-,-,-,450,-,-,-,-,255,-,-,-,-,"2,280",1,麦,,,
2,米,-,"17,254",-,576,-,-,-,-,-,-,-,-,-,-,-,-,-,840,-,-,2,米,,,
3,とうもろこし,"2,175",532,-,-,-,165,-,-,-,-,-,-,-,30,375,-,-,75,-,-,3,とうもろこし,,,
4,豆類,"13,570","5,055",30,562,45,15,-,-,-,-,-,-,-,12,"15,959",75,-,15,"6,195",23,4,豆類,,,
5,その他雑穀,15,-,45,135,-,-,-,-,-,13,33,-,-,-,60,-,-,-,-,-,5,その他雑穀,,,
6,野菜・果物,"63,780","136,979","6,623","9,745","55,931","1,161","3,057","1,857","8,070",383,"1,421","3,086",45,"36,964","12,431","73,245","4,557","3,000",-,"1,140",6,野菜・果物,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,
8,その他農産品,"1,418","7,125","2,938","3,452","4,590","4,135","10,925",72,150,"3,242","25,883",91,"1,880","11,487",687,"9,432","6,915","6,564","3,608",390,8,その他農産品,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,9,羊毛,,,
10,その他畜産品,"110,428","499,356",498,247,273,"17,928",36,-,"1,131","13,154","12,501","3,270",45,"2,719","19,986",198,-,"21,421","10,810","12,117",10,その他畜産品,,,
11,水産品,"2,910","1,150","1,361","72,676","7,407","7,181","49,282","5,064","22,788","8,139","30,304","3,132","6,267","10,342",463,"79,648","44,515","5,764",240,506,11,水産品,,,
林産品,,"1,155",74,624,"4,663","3,299","32,913","4,171","4,020","4,489","60,788","22,964",45,"8,831","4,930",809,-,120,"3,270","1,580",270,林産品,,,,
12,原木,613,-,-,-,-,-,-,80,105,52,-,-,-,56,357,-,-,-,4,-,12,原木,,,
13,製材,527,74,45,"3,608","1,799","21,323",522,128,"1,230","59,601","22,829",-,208,"4,409",152,-,30,-,"1,576",-,13,製材,,,
14,樹脂類,15,-,-,-,-,"2,530","1,714",-,-,115,-,-,"8,310",90,180,-,75,"1,362",-,270,14,樹脂類,,,
15,木材チップ,-,-,-,60,90,-,"1,260",-,-,"1,020",75,-,-,-,30,-,15,-,-,-,15,木材チップ,,,
16,その他林産品,-,-,-,582,-,60,90,-,30,-,60,-,-,225,30,-,-,-,-,-,16,その他林産品,,,
17,薪炭,-,-,579,413,"1,410","9,000",585,"3,812","3,124",-,-,45,313,150,60,-,-,"1,908",-,-,17,薪炭,,,
鉱産品,,"2,902",646,"29,231","10,639","53,009","1,953","1,830","3,748",240,"12,439","1,554","1,755",477,"2,539","1,171","8,325",60,"3,375","2,731","3,859",鉱産品,,,,
18,石炭,-,-,"1,460",579,-,-,-,-,-,"8,813","1,143",-,-,645,-,-,-,-,"1,380",-,18,石炭,,,
19,鉄鉱石,-,-,10,-,-,15,-,-,-,-,30,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,
20,金属鉱,210,-,150,-,-,150,-,-,-,-,75,-,-,15,-,-,-,-,35,-,20,金属鉱,,,
21,砂利・砂,320,278,915,630,10,75,-,-,-,592,-,810,-,225,60,"1,905",-,75,305,-,21,砂利・砂,,,
22,石材,57,-,"5,234","3,361","52,838","1,033",-,"1,093",75,153,103,555,387,349,6,"6,420",15,-,5,"3,390",22,石材,,,
23,原油,"1,170",-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,30,-,23,原油,,,
24,りん鉱石,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,
25,石灰石,22,210,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,25,石灰石,,,
26,原塩,122,50,30,-,86,20,45,-,15,"1,591",-,375,-,-,94,-,45,-,16,169,26,原塩,,,
27,非金属鉱物,989,108,"21,432","6,069",75,660,"1,785","2,655",150,"1,290",203,15,90,"1,305",959,-,-,"3,300",960,300,27,非金属鉱物,,,
金属機械工業品,,"162,747","12,458","383,800","255,019","248,249","165,853","52,561","143,917","164,346","146,568","47,968","182,685","119,701","119,337","85,265","59,849","40,067","57,744","15,304","18,994",金属機械工業品,,,,
28,鉄鋼,105,-,"2,639",30,80,"2,295",58,300,-,"5,938",285,-,-,"7,155",-,30,-,-,-,-,28,鉄鋼,,,
