　6-(2)　内貿コンテナの船種別・年次別個数表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(単位：TEU）
船種別,平成29年(2017年),,,平成28年(2016年),,,平成27年(2015年),,,平成26年(2014年),,,平成25年(2013年),,,船種別
,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,
合計,"547,581","393,791","153,790","484,137","355,338","128,799","479,654","364,618","115,036","504,657","375,260","129,397","507,390","380,461","126,929",合計
実入,"292,236","160,901","131,335","248,701","137,709","110,992","227,874","127,838","100,036","254,713","141,180","113,533","253,801","143,432","110,369",実入
空,"255,345","232,890","22,455","235,436","217,629","17,807","251,780","236,780","15,000","249,944","234,080","15,864","253,589","237,029","16,560",空
フルコンテナ船,"309,183","253,300","55,883","290,084","246,115","43,969","266,297","238,772","27,525","278,782","241,995","36,787","288,903","246,400","42,503",フルコンテナ船
実入,"107,569","56,199","51,370","87,503","46,450","41,053","60,903","34,655","26,248","79,883","44,078","35,805","91,466","50,419","41,047",実入
空,"201,614","197,101","4,513","202,581","199,665","2,916","205,394","204,117","1,277","198,899","197,917",982,"197,437","195,981","1,456",空
セミコンテナ船,"17,533","5,489","12,044",628,537,91,-,-,-,-,-,-,-,-,-,セミコンテナ船
実入,"13,251","1,919","11,332",308,217,91,-,-,-,-,-,-,-,-,-,実入
空,"4,282","3,570",712,320,320,-,-,-,-,-,-,-,-,-,-,空
ＲＯＲＯ船,"139,198","73,439","65,759","145,350","76,349","69,001","145,387","77,123","68,264","137,251","71,948","65,303","139,992","73,890","66,102",ＲＯＲＯ船
実入,"124,473","73,295","51,178","130,728","76,349","54,379","132,033","77,123","54,910","127,535","71,948","55,587","130,421","73,890","56,531",実入
空,"14,725",144,"14,581","14,622",-,"14,622","13,354",-,"13,354","9,716",-,"9,716","9,571",-,"9,571",空
その他コンテナ積船,"81,667","61,565","20,102","48,071","32,337","15,734","67,971","48,721","19,250","88,623","61,320","27,303","78,494","60,172","18,322",その他コンテナ積船
実入,"46,943","29,490","17,453","30,160","14,693","15,467","34,940","16,058","18,882","47,295","25,157","22,138","31,913","19,124","12,789",実入
空,"34,724","32,075","2,649","17,911","17,644",267,"33,031","32,663",368,"41,328","36,163","5,165","46,581","41,048","5,533",空
*　四捨五入しているので、合計の数字と内訳の数字が一致しない場合がある。,,,,,,,,,,,,,,,,
