,,,,,,,,,,,,,,,,,,,(単位：トン）
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入
グレーンジマス,"3,554",525,"3,029",カタニア,300,3,297,ジョージア,606,486,120,バンクーバー,"7,163","7,163",-,諸港（蘭領アンティル）,138,138,-
イミンガム,30,-,30,バリ,"5,996",-,"5,996",バツーミ,4,4,-,トーランス,"2,359","2,359",-,グレナダ,41,41,-
ティーポート,86,11,75,アンコナ,"8,301",148,"8,153",ポティ,602,482,120,諸港(ｱﾒﾘｶ),"250,344","237,433","12,911",セントジョージ,40,40,-
諸港(イギリス),"13,611","10,296","3,315",ラベンナ,"4,747",213,"4,534",モンテネグロ,30,30,-,メキシコ,"204,595","10,426","194,169",諸港(グレナダ),1,1,-
アイルランド,"15,221","2,491","12,730",トラパーニ,309,-,309,諸港(モンテネグロ),30,30,-,ベラクルス,52,7,45,ベリーズ,286,15,271
ダブリン,"5,243","1,131","4,112",チィビタベッキア,67,19,48,北アメリカ,"8,569,071","3,002,737","5,566,334",プログレーソ,"4,882",-,"4,882",ベリーズ,286,15,271
リムリック,20,20,-,ジオイアタウロ,"5,696",97,"5,599",カナダ,"1,335,610","175,699","1,159,911",エンセナーダ,524,14,510,セントビンセント,9,9,-
コーク,"9,913","1,295","8,618",サレルノ,"3,841",287,"3,554",ハリファクス,"10,756","4,947","5,809",マンサニーヨ,"194,195","6,170","188,025",キングスタウン,9,9,-
諸港(アイルランド),45,45,-,諸港(ｲﾀﾘｱ),"4,682","2,888","1,794",セントジョン,505,-,505,アルタミラ,540,15,525,米領ヴァージン,151,151,-
ポーランド,"29,825","4,371","25,454",マルタ,387,387,-,ケベック,197,197,-,ラザロカルディナス,148,26,122,セントトーマス,90,90,-
グジニア,"5,733","1,232","4,501",バレッタ,235,235,-,モントリオール,"4,219","1,054","3,165",ティファナ,320,320,-,諸港(米領ヴァージン),61,61,-
グダニスク,"19,897","1,210","18,687",諸港(マルタ),152,152,-,トロント,"5,368","5,367",1,諸港(ﾒｷｼｺ),"3,934","3,874",60,バハマ,36,36,-
ウストカ,8,8,-,ロシア,"164,506","96,838","67,668",ハミルトン,3,3,-,ホンジュラス,"1,454",564,890,ナッソー,36,36,-
シュチェチン,"1,570",5,"1,565",サンクト・ペテルスブルグ,"79,333","74,405","4,928",プリンスルーパート,"2,554",30,"2,524",プエルトコルテス,172,104,68,バーミューダ,49,49,-
諸港(ポーランド),"2,617","1,916",701,ボストーチヌイ,"38,945",110,"38,835",バンクーバー,"1,300,573","154,945","1,145,628",サンロレンゾ,387,345,42,ハミルトン,49,49,-
フィンランド,"110,112","4,429","105,683",ウラジオストック,"34,738","14,829","19,909",ビクトリア,6,6,-,サンペドロスラ,18,18,-,ドミニカ,99,99,-
オウル,"2,425",-,"2,425",ノボロシースク,75,15,60,諸港(カナダ),"11,429","9,150","2,279",諸港(ホンジュラス),877,97,780,ロゾー,39,39,-
ヘルシンキ,"12,355","1,584","10,771",カザン,1,1,-,アメリカ,"6,980,232","2,804,125","4,176,107",グアテマラ,"6,289",749,"5,540",諸港(ドミニカ）,60,60,-
ラウマ,"12,105","1,504","10,601",諸港(ロシア),"11,414","7,478","3,936",ボストン,"7,491","4,231","3,260",プエルトケツアール,"6,137",597,"5,540",セントクリストファー・ネイビス,24,24,-
コトカ,"79,664","1,264","78,400",オランダ,"1,047,941","517,032","530,909",ニューヨーク,"127,178","106,158","21,020",諸港(グアテマラ),152,152,-,バセーテール,24,24,-
コッコラ,608,-,608,アムステルダム,"13,054","13,009",45,フィラデルフィア,142,52,90,エルサルバドル,441,440,1,セントルシア,34,34,-
諸港(フィンランド),"2,955",77,"2,878",ロッテルダム,"1,030,693","499,859","530,834",ボルチモア,"8,564",643,"7,921",アカフトラ,331,330,1,カストリーズ,7,7,-
フランス,"377,782","68,127","309,655",諸港(オランダ),"4,194","4,164",30,"ウィルミントン,ノースカロライナ州",56,-,56,サンサルバドル,110,110,-,諸港（ｾﾝﾄﾙｼｱ）,27,27,-
ダンケルク,250,220,30,ベルギー,"101,420","36,474","64,946",チャールストン,"200,292","66,524","133,768",ニカラグア,91,67,24,グアドループ,39,39,-
ルアーブル,"327,032","54,415","272,617",アントワープ,"98,006","33,120","64,886",サバンナ,"450,280","328,944","121,336",コリント,67,43,24,ポアント・ア・ピトル,39,39,-
ボルドー,9,9,-,ヘント,30,30,-,ジャクソンビル,"57,181","27,740","29,441",マナグア,24,24,-,アンティグア・バーブーダ,153,153,-
フォス,44,-,44,ゼーブルッゲ,15,-,15,マイアミ,"8,135","7,728",407,コスタリカ,733,228,505,諸港(アンティグア・バーブーダ）,153,153,-
マルセーユ,78,78,-,オーステンデ,290,290,-,ノーフォーク,"385,647","103,027","282,620",リモン,135,135,-,ヴァージン諸島,29,29,-
ブレスト,60,-,60,諸港(ベルギー),"3,079","3,034",45,ビッツバーグ,496,496,-,カルデラ,465,20,445,トルトラ,29,29,-
諸港(ﾌﾗﾝｽ),"50,309","13,405","36,904",ギリシャ,"11,231","3,565","7,666",クリーブランド,649,649,-,諸港(ｺｽﾀﾘｶ),133,73,60,ケイマン諸島,32,32,-
ドイツ,"794,864","215,383","579,481",テサロニキ,"2,662",73,"2,589",トレド,209,209,-,パナマ,"30,729","3,988","26,741",諸港（ｹｲﾏﾝ諸島）,32,32,-
ハンブルグ,"757,463","193,708","563,755",ピレエフス,"8,527","3,450","5,077",デトロイト,"2,115","2,115",-,パナマ,117,117,-,南アメリカ,"763,286","87,970","675,316"
ブレーメルハーフェン,"12,538",705,"11,833",諸港(ギリシャ),42,42,-,ポートヒューロン,90,90,-,コロン,"4,644","2,544","2,100",コロンビア,"1,982","1,678",304
ブレーメン,178,178,-,ルーマニア,"27,872","1,214","26,658",シカゴ,"16,362","16,145",217,クリストバル,88,-,88,サンタマルタ,1,1,-
ビルへルムスハーフェン,"2,161",-,"2,161",コンスタンツア,"27,843","1,185","26,658",ミルウォキー,218,218,-,バルボア,"7,091",4,"7,087",バランキア,138,93,45
リューベルク,4,4,-,諸港(ﾙｰﾏﾆｱ),29,29,-,タンパ,3,3,-,マンザニロ,"18,769","1,303","17,466",カルタヘナ,662,463,199
諸港(ドイツ),"22,520","20,788","1,732",ブルガリア,"2,293",325,"1,968",モビール,"2,303","1,080","1,223",諸港(パナマ),20,20,-,ブエナベンツラ,996,966,30
ポルトガル,"13,602","6,387","7,215",バルナ,"2,080",172,"1,908",ニューオリンズ,342,327,15,バルバドス,106,106,-,諸港(コロンビア）,185,155,30
レイショーズ,"5,223","2,921","2,302",ブルガス,150,90,60,ヒューストン,"8,367","5,183","3,184",ブリッジタウン,106,106,-,ベネズエラ,15,15,-
リスボン,"6,816","3,392","3,424",諸港(ブルガリア),63,63,-,ダッチハーバー,"15,618",-,"15,618",キューバ,109,98,11,グアンタ,5,5,-
シネシュ,"1,039",66,973,アルバニア,30,-,30,ジュノー,22,-,22,マンサニヨ,84,84,-,ラグアイラ,9,9,-
ポルト,1,1,-,ドウレース,30,-,30,シアトル,"10,059","3,993","6,066",諸港(キューバ),25,14,11,諸港(ベネズエラ）,1,1,-
諸港(ポルトガル),523,7,516,エストニア,"16,213",928,"15,285",エヴァレット,"10,957","10,430",527,ハイチ,114,103,11,ガイアナ,24,24,-
スペイン,"111,229","15,860","95,369",タリン,"12,880",928,"11,952",タコマ,"1,633,053","557,271","1,075,782",ポルトープランス,114,103,11,ジョウジタウン,24,24,-
バルセロナ,"53,946","7,335","46,611",諸港(ｴｽﾄﾆｱ),"3,333",-,"3,333","ポートランド,オレゴン州","3,158","3,158",-,ドミニカ共和国,"2,557",951,"1,606",スリナム,96,96,-
バレンシア,"39,549","6,231","33,318",ラトビア,"18,792","1,381","17,411",リッチモンド，カリフォルニア州,15,15,-,リオハイナ,"1,332",108,"1,224",パラマリボ,96,96,-
カルタヘナ,210,-,210,リガ,"18,689","1,371","17,318",オークランド,"1,057,046","85,900","971,146",サントドミンゴ,4,4,-,エクアドル,"1,579",378,"1,201"
マラガ,307,-,307,諸港(ラトビア),103,10,93,サンフランシスコ,571,571,-,カウセード,"1,051",702,349,グァヤキル,"1,553",353,"1,200"
アルヘシラス,"4,265",242,"4,023",リトアニア,"7,717","3,656","4,061",レッドウッド,5,5,-,諸港(ドミニカ共和国),170,137,33,諸港(エクアドル）,26,25,1
ビルバオ,"3,505",919,"2,586",クライペタ,"6,839","3,598","3,241",サクラメント,3,3,-,プエルトリコ,"3,289","2,975",314,ペルー,"40,727","1,348","39,379"
ヒホン,622,-,622,諸港(ﾘﾄｱﾆｱ),878,58,820,ロサンゼルス,"1,698,571","668,438","1,030,133",サンファン,"3,272","2,958",314,パイタ,588,15,573
カジス,170,-,170,ウクライナ,"2,153","1,485",668,ロングビーチ,"1,013,415","554,210","459,205",諸港(プエルトリコ),17,17,-,カヤオ,"39,888","1,237","38,651"
ビゴ,"3,057",508,"2,549",オデッサ,"1,750","1,302",448,サンディエゴ,357,357,-,トリニダード・トバゴ,"1,253","1,121",132,マタラニ,155,-,155
諸港(スペイン),"5,598",625,"4,973",イリチェフスク,110,110,-,ストックトン,61,61,-,ポートオブスペイン,206,74,132,イキトス,35,35,-
イタリア,"221,404","33,509","187,895",諸港(ｳｸﾗｲﾅ),293,73,220,ホノルル,107,107,-,ポイントリサス,"1,045","1,045",-,諸港(ペルー),61,61,-
トリエステ,"13,750","2,685","11,065",クロアチア,520,112,408,ブラウンスビル,9,9,-,諸港(トリニダード・トバゴ),2,2,-,チリ,"489,606","3,921","485,685"
ベネチア,"14,466",212,"14,254",リエカ,442,109,333,ニューアーク,143,4,139,ジャマイカ,265,164,101,アリカ,43,43,-
ジェノバ,"61,734","17,950","43,784",諸港(ｸﾛｱﾁｱ),78,3,75,パナマシティ,31,31,-,キングストン,255,154,101,イクイケ,"9,256","2,094","7,162"
ラスペチア,"36,041","7,938","28,103",スロベニア,"38,939","3,612","35,327",ポートエバーグレイズ,832,832,-,モンテゴベイ,10,10,-,アントファガスタ,34,4,30
リボルノ,"1,114",277,837,コーペル,"38,802","3,595","35,207",リッチモンド，バージニア州,8,8,-,アルバ,54,54,-,バルパライソ,"262,901","1,287","261,614"
ナポリ,"59,171",792,"58,379",諸港(スロベニア),137,17,120,テキサスシティー,1,1,-,オランジェスタッド,54,54,-,タルカファノ,1,1,-
カリアーリ,404,-,404,モナコ,1,1,-,ウィルミントン，デラウェア州,1,1,-,蘭領アンティル,168,168,-,サンアントニオ,"2,072",254,"1,818"
パレルモ,785,-,785,モンテカルロ,1,1,-,エリザベスポート,203,203,-,ウイレムスタット,30,30,-,プエルトモント,300,-,300
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
