,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,,
品種,,13号地その2,,,,,,,,,大井,,,,,,その他,,,品種,,,,,,,,
,,青海コンテナふ頭（公共）,,,青海コンテナふ頭(埠頭㈱),,,お台場ライナーふ頭,,,合計,,,大井コンテナふ頭,,,合計,,,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,,,
合計,,"8,641,656","1,745,462","6,896,194","7,087,184","1,664,283","5,422,901","21,763",-,"21,763","26,466,215","8,151,732","18,314,483","26,466,215","8,151,732","18,314,483","1,560,154","292,831","1,267,323",合計,,,,,,,,
農水産品,,"441,426","45,947","395,479","626,414","66,586","559,828","2,730",-,"2,730","3,180,598","242,738","2,937,860","3,180,598","242,738","2,937,860","47,743",244,"47,499",農水産品,,,,,,,,
1,麦,314,30,284,"2,709",-,"2,709",330,-,330,"17,837",-,"17,837","17,837",-,"17,837",-,-,-,1,麦,,,,,,,
2,米,"1,745",230,"1,515","3,641",322,"3,319",-,-,-,"19,396","2,560","16,836","19,396","2,560","16,836",390,-,390,2,米,,,,,,,
3,とうもろこし,95,-,95,720,-,720,-,-,-,"4,146",37,"4,109","4,146",37,"4,109",19,-,19,3,とうもろこし,,,,,,,
4,豆類,"2,961",26,"2,935","17,529",-,"17,529","2,400",-,"2,400","100,752",165,"100,587","100,752",165,"100,587",945,-,945,4,豆類,,,,,,,
5,その他雑穀,104,89,15,"1,420",-,"1,420",-,-,-,"1,817",15,"1,802","1,817",15,"1,802",-,-,-,5,その他雑穀,,,,,,,
6,野菜・果物,"198,464","14,749","183,715","198,270","2,938","195,332",-,-,-,"693,022","11,798","681,224","693,022","11,798","681,224","24,808",202,"24,606",6,野菜・果物,,,,,,,
7,綿花,26,-,26,43,-,43,-,-,-,387,12,375,387,12,375,-,-,-,7,綿花,,,,,,,
