,,,,,,,,,,,(単位：トン）,,,
品種,,志布志,神津島,"三島
川之江",岩国,四日市,"式根島
諸港",三河,利島,"大島
（波浮）",川崎,,,
合計,,"3,876","3,830","2,518","2,450","2,408","1,270","1,245","1,068","1,000",470,,,
農水産品,,-,132,-,30,-,42,-,22,-,-,,,
1,麦,-,-,-,-,-,-,-,-,-,-,,,
2,米,-,-,-,-,-,-,-,-,-,-,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,,,
6,野菜・果物,-,132,-,30,-,42,-,22,-,-,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,,,
10,その他畜産品,-,-,-,-,-,-,-,-,-,-,,,
11,水産品,-,-,-,-,-,-,-,-,-,-,,,
林産品,,-,83,-,-,-,26,-,50,101,-,,,
12,原木,-,-,-,-,-,-,-,-,-,-,,,
13,製材,-,83,-,-,-,26,-,50,101,-,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,,,
鉱産品,,-,-,-,-,780,-,-,-,-,-,,,
18,石炭,-,-,-,-,780,-,-,-,-,-,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,,,
20,金属鉱,-,-,-,-,-,-,-,-,-,-,,,
21,砂利・砂,-,-,-,-,-,-,-,-,-,-,,,
22,石材,-,-,-,-,-,-,-,-,-,-,,,
23,原油,-,-,-,-,-,-,-,-,-,-,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,
25,石灰石,-,-,-,-,-,-,-,-,-,-,,,
26,原塩,-,-,-,-,-,-,-,-,-,-,,,
27,非金属鉱物,-,-,-,-,-,-,-,-,-,-,,,
金属機械工業品,,-,445,-,10,419,285,682,427,15,22,,,
28,鉄鋼,-,-,-,-,-,-,-,-,-,-,,,
29,鋼材,-,-,-,-,-,-,-,-,-,-,,,
30,非鉄金属,-,-,-,-,-,-,-,-,-,-,,,
31,金属製品,-,445,-,10,60,285,-,423,15,-,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,,,
33,完成自動車,-,-,-,-,-,-,-,4,-,-,,,
34,その他輸送用車両,-,-,-,-,-,-,-,-,-,-,,,
35,二輪自動車,-,-,-,-,-,-,-,-,-,-,,,
36,自動車部品,-,-,-,-,330,-,-,-,-,-,,,
37,その他輸送機械,-,-,-,-,-,-,-,-,-,-,,,
38,産業機械,-,-,-,-,-,-,-,-,-,-,,,
39,電気機械,-,-,-,-,-,-,610,-,-,22,,,
40,測量・光学・医療機械,-,-,-,-,29,-,72,-,-,-,,,
41,事務用機器,-,-,-,-,-,-,-,-,-,-,,,
42,その他機械,-,-,-,-,-,-,-,-,-,-,,,
化学工業品,,-,444,-,55,-,146,-,50,635,-,,,
43,陶磁器,-,-,-,-,-,-,-,-,-,-,,,
44,セメント,-,-,-,15,-,-,-,-,-,-,,,
45,ガラス類,-,-,-,-,-,-,-,-,-,-,,,
46,窯業品,-,-,-,-,-,-,-,-,-,-,,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,
48,石油製品,-,-,-,10,-,-,-,-,-,-,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,,,
50,LPG/液化石油ガス,-,444,-,-,-,146,-,50,635,-,,,
51,その他の石油製品,-,-,-,-,-,-,-,-,-,-,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,,,
53,石炭製品,-,-,-,-,-,-,-,-,-,-,,,
54,化学薬品,-,-,-,10,-,-,-,-,-,-,,,
55,化学肥料,-,-,-,5,-,-,-,-,-,-,,,
56,その他化学工業品,-,-,-,15,-,-,-,-,-,-,,,
軽工業品,,-,661,"2,518",270,-,214,137,122,130,9,,,
57,紙・パルプ,-,-,"2,518",215,-,-,-,-,-,-,,,
58,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,-,,,
59,その他繊維工業品,-,-,-,-,-,-,-,-,-,-,,,
60,砂糖,-,-,-,-,-,-,-,-,-,-,,,
61,製造食品,-,516,-,50,-,168,137,80,61,-,,,
62,飲料,-,145,-,-,-,46,-,42,69,9,,,
63,水,-,-,-,-,-,-,-,-,-,-,,,
64,たばこ,-,-,-,-,-,-,-,-,-,-,,,
65,その他食料工業品,-,-,-,5,-,-,-,-,-,-,,,
雑工業品,,-,233,-,60,10,144,426,92,117,102,,,
66,がん具,-,-,-,-,-,-,-,-,-,-,,,
67,衣服・身廻品・はきもの,-,-,-,5,-,-,32,-,-,90,,,
68,文房具・運動娯楽用品・楽器,-,-,-,-,-,-,64,-,-,12,,,
69,家具装備品,-,-,-,-,-,-,330,-,-,-,,,
70,その他日用品,-,233,-,-,10,144,-,92,117,-,,,
71,ゴム製品,-,-,-,50,-,-,-,-,-,-,,,
72,木製品,-,-,-,-,-,-,-,-,-,-,,,
73,その他製造工業品,-,-,-,5,-,-,-,-,-,-,,,
特殊品,,"3,876","1,832",-,"2,025","1,199",413,-,305,2,337,,,
74,金属くず,-,-,-,-,-,-,-,-,-,-,,,
75,再利用資材,-,-,-,-,-,-,-,-,-,-,,,
76,動植物性製造飼肥料,-,-,-,190,-,-,-,-,-,-,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,,,
79,輸送用容器,-,-,-,"1,640",388,-,-,-,-,-,,,
80,取合せ品,"3,876","1,832",-,195,811,413,-,305,2,337,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,,,
-,-,-,-,-,-,-,-,-,48,石油製品,,,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,LNG/液化天然ガス,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス,,,,,
51,その他石油製品,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,51,その他石油製品,,,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,コークス,,,,,
53,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,石炭製品,,,,,
54,化学薬品,-,-,-,-,-,-,"2,516",-,-,-,-,-,-,30,-,-,54,化学薬品,,,,,
55,化学肥料,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,55,化学肥料,,,,,
56,その他化学工業品,2,841,45,612,-,192,"20,158","4,155",-,-,-,19,294,289,60,105,56,その他化学工業品,,,,,
軽工業品,,-,90,-,-,-,34,"9,677",-,-,-,-,-,-,"2,308",-,-,軽工業品,,,,,,
57,紙・パルプ,-,90,-,-,-,17,"6,937",-,-,-,-,-,-,"2,203",-,-,57,紙・パルプ,,,,,
58,糸及び紡績半製品,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,58,糸及び紡績半製品,,,,,
59,その他繊維工業品,-,-,-,-,-,-,"2,312",-,-,-,-,-,-,105,-,-,59,その他繊維工業品,,,,,
60,砂糖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,砂糖,,,,,
61,製造食品,-,-,-,-,-,17,398,-,-,-,-,-,-,-,-,-,61,製造食品,,,,,
62,飲料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,飲料,,,,,
63,水,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,水,,,,,
64,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,たばこ,,,,,
65,その他食料工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,その他食料工業品,,,,,
雑工業品,,-,-,491,49,-,44,"20,258",396,-,26,15,-,105,-,30,150,雑工業品,,,,,,
66,がん具,-,-,-,-,-,-,333,-,-,-,-,-,-,-,-,-,66,がん具,,,,,
67,衣服・身廻品・はきもの,-,-,-,-,-,1,811,-,-,-,-,-,-,-,-,-,67,衣服・身廻品・はきもの,,,,,
68,文房具・運動娯楽用品・楽器,-,-,-,-,-,-,"1,445",-,-,-,-,-,-,-,-,150,68,文房具・運動娯楽用品・楽器,,,,,
69,家具装備品,-,-,-,49,-,-,180,-,-,-,-,-,15,-,30,-,69,家具装備品,,,,,
70,その他日用品,-,-,3,-,-,-,934,-,-,-,-,-,-,-,-,-,70,その他日用品,,,,,
71,ゴム製品,-,-,-,-,-,30,385,-,-,-,-,-,-,-,-,-,71,ゴム製品,,,,,
72,木製品,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,72,木製品,,,,,
73,その他製造工業品,-,-,488,-,-,13,"16,134",396,-,26,15,-,90,-,-,-,73,その他製造工業品,,,,,
特殊品,,-,660,"1,256",920,12,"4,509","44,672","162,326","8,700",-,-,-,-,188,960,"1,583",特殊品,,,,,,
74,金属くず,-,-,-,240,-,-,"11,051",-,-,-,-,-,-,-,960,"1,583",74,金属くず,,,,,
75,再利用資材,-,660,-,-,-,"4,471","29,274","160,772","8,700",-,-,-,-,-,-,-,75,再利用資材,,,,,
76,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,動植物性製造飼肥料,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,廃棄物,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂,,,,,
79,輸送用容器,-,-,"1,226",-,12,8,638,-,-,-,-,-,-,188,-,-,79,輸送用容器,,,,,
80,取合せ品,-,-,30,680,-,30,"3,709","1,554",-,-,-,-,-,-,-,-,80,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,蟆冗ｬ�蜴滓搗,3,I,60,605,辯�侭蟆丞｣ｲ讌ｭ,1,05,30��49莠ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,蟆冗ｬ�蜴滓搗,3,I,60,605,辯�侭蟆丞｣ｲ讌ｭ,1,06,50��99莠ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13421,蟆冗ｬ�蜴滓搗,3,I,60,605,辯�侭蟆丞｣ｲ讌ｭ,1,07,100��299莠ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
