,,,,,,,(単位：ＴＥＵ）
国別・港別,合計,,,輸出,,輸入,
,計,実入,空,実入,空,実入,空
諸港(インド),6,6,-,-,-,6,-
パキスタン,430,430,-,234,-,196,-
カラチ,430,430,-,234,-,196,-
バングラディシュ,171,171,-,-,-,171,-
チッタゴン,171,171,-,-,-,171,-
スリランカ,877,877,-,7,-,870,-
コロンボ,877,877,-,7,-,870,-
イラン,57,57,-,5,-,52,-
シャヒドラジャイ（バンダルアバス）,57,57,-,5,-,52,-
イラク,2,2,-,2,-,-,-
ウム　カザル,2,2,-,2,-,-,-
サウジアラビア,864,864,-,699,-,165,-
ダンマン,10,10,-,2,-,8,-
ジエッダ,824,824,-,697,-,127,-
ジュバイル,30,30,-,-,-,30,-
アラブ首長国,35,35,-,13,-,22,-
シャルジャー,1,1,-,1,-,-,-
アブダビ,4,4,-,-,-,4,-
ジェベルアリ,30,30,-,12,-,18,-
イスラエル,434,434,-,2,-,432,-
ハイファ,189,189,-,-,-,189,-
アシドッド,245,245,-,2,-,243,-
ヨルダン,234,234,-,-,-,234,-
アカバ,234,234,-,-,-,234,-
レバノン,22,22,-,-,-,22,-
ベイルート,22,22,-,-,-,22,-
トルコ,716,716,-,-,-,716,-
イスタンブール,18,18,-,-,-,18,-
イズミト,58,58,-,-,-,58,-
イズミル,50,50,-,-,-,50,-
メルシン,335,335,-,-,-,335,-
イスケンデルン,8,8,-,-,-,8,-
ゲブゼ,18,18,-,-,-,18,-
ゲムポート,214,214,-,-,-,214,-
諸港(トルコ),15,15,-,-,-,15,-
キプロス,3,3,-,-,-,3,-
リマソル,3,3,-,-,-,3,-
バーレーン,7,7,-,-,-,7,-
バーレーン,7,7,-,-,-,7,-
ヨーロッパ,"175,397","173,083","2,314","58,624","2,056","114,459",258
ノルウェー,365,365,-,-,-,365,-
クルスチャンサン,20,20,-,-,-,20,-
オスロ,29,29,-,-,-,29,-
フレドリクスタ,7,7,-,-,-,7,-
オーレスン,12,12,-,-,-,12,-
諸港(ノルウェー),297,297,-,-,-,297,-
スウェーデン,208,208,-,-,-,208,-
ストックホルム,4,4,-,-,-,4,-
ゴーセンブルグ,100,100,-,-,-,100,-
ハルムスタート,28,28,-,-,-,28,-
諸港(スウェーデン),76,76,-,-,-,76,-
デンマーク,50,50,-,-,-,50,-
コペンハーゲン,3,3,-,-,-,3,-
オールフス,24,24,-,-,-,24,-
オールベク,10,10,-,-,-,10,-
フレデリカ,13,13,-,-,-,13,-
イギリス,"15,792","15,767",25,"5,092",13,"10,675",12
フィリクストーエ,370,370,-,48,-,322,-
ロンドン,4,4,-,-,-,4,-
リバプール,2,2,-,-,-,2,-
サザンプトン,"15,289","15,264",25,"5,040",13,"10,224",12
ベルファスト,6,6,-,-,-,6,-
テムズポート,11,11,-,-,-,11,-
サウスシールズ,1,1,-,-,-,1,-
グレーンジマス,105,105,-,4,-,101,-
イミンガム,2,2,-,-,-,2,-
ティーポート,2,2,-,-,-,2,-
アイルランド,111,111,-,-,-,111,-
ダブリン,106,106,-,-,-,106,-
コーク,5,5,-,-,-,5,-
ポーランド,153,153,-,-,-,153,-
グジニア,14,14,-,-,-,14,-
グダニスク,33,33,-,-,-,33,-
シュチェチン,106,106,-,-,-,106,-
フィンランド,"1,139","1,139",-,8,-,"1,131",-
オウル,15,15,-,-,-,15,-
ヘルシンキ,225,225,-,-,-,225,-
ラウマ,36,36,-,-,-,36,-
コトカ,863,863,-,8,-,855,-
フランス,"22,699","22,489",210,"3,101",210,"19,388",-
ルアーブル,"22,169","21,959",210,"3,101",210,"18,858",-
フォス,530,530,-,-,-,530,-
ドイツ,"52,595","51,933",662,"13,273",555,"38,660",107
ハンブルグ,"52,595","51,933",662,"13,273",555,"38,660",107
ポルトガル,280,280,-,1,-,279,-
レイショーズ,87,87,-,1,-,86,-
リスボン,192,192,-,-,-,192,-
諸港(ポルトガル),1,1,-,-,-,1,-
スペイン,"1,962","1,962",-,5,-,"1,957",-
バルセロナ,"1,375","1,375",-,5,-,"1,370",-
バレンシア,490,490,-,-,-,490,-
アルヘシラス,10,10,-,-,-,10,-
ビルバオ,38,38,-,-,-,38,-
ビゴ,39,39,-,-,-,39,-
諸港(スペイン),10,10,-,-,-,10,-
イタリア,"3,996","3,994",2,1,-,"3,993",2
トリエステ,227,227,-,-,-,227,-
ベネチア,531,531,-,-,-,531,-
ジェノバ,"1,563","1,561",2,1,-,"1,560",2
ラスペチア,241,241,-,-,-,241,-
リボルノ,369,369,-,-,-,369,-
ナポリ,210,210,-,-,-,210,-
カリアーリ,12,12,-,-,-,12,-
バリ,413,413,-,-,-,413,-
アンコナ,337,337,-,-,-,337,-
トラパーニ,6,6,-,-,-,6,-
サレルノ,87,87,-,-,-,87,-
マルタ,162,162,-,-,-,162,-
バレッタ,162,162,-,-,-,162,-
ロシア,173,173,-,1,-,172,-
サンクト・ペテルスブルグ,171,171,-,1,-,170,-
ウスチルガ,2,2,-,-,-,2,-
オランダ,"72,365","70,950","1,415","37,133","1,278","33,817",137
ロッテルダム,"72,365","70,950","1,415","37,133","1,278","33,817",137
ベルギー,"1,187","1,187",-,4,-,"1,183",-
アントワープ,"1,187","1,187",-,4,-,"1,183",-
ギリシャ,85,85,-,2,-,83,-
テサロニキ,64,64,-,-,-,64,-
ピレエフス,21,21,-,2,-,19,-
ルーマニア,"1,105","1,105",-,-,-,"1,105",-
コンスタンツア,"1,105","1,105",-,-,-,"1,105",-
ブルガリア,78,78,-,-,-,78,-
バルナ,78,78,-,-,-,78,-
エストニア,432,432,-,1,-,431,-
タリン,432,432,-,1,-,431,-
ラトビア,148,148,-,2,-,146,-
