,,,,,,,,,,,(単位：トン）,,,
品種,,上海,レムチャバン,香港,青島,蛇口,釜山,シンガポール,バンクーバー,タコマ,太倉,,,
合計,,"4,364,926","2,022,914","1,905,207","1,769,083","1,581,849","1,180,485","1,146,899","1,145,628","1,075,782","1,063,102",,,
農水産品,,"78,003","171,404","129,889","422,289","6,443","68,676","111,478","403,667","116,343",444,,,
1,麦,60,-,30,-,-,769,"1,676","13,975",477,-,,,
2,米,-,"3,120",90,-,-,-,285,-,-,-,,,
3,とうもろこし,20,30,195,-,-,60,-,45,73,-,,,
4,豆類,285,270,375,25,15,806,180,"69,340","5,722",-,,,
5,その他雑穀,-,-,-,-,-,580,-,90,"1,947",-,,,
6,野菜・果物,"47,609","21,648","3,979","301,861","2,424","5,925","9,688","4,515","43,837",345,,,
7,綿花,-,-,-,-,-,-,120,-,-,-,,,
8,その他農産品,"11,504","3,990","5,021","37,313","3,604","1,493","12,156","2,151","6,557",75,,,
9,羊毛,75,-,45,-,-,-,26,-,-,9,,,
10,その他畜産品,"13,832","91,457","85,094","1,615",116,"24,744","45,744","307,831","41,836",15,,,
11,水産品,"4,618","50,889","35,060","81,475",284,"34,299","41,603","5,720","15,894",-,,,
林産品,,"34,683","7,547","4,696","4,936",446,"31,213","31,589","390,496","49,318",300,,,
12,原木,750,-,-,-,-,-,-,-,-,135,,,
13,製材,"25,228",30,"4,501","1,216",237,"30,124","6,179","390,053","48,741",-,,,
14,樹脂類,900,"3,040",-,-,-,45,"24,555",-,15,-,,,
15,木材チップ,15,-,30,-,-,-,90,443,262,-,,,
16,その他林産品,"1,590",60,-,-,30,-,225,-,-,165,,,
17,薪炭,"6,200","4,417",165,"3,720",179,"1,044",540,-,300,-,,,
鉱産品,,"6,611","4,161","7,202","15,005","2,332","9,013","10,437","2,086",642,538,,,
18,石炭,"1,341",165,270,465,-,240,"1,583",360,-,45,,,
19,鉄鉱石,30,-,15,-,-,8,-,-,-,75,,,
20,金属鉱,75,-,270,705,-,315,840,-,390,-,,,
21,砂利・砂,150,6,165,"1,110",360,700,291,204,-,-,,,
22,石材,"1,553",45,"1,890","11,315",337,765,"1,755",33,-,178,,,
23,原油,-,-,90,120,-,-,-,-,-,-,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,
25,石灰石,585,-,-,-,-,-,-,-,-,-,,,
26,原塩,30,-,135,705,-,-,193,-,15,240,,,
27,非金属鉱物,"2,847","3,945","4,367",585,"1,635","6,985","5,775","1,489",237,-,,,
金属機械工業品,,"1,327,748","659,145","679,424","110,938","586,768","272,527","149,711","23,465","55,420","503,258",,,
28,鉄鋼,"1,643",-,540,330,-,"3,412","3,969",30,-,240,,,
29,鋼材,"4,690","4,418",762,"1,822",240,"19,783","4,238",246,407,599,,,
30,非鉄金属,"29,304","14,931","8,237","1,324","3,609","18,097","2,474","1,275","1,539","3,542",,,
31,金属製品,"179,781","127,720","45,695","21,666","50,458","36,351","9,691","8,121","40,100","107,399",,,
32,鉄道車両,74,18,75,-,184,-,90,-,-,-,,,
33,完成自動車,"2,266","1,211",632,17,-,833,"3,993","1,101",501,-,,,
34,その他輸送用車両,"19,299",227,"4,453","16,814","2,927","1,387","1,684",15,198,"15,999",,,
35,二輪自動車,878,"2,640","1,217",116,703,315,841,390,-,"15,197",,,
36,自動車部品,"61,072","85,802","42,102","11,936","18,619","53,108","27,666","5,010","1,510","7,160",,,
37,その他輸送機械,"22,365",187,"3,410",383,"13,134",710,"1,097",360,594,"24,271",,,
38,産業機械,"258,809","107,635","90,412","15,180","137,182","50,169","36,233","3,801","6,894","85,489",,,
39,電気機械,"660,221","276,044","402,228","36,505","285,312","78,055","30,494","1,765","2,738","234,411",,,
40,測量・光学・医療機械,"60,396","21,443","34,227","2,833","34,707","8,723","14,720","1,351",898,"7,759",,,
41,事務用機器,"24,338","12,491","43,161","1,800","35,966",920,616,-,11,"1,103",,,
42,その他機械,"2,612","4,378","2,273",212,"3,727",664,"11,905",-,30,89,,,
化学工業品,,"314,604","271,649","91,694","90,998","53,882","227,470","180,527","31,330","36,430","90,410",,,
43,陶磁器,"7,885","14,647","19,796","2,596","11,599",657,"9,254",392,292,631,,,
44,セメント,183,"1,035",150,-,-,300,420,-,-,-,,,
45,ガラス類,"34,723","10,183","4,107","5,015","8,835","6,961","1,972",204,"6,540","2,231",,,
46,窯業品,"13,606","2,338","2,996","13,374","7,048","7,903","4,914","7,284","6,244","2,142",,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,
48,石油製品,480,180,774,-,-,"2,478","1,535",389,135,-,,,
49,LNG/液化天然ガス,-,-,-,-,-,285,-,-,-,-,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,,,
51,その他の石油製品,345,150,266,45,45,582,105,"1,651",120,-,,,
52,コークス,30,-,-,345,-,90,-,-,-,-,,,
53,石炭製品,30,-,-,-,-,-,15,-,-,-,,,
54,化学薬品,"57,024","29,224","15,302","35,957","3,172","42,663","25,592","6,708","6,887","8,692",,,
55,化学肥料,"3,313",-,690,"4,526",30,"3,126",615,288,583,"5,580",,,
56,その他化学工業品,"196,985","213,892","47,613","29,140","23,153","162,425","136,105","14,414","15,629","71,134",,,
軽工業品,,"220,492","385,558","134,298","232,550","26,486","331,038","266,628","110,210","341,828","114,429",,,
57,紙・パルプ,"38,035","2,265","41,105","4,905","4,829","35,530","11,828","3,110","69,078","87,891",,,
58,糸及び紡績半製品,"13,891","2,954",666,"1,330",487,"8,448","4,679",-,30,"1,757",,,
59,その他繊維工業品,"77,915","25,132","9,748","12,519","11,584","15,957","9,475",101,869,"21,504",,,
60,砂糖,"1,298",30,212,270,"1,095",787,708,"5,106","3,830",-,,,
61,製造食品,"59,731","346,512","49,516","209,562","8,401","131,495","124,101","30,897","222,005","1,056",,,
62,飲料,"8,671","8,455","28,250","3,668",90,"87,313","83,053",919,"17,425",-,,,
63,水,"18,226",-,"1,818",30,-,"1,171","16,259","3,917","28,230",-,,,
64,たばこ,80,-,492,-,-,"49,271","1,225",59,-,-,,,
65,その他食料工業品,"2,645",210,"2,491",266,-,"1,066","15,300","66,101",361,"2,221",,,
雑工業品,,"2,105,245","323,763","734,957","812,728","814,399","164,910","309,849","70,735","34,075","307,314",,,
66,がん具,"64,334","21,064","235,451","4,952","130,355","2,239","1,393",285,217,"5,454",,,
67,衣服・身廻品・はきもの,"1,433,800","67,545","292,802","621,822","253,705","24,796","160,364","1,838","2,645","98,938",,,
68,文房具・運動娯楽用品・楽器,"92,283","7,359","73,504","19,756","79,938","19,487","14,731","1,863","9,799","5,250",,,
69,家具装備品,"366,710","76,300","68,059","83,185","280,471","28,162","26,659","3,700","1,973","78,822",,,
70,その他日用品,"40,662","39,659","13,620","17,784","22,073","13,455","21,911","2,669","11,342","101,434",,,
71,ゴム製品,"27,271","100,360","22,104","27,476","3,020","25,630","15,877",491,162,"3,490",,,
72,木製品,"32,496","6,622","16,907","24,222","12,698","38,119","53,755","58,136","6,551","2,894",,,
73,その他製造工業品,"47,689","4,854","12,510","13,531","32,139","13,022","15,159","1,753","1,386","11,032",,,
特殊品,,"277,540","199,687","123,047","79,639","91,093","75,638","86,680","113,639","441,726","46,409",,,
74,金属くず,884,"2,093","2,039",105,105,"2,153","2,006","3,949","3,235",-,,,
75,再利用資材,345,-,135,-,-,"1,408",295,90,"23,231",-,,,
76,動植物性製造飼肥料,"1,800","60,260","2,986","7,055",240,"6,606","11,192","101,850","394,417",30,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,,,
79,輸送用容器,"161,537","95,536","41,458","47,592","61,445","32,282","25,399","4,753","16,805","29,051",,,
80,取合せ品,"112,974","41,798","76,429","24,887","29,303","33,189","47,788","2,997","4,038","17,328",,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,,,
