,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
品種,,那覇,苫小牧,横浜,仙台塩釜,清水,博多,神戸,名古屋,大阪,那珂湊,"大島
（元町）","小笠原
（二見）",鹿島,大船渡,御前崎,新島,千葉,八戸,"茨城(常
陸那珂)",釜石,品種,,,,
合計,,"441,742","363,031","205,479","194,426","158,089","154,162","71,165","70,648","31,792","24,157","22,791","11,691","10,055","7,086","6,030","6,017","5,853","5,845","5,019","4,352",合計,,,,
農水産品,,-,"14,385","11,063","14,354","4,439","9,582","25,921","10,694","17,356","1,799",890,-,473,-,381,181,538,625,-,205,農水産品,,,,
1,麦,-,"4,665",771,-,"1,160",555,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,
2,米,-,105,-,-,-,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,
3,とうもろこし,-,5,300,-,-,20,461,29,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,
4,豆類,-,"1,360","4,469",75,-,"2,080",-,125,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,
5,その他雑穀,-,240,-,-,15,320,-,20,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,
6,野菜・果物,-,"7,060","1,971","6,540",503,"3,625","19,678","5,458","6,276",-,890,-,-,-,-,181,-,-,-,-,6,野菜・果物,,,
7,綿花,-,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,
8,その他農産品,-,355,716,30,405,"1,903","4,567","3,935",285,-,-,-,-,-,-,-,-,-,-,-,8,その他農産品,,,
9,羊毛,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,
10,その他畜産品,-,35,"1,820","1,082",102,569,885,208,"8,528",-,-,-,-,-,-,-,-,-,-,-,10,その他畜産品,,,
11,水産品,-,560,"1,016","6,627","2,254",250,330,747,"2,267","1,799",-,-,473,-,381,-,538,625,-,205,11,水産品,,,
林産品,,-,987,90,"2,555","5,904","3,127",-,"2,182","3,227",-,"1,095",-,-,-,-,553,-,-,-,-,林産品,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,
13,製材,-,277,30,"2,555","5,889","1,062",-,"2,156","3,227",-,"1,095",-,-,-,-,553,-,-,-,-,13,製材,,,
14,樹脂類,-,490,60,-,-,"1,920",-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,
16,その他林産品,-,5,-,-,-,145,-,26,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,
17,薪炭,-,215,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭,,,
鉱産品,,-,"2,580",283,-,399,925,135,"4,674",45,-,-,-,-,-,-,-,-,-,-,-,鉱産品,,,,
18,石炭,-,-,-,-,-,5,-,60,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,
20,金属鉱,-,20,165,-,-,15,135,315,45,-,-,-,-,-,-,-,-,-,-,-,20,金属鉱,,,
21,砂利・砂,-,760,45,-,-,185,-,30,-,-,-,-,-,-,-,-,-,-,-,-,21,砂利・砂,,,
22,石材,-,"1,390",15,-,-,675,-,60,-,-,-,-,-,-,-,-,-,-,-,-,22,石材,,,
23,原油,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,23,原油,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,
25,石灰石,-,280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石,,,
26,原塩,-,10,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩,,,
27,非金属鉱物,-,120,58,-,339,45,-,"4,179",-,-,-,-,-,-,-,-,-,-,-,-,27,非金属鉱物,,,
金属機械工業品,,"110,566","17,540","15,010","12,895","18,902","18,974","4,120","5,515",210,"8,330","2,701",855,"6,628",-,"1,439","1,365","1,762","3,191",599,654,金属機械工業品,,,,
28,鉄鋼,-,170,-,-,-,10,-,45,-,-,-,-,-,-,-,-,-,-,-,-,28,鉄鋼,,,
29,鋼材,-,600,153,-,-,615,-,22,15,-,-,-,-,-,-,-,-,-,-,-,29,鋼材,,,
30,非鉄金属,-,15,250,-,60,35,"1,785",382,195,-,-,-,-,-,-,-,-,-,-,-,30,非鉄金属,,,
31,金属製品,-,"2,465","1,911",-,"2,448","1,555",215,431,-,-,"2,497",-,-,-,-,"1,365",-,-,-,-,31,金属製品,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両,,,
33,完成自動車,-,813,424,-,135,95,-,15,-,-,204,-,458,-,-,-,-,-,-,-,33,完成自動車,,,
34,その他輸送用車両,-,86,210,-,15,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,その他輸送用車両,,,
35,二輪自動車,-,20,361,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,二輪自動車,,,
