,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,13号地その2,,,,,,大井,,,若洲,,,中央防波堤,,,その他,,,品種,,,,,,
,,青海コンテナふ頭（公共）,,,青海コンテナふ頭(埠頭㈱),,,大井コンテナふ頭,,,若洲内貿ふ頭,,,中央防波堤内側内貿ふ頭,,,合計,,,,,,,,,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,,,,,,,
合計,,"152,458","111,562","40,896","38,480","36,452","2,028","1,475,996","717,501","758,495","297,591","269,380","28,211","655,637","338,671","316,966","1,515","1,183",332,合計,,,,,,
農水産品,,"7,574","6,219","1,355","4,498","4,482",16,"95,855","81,688","14,167",-,-,-,"51,280","14,010","37,270",936,936,-,農水産品,,,,,,
1,麦,-,-,-,950,950,-,981,981,-,-,-,-,"6,575","4,665","1,910",-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,75,75,-,-,-,-,"2,305",105,"2,200",-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,805,805,-,-,-,-,10,5,5,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,"6,484","6,484",-,-,-,-,"2,235","1,360",875,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,65,65,-,-,-,-,615,240,375,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,180,180,-,"45,323","40,150","5,173",-,-,-,"34,320","7,060","27,260",936,936,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,150,150,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,25,25,-,"11,808","11,776",32,-,-,-,"3,695",355,"3,340",-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,22,22,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,"1,760","1,760",-,"11,194","11,194",-,-,-,-,770,35,735,-,-,-,10,その他畜産品,,,,,
11,水産品,"7,574","6,219","1,355","1,583","1,567",16,"18,948","9,986","8,962",-,-,-,755,185,570,-,-,-,11,水産品,,,,,
林産品,,-,-,-,"2,255","2,255",-,"13,013","12,592",421,-,-,-,"2,155",960,"1,195",-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,"2,255","2,255",-,"12,521","12,491",30,-,-,-,955,250,705,-,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,451,60,391,-,-,-,655,490,165,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,26,26,-,-,-,-,310,5,305,-,-,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,15,15,-,-,-,-,235,215,20,-,-,-,17,薪炭,,,,,
鉱産品,,-,-,-,-,-,-,"6,361","6,361",-,-,-,-,"2,790","2,580",210,-,-,-,鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,840,840,-,-,-,-,5,-,5,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
20,金属鉱,-,-,-,-,-,-,675,675,-,-,-,-,30,20,10,-,-,-,20,金属鉱,,,,,
21,砂利・砂,-,-,-,-,-,-,75,75,-,-,-,-,875,760,115,-,-,-,21,砂利・砂,,,,,
