,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
66,がん具,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,がん具,,,
67,衣服・身廻品・はきもの,-,26,-,57,-,-,329,296,-,221,-,-,-,-,-,-,-,-,-,-,67,衣服・身廻品・はきもの,,,
68,文房具・運動娯楽用品・楽器,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,68,文房具・運動娯楽用品・楽器,,,
69,家具装備品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,家具装備品,,,
70,その他日用品,-,-,-,-,248,-,-,-,10,-,-,119,10,66,-,67,19,-,-,1,70,その他日用品,,,
71,ゴム製品,"9,191",-,-,-,-,20,-,-,-,232,-,-,-,-,-,-,-,-,-,-,71,ゴム製品,,,
72,木製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,木製品,,,
73,その他製造工業品,30,-,-,-,-,-,-,-,45,-,-,-,45,-,-,-,-,-,-,-,73,その他製造工業品,,,
特殊品,,"4,800","15,083","12,725","8,269","7,222","6,321",-,-,435,-,"2,473","1,473",645,"1,598",227,366,565,86,319,281,特殊品,,,,
74,金属くず,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,86,-,-,74,金属くず,,,
75,再利用資材,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,再利用資材,,,
76,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,動植物性製造飼肥料,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,330,-,-,-,-,-,-,-,77,廃棄物,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂,,,
79,輸送用容器,75,-,-,-,-,-,-,-,375,-,-,-,275,21,-,-,-,-,-,-,79,輸送用容器,,,
80,取合せ品,"4,725","15,083","12,725","8,269","7,222","6,197",-,-,60,-,"2,473","1,473",40,"1,577",227,366,565,-,319,281,80,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
