,,,,,,,,,,,(単位：トン）,,,,,
品種,,苫小牧,仙台塩釜,神戸,清水,横浜,博多,名古屋,那覇,岩国,大阪,,,,,
合計,,"329,262","200,549","186,703","115,440","89,062","78,535","69,022","54,339","40,550","38,364",,,,,
農水産品,,"37,270","14,328",99,146,223,590,-,-,10,-,,,,,
1,麦,"1,910",-,-,-,-,-,-,-,-,-,,,,,
2,米,"2,200",-,-,-,-,10,-,-,-,-,,,,,
3,とうもろこし,5,-,-,-,-,-,-,-,10,-,,,,,
4,豆類,875,-,-,-,-,560,-,-,-,-,,,,,
5,その他雑穀,375,-,-,-,-,-,-,-,-,-,,,,,
6,野菜・果物,"27,260","5,083",-,90,-,20,-,-,-,-,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,,,,,
8,その他農産品,"3,340",-,32,-,-,-,-,-,-,-,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,,,,,
10,その他畜産品,735,-,-,-,-,-,-,-,-,-,,,,,
11,水産品,570,"9,245",67,56,223,-,-,-,-,-,,,,,
林産品,,"1,195",-,421,-,-,190,-,-,"1,295",-,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,,,,,
13,製材,705,-,30,-,-,20,-,-,-,-,,,,,
14,樹脂類,165,-,391,-,-,165,-,-,"1,295",-,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,,,,,
16,その他林産品,305,-,-,-,-,5,-,-,-,-,,,,,
17,薪炭,20,-,-,-,-,-,-,-,-,-,,,,,
鉱産品,,210,-,-,-,-,10,-,-,-,-,,,,,
18,石炭,5,-,-,-,-,-,-,-,-,-,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,,,,,
20,金属鉱,10,-,-,-,-,-,-,-,-,-,,,,,
21,砂利・砂,115,-,-,-,-,-,-,-,-,-,,,,,
22,石材,35,-,-,-,-,10,-,-,-,-,,,,,
23,原油,-,-,-,-,-,-,-,-,-,-,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,,,
25,石灰石,45,-,-,-,-,-,-,-,-,-,,,,,
26,原塩,-,-,-,-,-,-,-,-,-,-,,,,,
27,非金属鉱物,-,-,-,-,-,-,-,-,-,-,,,,,
金属機械工業品,,"28,885","3,704","64,832","35,586","5,539","4,205","7,933",-,330,"23,918",,,,,
28,鉄鋼,-,-,151,-,-,-,-,-,-,-,,,,,
29,鋼材,115,-,"5,657",-,101,15,-,-,320,523,,,,,
30,非鉄金属,220,-,"6,276",-,15,25,-,-,-,15,,,,,
31,金属製品,"2,920",-,754,35,"2,394",930,"5,892",-,-,59,,,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,,,,,
33,完成自動車,79,-,129,270,-,-,-,-,-,-,,,,,
34,その他輸送用車両,85,-,110,-,-,-,-,-,-,-,,,,,
