,,,,,,,,,,,(単位：トン）
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入
プンタ　アレナス,"2,658",-,"2,658",ダカール,328,253,75,メルボルン,"16,047","14,233","1,814"
リルケン,"203,664",-,"203,664",リベリア,9,9,-,アデレード,"5,441","3,774","1,667"
サン　ビセンテ,300,-,300,モンロビア,9,9,-,ダーウィン,"1,051","1,051",-
コロネル,60,-,60,コートジボアール,"2,882","2,882",-,フリマントル,"17,644","6,407","11,237"
諸港(チリ),"8,317",238,"8,079",アビジャン,"2,880","2,880",-,デバンポート,10,10,-
ブラジル,"209,864","75,544","134,320",諸港(コートジボアール),2,2,-,パース,30,30,-
サルバドル,259,169,90,コンゴ共和国,2,2,-,諸港(ｵｰｽﾄﾗﾘｱ),"1,053","1,053",-
ビトリア,4,4,-,諸港(コンゴ共和国),2,2,-,パプアニューギニア,9,9,-
リオデジャネイロ,418,263,155,ガーナ,"29,186","27,911","1,275",ラエ,5,5,-
サントス,"59,835","42,748","17,087",テマ,"28,952","27,872","1,080",ポートモレスビー,4,4,-
パラナグァ,"43,618",945,"42,673",アクラ,5,5,-,ニュージーランド,"259,258","23,053","236,205"
リオグランデ,"3,913",492,"3,421",諸港(ガーナ),229,34,195,ファンガレイ,6,6,-
イタジャイ及びナヴェガンテス,"44,778",662,"44,116",トーゴ,"1,327","1,327",-,オークランド,"17,844","15,402","2,442"
マナウス,"24,762","24,762",-,ロメ,"1,327","1,327",-,タウランガ,"91,738","1,051","90,687"
ポートアレグレ,1,1,-,ベナン,"2,126","2,126",-,ギズバーン,75,75,-
インビトゥーバ,390,-,390,コトヌ,"2,126","2,126",-,ニュープリマス,285,285,-
セペティバ及びイタグアイ,"2,055",75,"1,980",ナイジェリア,"44,793","44,793",-,ウエリントン,"1,788","1,106",682
諸港(ブラジル）,"29,831","5,423","24,408",ポートハーコート,"2,340","2,340",-,ネルソン,"3,410",215,"3,195"
アルゼンチン,"16,160","3,967","12,193",ラゴス,472,472,-,リッテルトン,"51,334",606,"50,728"
ロザリオ,60,60,-,アパパ,"36,828","36,828",-,ティマル,105,-,105
ブエノスアイレス,"5,909","3,816","2,093",諸港(ナイジェリア),"5,153","5,153",-,ポートチャルマース,147,1,146
マルデルプラタ,656,-,656,ジプチ,166,166,-,ナピア,"90,524","3,959","86,565"
プエルトマドリン,"3,438",-,"3,438",ジブチ,166,166,-,ブラフ,185,-,185
プエルト　デセアド,"3,480",-,"3,480",ケニア,957,872,85,クリストチャーチ,"1,677",207,"1,470"
ウシュアイア,"1,695",-,"1,695",モンバサ,890,805,85,ハミルトン,5,5,-
サラテ,600,90,510,諸港(ケニア),67,67,-,諸港(ニュージーランド),135,135,-
諸港(アルゼンチン）,322,1,321,モザンビーク,178,145,33,フィジー,"1,448",548,900
ウルグアイ,"1,517",953,564,ベイラ,105,105,-,ラウトカ,8,8,-
モンテビデオ,"1,517",953,564,マプト,73,40,33,スバ,"1,440",540,900
パラグアイ,"1,701",31,"1,670",マダガスカル,36,34,2,仏領ポリネシア,629,629,-
諸港(パラグアイ）,"1,701",31,"1,670",タマタブ,34,34,-,パペーテ（タヒチ島）,629,629,-
仏領ギアナ,15,15,-,マジュンガ,2,-,2,グアム,179,179,-
諸港(仏領ギアナ),15,15,-,南アフリカ,"32,125","25,095","7,030",グアム,179,179,-
アフリカ,"158,220","142,957","15,263",ダーバン,"23,151","20,955","2,196",北マリアナ諸島,40,40,-
モロッコ,"1,108",314,794,ポートエリザベス,203,203,-,サイパン,40,40,-
