施設分類,合計,構成比 (%),煮物・鍋物,焼物,揚げ物,酢の物,和え物,蒸し物,炒め物,サラダ,めん物,飯物,汁物,すし,その他,複合調理食品,弁当,調理パン等
合計,1900,100,85,243,141,4,6,12,33,75,182,140,40,148,95,410,209,77
飲食店営業小計,1604,84.4,55,216,129,4,3,7,29,53,167,122,32,133,66,369,161,58
飲食店営業／一般(和食店）,120,6.3,12,13,6,,1,,,4,8,17,4,7,3,42,3,
飲食店営業／一般(外国料理店）,134,7.1,3,9,11,1,,,2,9,15,12,3,1,6,45,4,13
飲食店営業／一般（中華料理店）,147,7.7,3,11,1,,,2,10,,68,8,5,,4,23,12,
飲食店営業／一般(食堂）,109,5.7,1,10,16,,,,3,8,4,16,3,,4,37,5,2
飲食店営業／一般（焼肉店）,37,1.9,1,15,,,,,1,1,,4,2,,2,10,1,
飲食店営業／一般（居酒屋）,190,10,11,67,6,1,1,,2,2,,6,,4,12,75,2,1
飲食店営業／一般（その他）,304,16,10,41,32,,1,1,3,16,28,26,5,5,15,74,15,32
飲食店営業／旅館・ホテル,16,0.8,,4,2,,,,,1,1,,,,2,6,,
飲食店営業／すし屋,97,5.1,,2,,,,1,,,,2,1,85,3,3,,
飲食店営業／そば屋,50,2.6,,,4,,,1,1,,33,3,,,2,6,,
飲食店営業／仕出し屋,30,1.6,,4,,,,,,,1,,,3,,4,18,
飲食店営業／弁当屋,161,8.5,3,4,6,1,,,2,4,2,16,1,23,,11,81,7
飲食店営業／そうざい店,139,7.3,7,29,39,1,,2,5,7,4,10,1,3,7,8,16,
飲食店営業／給食,34,1.8,3,,1,,,,,1,,,4,,4,20,,1
飲食店営業／天ぷら船、屋形船,1,0.1,,,,,,,,,,,1,,,,,
飲食店営業／その他,35,1.8,1,7,5,,,,,,3,2,2,2,2,5,4,2
喫茶店営業,1,0.1,,,,,,,,,1,,,,,,,
菓子製造業,8,0.4,,,1,,,,,,,,,,,,,7
食肉処理業,1,0.1,,,,,,,,,,,,,1,,,
食肉品製造業,1,0.1,,,,,,,,,,,,,,1,,
清涼飲料水製造業,1,0.1,,,,,,,,,,,,,,,1,
めん類製造業,2,0.1,,,,,,,,,2,,,,,,,
そうざい製造業,33,1.7,4,8,2,,,3,,6,2,,,,,7,1,
食品衛生法において許可を要するその他の製造業,3,0.2,,,,,,,,,,,,,1,2,,
許可を要しない製造業,3,0.2,,,,,,,,,1,,,,1,1,,
食肉販売業,3,0.2,1,1,,,,,,,,,,,1,,,
魚介類販売業,3,0.2,1,,,,1,1,,,,,,,,,,
食料等販売業,122,6.4,11,4,4,,1,1,1,14,7,11,2,10,9,11,26,10
弁当等人力販売業,1,0.1,,,,,,,,,,,,,,,1,
行商（弁当類販売業）,8,0.4,,,,,,,,,,,,,,,7,1
上記以外の販売業,10,0.5,1,2,,,,,,,,,,,5,1,1,
臨営業,4,0.2,,2,,,,,,,,,,,1,1,,
臨時出店者,5,0.3,,2,,,,,,,,,1,,,1,1,
家庭,14,0.7,5,1,,,,,1,,,3,1,,1,1,1,
その他,29,1.5,2,2,2,,1,,1,1,1,1,,1,5,7,4,1
不明,44,2.3,5,5,3,,,,1,1,1,3,4,4,4,8,5,
