施設分類1,施設分類2,合計,構成比(%)
合計,,70,100.0
飲食店営業,小計,27,38.6
飲食店営業,一般（和食店）,1,1.4
飲食店営業,一般（外国料理店）,3,4.3
飲食店営業,一般（中華料理店）,2,2.9
飲食店営業,一般（食堂）,1,1.4
飲食店営業,一般（焼肉店）,1,1.4
飲食店営業,一般（居酒屋）,2,2.9
飲食店営業,一般（その他）,4,5.7
飲食店営業,すし屋,1,1.4
飲食店営業,そば屋,2,2.9
飲食店営業,仕出し屋,2,2.9
飲食店営業,弁当屋,2,2.9
飲食店営業,そうざい店,5,7.1
飲食店営業,その他,1,1.4
菓子製造業,,2,2.9
そうざい製造業,,2,2.9
許可を要しない製造業,,1,1.4
乳類販売業,,1,1.4
食肉販売業,,5,7.1
魚介類販売業,,4,5.7
食料品等販売業,,10,14.3
上記以外の販売業,,11,15.7
家庭,,1,1.4
その他,,2,2.9
不明,,4,5.7
