施設分類1,施設分類2,合計,構成比(%),騒音小計,騒音施設・設備,騒音その他,ゴミ処理,ペット類小計,ペット類客のペット持ち込み,ペット類店内でのペット飼育,ペット類その他,路上等施設外での営業,許可・届出に関する苦情,その他
合計,,703,100.0,52,22,30,87,41,9,22,10,105,151,267
飲食店営業,小計,419,59.6,46,18,28,77,33,6,18,9,77,68,118
飲食店営業,一般（和食店）,18,2.6,2,,2,6,2,1,1,,6,1,1
飲食店営業,一般（外国料理店）,38,5.4,7,3,4,10,1,,1,,7,4,9
飲食店営業,一般（中華料理店）,31,4.4,1,,1,14,3,1,,2,5,3,5
飲食店営業,一般（食堂）,17,2.4,3,3,,2,3,,2,1,3,2,4
飲食店営業,一般（焼肉店）,18,2.6,3,2,1,2,0,,,,2,4,7
飲食店営業,一般（居酒屋）,107,15.2,17,3,14,23,8,2,4,2,27,11,21
飲食店営業,一般（その他）,100,14.2,9,4,5,10,12,2,7,3,12,25,32
飲食店営業,旅館・ホテル,1,0.1,0,,,,0,,,,,1,
飲食店営業,すし屋,10,1.4,0,,,1,0,,,,,1,8
飲食店営業,そば屋,18,2.6,2,2,,5,2,,1,1,2,2,5
飲食店営業,仕出し屋,8,1.1,2,1,1,1,1,,1,,1,1,2
飲食店営業,弁当屋,18,2.6,0,,,2,1,,1,,3,2,10
飲食店営業,そうざい店,11,1.6,0,,,,0,,,,5,1,5
飲食店営業,給食,6,0.9,0,,,,0,,,,,1,5
飲食店営業,その他,18,2.6,0,,,1,0,,,,4,9,4
喫茶店営業,,5,0.7,0,,,,0,,,,,3,2
菓子製造業,,26,3.7,0,,,2,3,,2,1,2,5,14
アイスクリーム類製造業,,1,0.1,0,,,,0,,,,,,1
食肉処理業,,3,0.4,1,,1,,0,,,,1,,1
食肉製品製造業,,2,0.3,0,,,1,0,,,,,,1
魚肉ねり製品製造業,,1,0.1,0,,,,0,,,,,,1
清涼飲料水製造業,,1,0.1,0,,,,0,,,,1,,
豆腐製造業,,2,0.3,0,,,,0,,,,,2,
そうざい製造業,,2,0.3,0,,,1,0,,,,,,1
条例で定める許可を要する製造業,,2,0.3,1,1,,,0,,,,1,,
許可を要しない製造業,,2,0.3,0,,,,0,,,,,,2
乳類販売業,,3,0.4,0,,,,1,1,,,,1,1
食肉販売業,,2,0.3,0,,,,0,,,,,,2
魚介類販売業,,5,0.7,0,,,1,0,,,,1,1,2
食料品等販売業,,44,6.3,1,1,,,3,1,2,,5,13,22
弁当等人力販売業,,1,0.1,0,,,,0,,,,,1,
行商（弁当類販売業）,,19,2.7,0,,,,0,,,,11,7,1
行商（弁当類以外）,,1,0.1,0,,,,0,,,,,1,
上記以外の販売業,,26,3.7,0,,,2,1,1,,,2,5,16
臨時営業,,4,0.6,0,,,,0,,,,,3,1
臨時出店者,,5,0.7,0,,,,0,,,,1,2,2
家庭,,15,2.1,0,,,,0,,,,,6,9
その他,,76,10.8,3,2,1,1,0,,,,2,28,42
不明,,36,5.1,0,,,2,0,,,,1,5,28
