施設分類1,施設分類2,合計,構成比(%）
合計,,54,100.0
飲食店営業,小計,13,24.1
飲食店営業,一般（外国料理店）,2,3.7
飲食店営業,一般（中華料理店）,2,3.7
飲食店営業,一般（食堂）,1,1.9
飲食店営業,一般（焼肉店）,1,1.9
飲食店営業,一般（その他）,2,3.7
飲食店営業,すし屋,1,1.9
飲食店営業,弁当屋,1,1.9
飲食店営業,そうざい店,3,5.6
喫茶店営業,,1,1.9
菓子製造業,,3,5.6
めん類製造業,,1,1.9
そうざい製造業,,1,1.9
許可を要しない製造業,,1,1.9
乳類販売業,,1,1.9
食肉販売業,,6,11.1
魚介類販売業,,5,9.3
食料品等販売業,,9,16.7
上記以外の販売業,,2,3.7
家庭,,3,5.6
その他,,3,5.6
不明,,5,9.3
