施設分類,合計,構成比 (%)
合計,34,100
小計,23,67.6
飲食店営業／一般（和食店）,3,8.8
飲食店営業／一般（中華料理店）,2,5.9
飲食店営業／一般（食堂）,2,5.9
飲食店営業／一般（居酒屋）,1,2.9
飲食店営業／一般（その他）,6,17.6
飲食店営業／すし屋,3,8.8
飲食店営業／そば屋,2,5.9
飲食店営業／仕出し屋,1,2.9
飲食店営業／弁当屋,1,2.9
飲食店営業／そうざい店,1,2.9
飲食店営業／その他,1,2.9
菓子製造業,1,2.9
食肉販売業,1,2.9
食料品等販売業,3,8.8
上記以外の販売業,1,2.9
家庭,1,2.9
その他,3,8.8
不明,1,2.9
