施設分類,合計,構成比 (%)
合計,999,100
飲食店営業小計,810,81.1
飲食店営業／一般（和食店）,54,5.4
飲食店営業／一般（外国料理店）,70,7
飲食店営業／一般（中華料理店）,88,8.8
飲食店営業／一般（食堂）,38,3.8
飲食店営業／一般（焼肉店）,24,2.4
飲食店営業／一般（居酒屋）,163,16.3
飲食店営業／一般（その他）,201,20.1
飲食店営業／旅館・ホテル,4,0.4
飲食店営業／すし屋,28,2.8
そば屋飲食店営業／,34,3.4
飲食店営業／仕出し屋,17,1.7
飲食店営業／弁当屋,20,2
飲食店営業／そうざい店,20,2
飲食店営業／給食,29,2.9
飲食店営業／その他,20,2
喫茶店営業,3,0.3
菓子製造業,34,3.4
あん類製造業,1,0.1
乳処理業,1,0.1
食肉処理業,7,0.7
食肉製品製造業,1,0.1
豆腐製造業,1,0.1
めん類製造業,1,0.1
そうざい製造業,9,0.9
食品衛生法において許可を要するその他の製造業,1,0.1
条例で定める許可を要する製造業,3,0.3
許可を要しない製造業,4,0.4
乳類販売業,4,0.4
食肉販売業,7,0.7
魚介類販売業,6,0.6
食料品等販売業,26,2.6
行商（弁当類販売業）,16,1.6
上記以外の販売業,13,1.3
臨時営業,1,0.1
臨時出店者,2,0.2
家庭,2,0.2
その他,30,3
不明,16,1.6
