食品分類,合計,構成比(%)
合計,54,100.0
水産食品,5,9.3
水産加工食品,2,3.7
畜産食品,6,11.1
畜産加工品,2,3.7
農産食品,10,18.5
農産加工食品,5,9.3
菓子類,5,9.3
飲料,1,1.9
調理済み食品,14,25.9
その他の食品,3,5.6
器具容器包装,1,1.9
