施設分類,合計,構成比 (%),鮮魚介類小計,魚類,貝類,カキ,エビ類,カニ類,その他の鮮魚介類
合計,243,100,243,175,13,36,7,8,4
飲食店営業小計,90,37,90,59,3,23,2,2,1
飲食店営業／一般（和食店）,16,6.6,16,10,,6,,,
飲食店営業／一般（外国料理店）,4,1.6,4,1,,3,,,
飲食店営業／一般（食堂）,1,0.4,1,,,,1,,
飲食店営業／一般（焼肉店）,1,0.4,1,,,1,,,
飲食店営業／一般（居酒屋）,33,13.6,33,21,,10,,2,
飲食店営業／一般（その他）,15,6.2,15,11,1,2,1,,
飲食店営業／すし屋,17,7,17,13,2,1,,,1
飲食店営業／そば屋,1,0.4,1,1,,,,,
飲食店営業／仕出し屋,1,0.4,1,1,,,,,
飲食店営業／弁当屋,1,0.4,1,1,,,,,
条例で定める許可を要する製造業,1,0.4,1,1,,,,,
魚介類販売業,128,52.7,128,99,8,9,4,5,3
食料品等販売業,2,0.8,2,1,,,,1,
上記以外の販売業,1,0.4,1,1,,,,,
家庭,5,2.1,5,5,,,,,
その他,5,2.1,5,3,1,,1,,
不明,11,4.5,11,6,1,4,,,
