食品分類,合計,構成比(%)
合計,29,100.0
水産食品,3,10.3
水産加工食品,1,3.4
畜産食品,1,3.4
畜産加工品,3,10.3
農産食品,4,13.8
農産加工食品,3,10.3
菓子類,7,24.1
飲料,3,10.3
調理済み食品,4,13.8
