施設分類,合計,構成比(%),騒音小計,騒音施設・設備,騒音その他,ゴミ処理,ペット類小計,ペット類客のペット持ち込み,ペット類店内でのペット飼育,ペット類その他,路上等施設外での営業,許可・届出に関する苦情,その他
店舗等,472,67.1,49,20,29,82,38,7,22,9,78,75,150
デパート・スーパー,34,4.8,0,,,1,3,2,,1,1,5,24
コンビニエンスストア,13,1.8,0,,,1,0,,,,3,3,6
自動販売機,1,0.1,0,,,,0,,,,,1,
自動車,22,3.1,0,,,,0,,,,8,10,4
移動,4,0.6,0,,,,0,,,,,4,
