施設分類,合計,構成比 (%),パン類小計,菓子パン,その他のパン,生菓子小計,洋生菓子,和生菓子,その他の生菓子,その他の菓子類小計,焼菓子,油菓子,キャンディーチューインガム,チョコレート,中華まんじゅう等,その他の菓子類,氷菓,製菓材料
合計,406,100,113,49,64,117,73,37,7,167,66,19,9,8,7,58,5,4
飲食店営業小計,55,13.5,16,4,12,21,18,2,1,15,5,2,0,0,0,8,2,1
飲食店営業／一般(和食店）,2,0.5,1,,1,1,1,,,0,,,,,,,,
飲食店営業／一般(外国料理店）,9,2.2,4,1,3,4,4,,,1,,,,,,1,,
飲食店営業／一般（中華料理店）,1,0.2,0,,,1,,,1,0,,,,,,,,
飲食店営業／一般（食堂）,4,1,1,,1,1,1,,,2,1,,,,,1,,
飲食店営業／一般（居酒屋）,2,0.5,0,,,1,1,,,1,,,,,,1,,
飲食店営業／一般（その他）,23,5.7,4,2,2,8,8,,,9,4,2,,,,3,1,1
飲食店営業／旅館・ホテル,1,0.2,1,,1,0,,,,0,,,,,,,,
飲食店営業／すし屋,2,0.5,0,,,2,2,,,0,,,,,,,,
飲食店営業／そば屋,1,0.2,0,,,0,,,,1,,,,,,1,,
飲食店営業／弁当屋,3,0.7,2,,2,0,,,,1,,,,,,1,,
飲食店営業／給食,7,1.7,3,1,2,3,1,2,,0,,,,,,,1,
喫茶店営業,4,1,1,1,,1,1,,,2,1,,,,,1,,2
菓子製造業,184,45.3,56,29,27,55,31,19,5,71,37,11,2,4,1,16,,
アイスクリーム類製造業,1,0.2,0,,,0,,,,1,,,,,,1,,
許可を要しない製造業,1,0.2,0,,,0,,,,1,1,,,,,,,
魚介類販売業,1,0.2,0,,,0,,,,1,,,,,,1,,
食料品等販売業,76,18.7,24,9,15,14,7,6,1,37,9,3,3,1,5,16,,1
行商（弁当類以外）,1,0.2,0,,,1,,1,,0,,,,,,,,
上記以外の販売業,49,12.1,9,3,6,18,12,6,,20,7,1,2,1,,9,2,
臨時出店者,3,0.7,0,,,1,,1,,1,,,,,,1,1,
家庭,4,1,0,,,0,,,,4,,1,,2,1,,,
その他,11,2.7,3,,3,4,3,1,,4,1,,1,,,2,,
不明,16,3.9,4,3,1,2,1,1,,10,5,1,1,,,3,,
