施設分類,合計,構成比(%),動物性油脂,植物性油脂,その他の油脂
合計,15,100,3,11,1
飲食店営業小計,4,26.7,2,2,0
飲食店営業／一般（中華料理店）,1,6.7,,1,
飲食店営業／一般（居酒屋）,1,6.7,1,,
飲食店営業／そうざい店,2,13.3,1,1,
乳類販売業,1,6.7,,,1
食料品等販売業,2,13.3,1,1,
上記以外の販売業,2,13.3,,2,
家庭,1,6.7,,1,
その他,3,20,,3,
不明,2,13.3,2,,
